id,cluster_name,authors,a1,title,affiliation,proceeding,location,a2,a3,pages,editor,a4,a5
24,cesa,"n. cesa-bianchi, y. freund, d. haussler, d. p. helmbold, r. e. schapire, m. k. war-muth.",,how to use expert advice.,,proceedings of the 24th annual acm symposium on theory of computing (stoc).,,,1993,,,,
25,cesa,"n. cesa-bianchi, y. freund, d. haussler, d.p. helmbold, r.e. schapire, m. k. warmuth.",,how to use expert advice.,,proceedings of the 24th annual acm symposium on theory of computing (stoc).,,,1993,,,,
26,cesa,"n. cesa-bianchi, y. freund, d. haussler, d.p. helmbold, r.e. schapire, and m. k. warmuth.",,how to use expert advice.,,"in proceedings of the 25th annual acm symposium on the theory of computing,",,,1993,"pages 382-391,",,,
27,cesa,"n. cesa-bianchi, y. freund, d. p. helmbold, d. haus-sler, r. e. schapire, and m. k. warmuth.",,how to use expert advice.,,"in acm symp. on the theory of computing,",,,1995,"pages 382-391,",,,
28,cesa,"n. cesa-bianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.",,how to use expert advice.,,"in annual acm symposium on theory of computing,",,,1993,"pages 382-391,",,,
29,cesa,"n. cesa-bianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.",,how to use expert advice.,,"in annual acm symposium on theory of computing,",,,1993,pages 382-391.,,,
30,cesa,"nicolo cesa-bianchi, yoav freund, david p. helm-bold, david haussler, robert e. schapire, and man-fred k. warmuth.",,how to use expert advice.,,"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,",,,1993,"pages 382-391,",,submitted to the journal of the acm.,may
31,cesa,"nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.",,how to use expert advice.,,"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,",,,1993,"pages 382-391,",,submitted to the journal of the acm.,may
32,cesa,"n. cesa-bianchi, y. freund, d. helmbold, d. haussler, r. schapire, and m. warmuth.",,how to use expert advice.,,"in proceedings of the twenty fifth annual acm symposium on theory of computing,","san diego, ca, may 1993.",acm press.,,"pages 382-391,",,,
33,cesa,"nicolo cesa-bianchi, yoav freund, david p. helmbold, david haus-sler, robert e. schapire, and manfred k. warmuth.",,how to use expert advice.,,"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,",,,1993,"pages 382-391,",,"to appear, journal of the association for computing machinery.",
34,cesa,"nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.",,how to use expert advice.,,"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,",,,1993,"pages 382-391,",,,
35,cesa,"n. cesa-bianchi, y. freund, d. helmbold, d. haussler, r. schapire, and m.",,war muth. how to use expert advice.,,"in proceedings of the eighteenth annual acm symposium on theory of computing,","san diego, ca,",,1993,"pages 382-391,",,,may
36,cesa,"n. cesa-bianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k. warmuth.",,how to use expert advice.,,"in proc. 25th annu. acm sympos. theory comput.,","new york, ny,","acm press,",1993,pages 382-391.,,,
37,cesa,"n. cesa-bianchi, y. freund, d.h. helmbold, d. haussler, r.e. schapire, and m.k. warmuth,",,"how to use expert advice,",,"in 25th annual acm symposium on theory of computing,","san diego, ca (1993).",,,"382-392,",,,
38,cesa,"n. cesa-bianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.",,how to use expert advice.,,"proceedings of the 25th acm symposium on the theory of computation,",,,1993,,,,
39,cesa,"nicolo cesa-bianchi, yoav freund, david p. helm-bold, david haussler, robert e. schapire, and manfred k. warmuth.",,how to use expert advice.,,"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,",,,1993,"pages 382-391,",,,
40,cesa,"n. cesa-bianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.",,how to use expert advice.,,"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,",,,1993,"pages 382391,",,"to appear, journal of the association for computing machinery.",
41,cesa,"nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.",,how to use expert advice.,,"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,",,,1993,"pages 382-391,",,,
42,cesa,"nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.",,how to use expert advice.,,"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,",,,1993,"pages 382-391,",,"to appear, journal of the association for computing machinery.",
43,cesa,"n. cesa-bianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.",,how to use expert advice.,,"proceedings of the 25th acm symposium on the theory of computation,",,,1993,,,,
44,cesa,"n. cesa-bianchi, y. freund, d. helmbold, d. haussler, r. schapire, and m. war-muth.",,how to use expert advice.,,"in proceedings of the eighteenth annual acm symposium on theory of computing,","san diego, ca,",,1993,"pages 382-391,",,,may
45,cesa,"n. cesa-bianchi, y. freund, d. helmbold, d. haussler, r. schapire, and m. warmuth.",,how to use expert advice.,,"in proceedings of the eighteenth annual acm symposium on theory of computing,","san diego, ca,",,1993,"pages 382-391,",,,may
46,cesa,"n. cesa-bianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k. warmuth.",,how to use expert advice.,,"in proc. 25th symposium on the theory of computing,","new york, ny,","acm press,",1993,pages 382-391.,,,
47,cesa,"nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.",,how to use expert advice.,,"in proceedings of the 43 twenty-fifth annual acm symposium on the theory of computing,",,,1993,"pages 382-391,",,,
48,cesa,"nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.",,how to use expert advice.,,"in proceedings of the twenty fifth annual acm symposium on theory of computing,",,,1993,"pages 382-391,",,references 17,may
49,cesa,"n. cesa-bianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.",,how to use expert advice.,,"proceedings of the 25th acm symposium on the theory of computation,",,,1993,,,,
50,cesa,"nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e schapire, and manfred k warmuth.",,how to use expert advice.,,"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,",,,1993,"pages 382-391,",,,
51,cesa,"n. cesa-bianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k.",,"warmuth 'how to use expert advice',",,"proceedings of stoc93,",,,1993,"pp. 382-391,",,,
52,cesa,"n. cesa-bianchi, y. freund, d. p. helmbold, and m. warmuth.",,on-line predic tion and conversion strategies.,,"in computational learning theory: eurocolt '93, volume new series number 53 of the institute of mathematics and its applications conference series,","oxford, 1994.",oxford university press.,,"pages 205-216,",,,
53,cesa,"n. cesa-bianchi, y. freund, d. p. helmbold, and m. warmuth.",,on-line prediction and conversion strategies.,,"in computational learning theory: eurocolt '93, volume new series number 53 of the institute of mathematics and its applications conference series,","oxford, 1994.",oxford university press.,,"pages 205-216,",,,
54,cesa,"cesa-bianchi, n., freund, y., helmbold,",,on-line prediction and conversion strategies. in proceedings of the first euro-colt workshop.,,"the institute of mathematics and its applications,",,m.k.,(1994).,,,to appear.,
55,cesa,"cesa-bianchi, n., freund, y., helmbold, d. p., and warmuth, m.","eurocolt '93,",on-line prediction and conversion strategies.,,in computational learning theory:,,oxford. oxford university press.,(1994).,"pages 205-216,",,,
56,cesa,"cesa-bianchi, n., freund, y., helmbold, d. p., and warmuth, m.","eurocolt '93,",on-line prediction and conversion strategies.,,in computational learning theory:,,oxford university press.,(1994).,pages 205-216.,,,
57,cesa,"cesa-bianchi, n., y. freund, d. p. helmbold, and m. warmuth.",,on-line prediction and conversion strategies.,,"in computational learning theory: eurocolt '93, volume new series number 53 of the institute of mathematics and its applications conference series,",,oxford. oxford university press.,1994,"pages 205-216,",,,
58,cesa,"n. cesa-bianchi, y. freund, d. p. helmbold, and m. warmuth.","eu-rocolt '93,",on-line prediction and conversion strategies.,,in computational learning theory:,"oxford, 1994.",oxford university press.,,"pages 205-216,",,,
59,cesa,"n. cesa-bianchi, y. freund, d.p. helmbold, and m. warmuth.",,on-line prediction and conversion strategies.,,"in eurocolt,",,"clarendon press,",1993,pages 205-216.,,,
60,cesa,"n. cesa-bianchi, y. freund, d. p. helmbold, and m. warmuth.",,on-line prediction and conversion strategies.,,"in computational learning theory: eurocolt '93, volume new series number 53 of the institute of mathematics and its applications conference series,","oxford, 1994.",oxford university press.,,"pages 205-216,",,,
61,cesa,"n. cesa-bianchi, y. freund, d. helmbold, and m.k. warmuth.",,on-line prediction and conversion strategies.,,"the 1993 ima european conference on computational learning theory,",,,1993,,,,
62,cesa,"n. cesa-bianchi, y. freund, d. p. helm-bold, and m. warmuth.",,on-line prediction and conversion strategies.,,"in computational learning theory: eurocolt '93, volume new series number 53 of the institute of mathematics and its applications confer--ence series,","oxford, 1994.",oxford university press.,,"pages 205-216,",,,
63,cesa,"cesa-bianchi, n., freund, y., haussler, d., helmbold, d. p., schapire, r. e. & warmuth, m. k.",,"how to use expert advice,","univ. of calif. computer research lab, santa cruz, ca.","technical report ucsc-crl-94-33,",,,"(1994),",,,an extended abstract appeared in stoc '93.,
64,cesa,"cesa-bianchi, n., freund, y., haussler, d., helmbold, d. p., schapire, r. e., and warmuth, m. k.",,"how to use expert advice,'","university of california,","computer research laboratory. an extended abstract appeared in 'proceedings, 25th annual acm symposium on the theory of computing,'",new york.,"acm press,","(1994),","pp. 382-381,",,,
65,cesa,"n. cesa-bianchi, y. freund, d. haussler, d. p. helmbold, r. e. schapire, and m. k. warmuth,",,"how to use expert advice',","ucsc-crl-94-33, university of california, santa cruz,",tech. rep.,,,1994,,,,
66,cesa,"n. cesa-bianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k. warmuth.",,how to use expert advice.,"univ. of calif. computer research lab,","technical report ucsc-crl-94-33,","santa cruz, ca,",,1994,,,an extended abstract appeared in stoc '93.,
67,cesa,"n. cesa-bianchi, y. freund, d. haussler, d. p. helmbold, r. e. schapire, and m. k. warmuth,",,"how to use expert advice,'","ucsc-crl-94-33, university of california, santa cruz,",tech. rep.,,,1994,,,,
68,cesa,"n. cesa-bianchi, y. freund ,d. haussler, d. p. helmbold, r. e. schapire, and m. k. warmuth.",,how to use expert advice.,"univ. of calif. computer research lab,","technical report ucsc-crl-94-33,","santa cruz, ca,",,1994,,,an extended abstract appeared in stoc '93.,
69,cesa,"n. cesa-bianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k. war-muth.",,how to use expert advice.,"univ. of calif. computer research lab,","technical report ucsc-crl-94-33,","santa cruz, ca,",,1994,,,an extended abstract appeared in stoc '93.,
70,cesa,"n. cesa-bianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k. warmuth.",,how to use expert advice.,"univ. of calif. computer research lab,","technical report ucsc-crl-94-33,","santa cruz, ca,",,1994,,,an extended abstract appeared in stoc '93.,
71,cesa,"n. cesa-bianchi, y. freund, d. p. helmbold, and m. k. warmuth,","vol. 25,","on-line prediction and conversion strategies,'",,"machine learning,",,,1996,"pp. 71-110,",,,
72,cesa,"n. cesa-bianchi, y. freund, d. p. helmbold, and m. k. warmuth.",,on--line prediction and conversion strategies.,,"machine learning,",,,1995,,,"to appear, an extended abstract appeared in eurocolt `93.",
73,cesa,"n. cesa-bianchi, y. freund,",,"d.p. helmbold, and m.k. warmuth. on-line prediction and conversion strategies.",,"machine learning,",,,1996,,,to appear.,
74,cesa,"cesa-bianchi, n., freund, y., haussler, d., helmbold, d. p., schapire, r. e., & warmuth, m. k.","44(3),",how to use expert advice.,,"journal of the acm,",,,(1997).,427-485.,,,
75,cesa,"nicolo cesa-bianchi, yoav freund, david haussler, david p. helmbold, robert e. schapire, and manfred k. warmuth.",44(3),how to use expert advice.,,"journal of the association for computing machinery,",,,1997,"427-485,",,,may
76,cesa,"nicolo cesa-bianchi, yoav freund, david haussler, david p. helmbold, robert e. schapire, and manfred k. warmuth.",44(3),how to use expert advice.,,"journal of the association for computing machinery,",,,1997,"427-485,",,,may
77,cesa,"n. cesa-bianchi, y. freund, d. haussler, d. p. helmbold, r. e. schapire, and m. k. warmuth,","vol. 44,","how to use expert advice,'",,"journal of the acm,",,,1997,"pp. 427-485,",,,
78,cesa,"n. cesa-bianchi, y. freund, d. haussler, d. p. helmbold, r. e. schapire, and m. k. warmuth,","vol. 44,","how to use expert advice,'",,"journal of the acm,",,,1997,"pp. 427-485,",,,
79,cohen1998,"william w. cohen, rob schapire, and yoram singer.",,learning to order things.,,,,,1997,,,"to appear in nips-97,",
80,cohen1998,"william w. cohen, robert e. schapire, and yoram singer.",,learning ro order things.,,"in advances in neural information processing systems 10,",,,1997,,,,
81,cohen1998,"william w. cohen, robert e. schapire, and yoram singer.",,learning to order things.,,"in advances in neural information processing systems 10,",,,1998,,,,
82,cohen1998,"w. w. cohen, r. e. shapire, and y. singer.",,learning to order things.,,"in advances in neural information processing systems 10,",,,1998,,,,
83,dietterich1996,"t. g. dietterich, m. kearns, and y. mansour.",,applying the weak learning framework to understand and improve c4.5.,,"in proceedings of the 13th international conference on machine learning,",,"morgan kaufmann,",1996,pages 96-104.,,,
84,dietterich1996,"dietterich, t. g., kearns, m., & mansour, y.",,applying the weak learning framework to understand and improve c4.5.,,"in proceedings of the 13th international conference on machine learning,",,morgan kaufmann.,(1996).,(pp. 96-104).,,,
85,dietterich1996,"dietterich, t., kearns, m., & mansour, y.",,applying the weak learning framework to understand and improve c4.5.,,"in proceedings of the thirteenth international conference on machine learning,","bari, italy.",,(1996).,,,,
86,dietterich1996,"dietterich, t., kearns, m., & mansour, y.",,applying the weak learning framework to understand and improve c4.5.,,proc. thirteenth intl. conf. machine learning (pp.,,,(1996).,96-104).,,,
87,dietterich1996,"dietterich, t., m. kearns, and y.",,mansour (1996). applying the weak learning framework to un-derstand and improve c4.5.,,to appear in proceedings of the thirteenth international conference on machine learning.,"bari, italy:",morgan kaufmann.,,,,,
88,dietterich1996,"dietterich, t., m. kearns, and y.",,mansour (1996). applying the weak learning framework to understand and improve c4.5.,,to appear in proceedings of the thirteenth international conference on machine learning.,"bari, italy:",morgan kaufmann.,,,,,
89,dietterich1996,"t. dietterich, m. kearns, and y. mansour.",,applying the weak learning framework to understand and improve c4.5.,,"in proceedings of the 13th international conference on machine learning,",,,1996,"pages 96-104,",,,
90,dietterich1996,"tom dietterich, michael kearns, and yishay mansour.",,applying the weak learning framework to understand and improve c4.5.,,"in machine learning: proceedings of the thirteenth international conference,",,,1996,,,,
91,dietterich1996,"t. dietterich, m. kearns, and y. mansour.",,applying the weak learning framework to understand and improve c4.5.,,in machine learning: proceedings of the international conference.,,"morgan kaufmann,",1996,,,,
92,dietterich1996,"t. dietterich, m. kearns, and y. mansour.",,applying the weak learning framework to understand and improve c4.5.,,"unpublished manuscript,",,,1996,,,,
93,drucker1992,"h. drucker, r. schapire, and p. simard.","volume 5,",improving performance in neural networks using a boosting algorithm.,,"advances in neural information processing systems,",,"morgan kaufmann,",1993,pages 42-49.,"in steven j. hanson, jack d. cowan, and c. lee giles, editors,",,
94,drucker1992,"h. drucker, r. schapire, and p. simard.","volume 5,",improving performance in neural networks using a boosting algorithm.,,"advances in neural information processing systems,",,"morgan kaufmann,",1993,pages 42-49.,"in steven j. hanson, jack d. cowan, and c. lee giles, editors,",,
95,drucker1992,"drucker, h., schapire, r., & simard, p.",,improving performance in neural networks using a boosting algorithm.,,in advances in neural information processing systems (vol. 4).,san francisco:,morgan kaufmann.,(1992).,,,,
96,drucker1992,"drucker, h., schapire, r., & simard, p.",,improving performance in neural networks using a boosting algorithm.,,"advances in neural information processing systems (volume 5),","palo alto, ca.",morgan kaufmann.,(1992).,"(pp. 42-49),","in hanson, j., cowan, j., & giles, c., editors,",,
97,drucker1992,"drucker, h., schapire, r., & simard, p.",,improving performance in neural networks using a boosting algorithm.,,advances in neural information processing systems (volume 5).,"san mateo, ca.","morgan kaufmann,",(1993).,,"in hanson, s. j., cowan, j. d., & giles, c. l., editors,",,
98,drucker1992,"drucker, h., schapire, r., & simard, p.","5,",improving the performance in neural networks using a boosting algorithm.,,"advances in neural information processing systems,",,,(1993).,42-49.,,,
99,drucker1992,"r. & hart, p.","volume 5,",pattern classification and scene analysis.,,"advances in neural information processing systems,",,addison-wesley.,(1973).,(pp. 42-49).,"in hanson, s. j., cowan, j. d., & giles, c. l. (eds.),","morgan kaufmann. 198 duda,",
100,drucker1992,"drucker, h., schapire, r., and simard, p.","volume 5,",improving performance in neural networks using a boosting algorithm.,,"advances in neural information processing systems,",,morgan kaufmann.,(1993).,pages 42-49.,"in hanson, s. j., cowan, j. d., and giles, c. l., editors,",,
101,drucker1992,"drucker, h., schapire, r., and simard, r.",,improving performance in neural networks using a boosting algorithm.,,"advances in neural information processing systems 5,","san mateo, ca.",morgan kaufmann.,1993,"pages 42-49,","in hanson, s. j., cowan, j. d., and giles, c. l., editors,",,
102,drucker1992,"drucker, harris; schapire, robert; and simard,",,patrice 1993. improving performance in neural networks using a boosting algorithm.,,"in advances in neural informations processing systems 5,","san ma-teo, ca.",morgan kaufmann.,,42-49.,,,
103,drucker1992,"drucker, h., schapire, r., simard, p.",,"(1993) 'improving performance in neural networks using a boosting algorithm,'",,"in advances in neural information processing systems 5,","42-49,",morgan kaufmann.,,,"s. j. hanson, j. cowan, l. giles (eds.),",,
104,drucker1992,"drucker, schapire and simard,",,"improving performance in neural networks using a boosting algorithm,",,"advances in neural information processing systems 5,",,,"1993,",42-49. 14,,,
105,drucker1992,"harris drucker, robert schapire, and patrice simard.",,improving performance in neural networks using a boosting algorithm.,,"advances in neural information processing systems 5,",,"morgan kaufmann,",1993,pages 42-49.,"in steven j. hanson, jack d. cowan, and c. lee giles, editors,",,
106,drucker1992,"harris drucker, robert schapire, and patrice simard.",,improving performance in neural networks using a boosting algorithm.,,in advances in neural information processing systems.,,"morgan kaufmann,",1992,,,,
107,drucker1992,"h. drucker, r. schapire, and p. simard,",,"improving performance in neural networks using a boosting algorithm,'",,"in advances in neural information processing systems 5,","san mateo, ca,",morgan kaufmann.,"1993,","pp. 42-49,","s. j. han-son, j. d. cowan, and c. l. giles, eds.,",,
108,drucker1992,"drucker, h., schapire, r., simard, p.",,"(1993) 'improving performance in neural networks using a boosting algorithm,'",,"in advances in neural information processing systems 5,","42-49,",morgan kaufmann.,,,"s. j. hanson, j. cowan, l. giles (eds.),",,
109,drucker1992,"harris drucker, robert schapire, and patrice simard.",,improving performance in neural networks using a boosting algorithm.,,"in advances in neural information processing systems 5,",,,1993,"pages 42-49,",,,
110,drucker1992,"harris drucker, robert schapire, and patrice simard.",,improving performance in neural networks using a boosting algorithm.,,"in advances in neural informations processing systems 5,","san mateo, ca, 1993.",morgan kaufmann.,,"pages 42-49,",,,
111,drucker1992,"harris drucker, robert e. schapire, and ptrice simard.",,improving performance in neural networks using a boosting algorithm.,,"in proceedings of the fifth conf. on neural informations processing systems,","san mateo, ca, 1993.",morgan kaufmann.,,,,,
112,drucker1992,"h. drucker, r. schapire, and p. simard.",,boosting performance in neural networks.,,"international journal of pattern recognition and artificial intelligence,",,,,,,[to appear].,
113,drucker1992,"harris drucker, robert schapire, and patrice simard.","7(4):705719,",boosting performance in neural net-works.,,"international journal of pattern recognition and artificial intelligence,",,,1993,,,,
114,drucker1992,"harris drucker, robert schapire, and patrice simard.",7(4),boosting performance in neural networks.,,"international journal of pattern recognition and artificial intelligence,",,,1993,"705-719,",,,
115,drucker1992,"drucker, h., r. schapire & p.","5,","improving the performance in neural networks using a boosting algorithm,",,"advances in neural information processing systems,",,,"(1993),",pp. 42-49.,,,simad
116,drucker1992,"drucker, h., schapire, r. & simard, p.",,"improving performance in neural networks using a boosting algorithm,",,"`neural information processing systems',",,"morgan kauffmann,","(1993),",pp. 42-49.,"in s. hanson, j. cowan & c. giles, eds,",,
117,drucker1992,"drucker, h., schapire, r. e., & simard, p.","7 (4),",boosting performance in neural networks.,,"international journal of pattern recognition and artificial intelligence,",,,(1993).,705-720.,,,
118,drucker1992,"drucker, h., schapire, r., & simard, p.","7,",boosting performance in neural networks.,,"intl. j. pat. recog. art. intel.,",,,(1993).,705-719.,,,
119,drucker1992,"drucker, h., schapire, r., & simard, p.","7 (4),",boosting performance in neural networks.,,"international journal of pattern recognition and artificial intelligence,",,,(1993a).,705-719.,,,
120,drucker1992,"drucker, harris; schapire, robert; and simard,",,patrice up . boosting performance in neural networks.,,international journal of pattern recognition and artificial intelligence 7(4),,,,705-719.,,,
121,drucker1992,"h. drucker, r. schapire, and p. simard.",7(4),boosting performance in neural networks.,,"international journal of pattern recognition and artificial intelligence,",,,1993,"705-719,",,,
122,drucker1992,"harris drucker, robert schapire, and patrice simard.",4,boosting performance in neural networks.,,"international journal of pattern recognition and artificial intelligence,",,,1993,"705-719,",,,
123,drucker1992,"h. drucker, r. schapire, and p. simard,","vol. 7, no. 4,","boosting performance in neural networks,'",,"international journal of pattern recognition and artificial intelligence,",,,1993,"pp. 705-719,",,,
124,drucker1992,"harris drucker, robert schapire, and patrice simard.","7(4):705 719,",boosting performance in neural networks.,,"international journal of pattern recognition and artificial intelligence,",,,1993,,,,
125,drucker1992,"harris drucker, robert schapire, and patrice simard.",7(4),boosting performance in neural networks.,,"international journal of pattern recognition and artificial intelligence,",,,1993,"705-719,",,,
126,drucker1992,"h. drucker, r. schapire, and p. simard.",,boosting performance in neural networks.,,"intl. j. pat. recog. art. intel.,",,,1993,,,to appear.,
127,drucker1992,"harris drucker, robert schapire, and patrice simard.",7(4),boosting performance in neural networks.,,"international journal of pattern recognition and artificial intelligence,",,,1993,"705-719,",,,
128,druker1992,"h. druker, r. schapire, p. simard,","vol. 5,","improving performance in neural networks using a boosting algorithm,",,"advances in neural information processing systems,",,"morgan kaufmann,","1993,",42-49.,,,
129,ehrenfeucht1988,"ehrenfeucht, a., haussler, d., kearns, m., and valiant, l.",,a general lower bound on the number of examples needed for learning.,,in proceedings colt-88.,,,(1988).,,,,
