label,left_id,left_cluster_name,left_authors,left_a1,left_title,left_affiliation,left_proceeding,left_location,left_a2,left_a3,left_pages,left_editor,left_a4,left_a5,right_id,right_cluster_name,right_authors,right_a1,right_title,right_affiliation,right_proceeding,right_location,right_a2,right_a3,right_pages,right_editor,right_a4,right_a5,id
0,422,freund1997b,"yoav freund, robert e. schapire, yoram singer, and man-fred k. warmuth.",,using and combining predictors that specialize.,,"in proceedings of the twenty-ninth annual acm symposium on the theory of computing,",,,1997,"pages 334-343,",,,,681,kearns1987b,"kearns, m., li, m., pitt, l., & valiant, l. g.",,recent results on boolean concept learning.,,proceedings of the fourth international workshop on machine learning (pp.,"irvine, ca:",morgan kaufmann.,(1987).,337-352).,,,,16
1,486,goldman1995,s. a. goldman and m. j. kearns.,50(1),on the complexity of teaching.,,"journal of computer and system sciences,",,,1995,"20-31,",,,,487,goldman1995,"goldman, s. a., & kearns, m. j.",,on the complexity of teaching.,,jcss 50(1):,,,(1995).,20-31.,,,,17
0,1256,schapire1995,"schapire, r.e., and y. freund,",,a decision theoretic generalization of on-line learning and its application to boosting'.,,"in eurocolt '95,pp.",,"springer verlag,",1995,"23-27,",,,,487,goldman1995,"goldman, s. a., & kearns, m. j.",,on the complexity of teaching.,,jcss 50(1):,,,(1995).,20-31.,,,,18
0,1166,schapire1988,"schapire, r. e.",,diversity-based inference of finite automata.,"massachusetts institute of technology,","master's thesis,","cambridge, ma.",,(1988).,,,,,487,goldman1995,"goldman, s. a., & kearns, m. j.",,on the complexity of teaching.,,jcss 50(1):,,,(1995).,20-31.,,,,19
0,250,freund1993a,"y. freund, m. kearns, d. ron, r. rubinfeld, r. schapire, and l. sellie.",,efficient learning of typical finite automata from random walks.,,"in proceedings of the 24th annual acm symposium on theory of computing,",,,1993,"pages 315-324,",,,,487,goldman1995,"goldman, s. a., & kearns, m. j.",,on the complexity of teaching.,,jcss 50(1):,,,(1995).,20-31.,,,,20
0,1117,rivest1989,r. l. rivest and r. e. schapire.,,inference of finite automata using homing sequences.,,"in acm symposium on the theory of computing,",,,1989,"pages 411-420,",,,,487,goldman1995,"goldman, s. a., & kearns, m. j.",,on the complexity of teaching.,,jcss 50(1):,,,(1995).,20-31.,,,,21
0,322,freund1995f,"freud, y., kearns, m., mansour, y. ron, d., rubinfeld, r., and shapire, r. e.",,efficient algorithms for learning to play repeated games against computationally bounded adversaries.,,proceedings of the 36 th annual symposium on foundations of computer science.,,,1995,,,,,487,goldman1995,"goldman, s. a., & kearns, m. j.",,on the complexity of teaching.,,jcss 50(1):,,,(1995).,20-31.,,,,22
0,486,goldman1995,s. a. goldman and m. j. kearns.,50(1),on the complexity of teaching.,,"journal of computer and system sciences,",,,1995,"20-31,",,,,598,helmbold1995a,"d. p. helmbold, r. e. schapire, y. singer, and m. k. warmuth.",,a comparison of new and old algorithms for a mixture estimation problem.,,"in proceedingsof the eighth annual workshop on computationallearning theory,",,,1995,"pages 69-78,",,,,23
0,635,kautz1995,"kautz, henry a.; kearns, michael j.; and selman, bart ppear.",,horn approximations of empirical data.,,artificial intelligence.,,,,,,,,598,helmbold1995a,"d. p. helmbold, r. e. schapire, y. singer, and m. k. warmuth.",,a comparison of new and old algorithms for a mixture estimation problem.,,"in proceedingsof the eighth annual workshop on computationallearning theory,",,,1995,"pages 69-78,",,,,24
1,486,goldman1995,s. a. goldman and m. j. kearns.,50(1),on the complexity of teaching.,,"journal of computer and system sciences,",,,1995,"20-31,",,,,489,goldman1995,s. a. goldman and m. j. kearns.,50(1),on the complexity of teaching.,,"journal of computer and system sciences,",,,1995,"20-31,",,,,25
0,1058,kearns1999a,michael kearns and satinder singh.,,finite-sample convergence rates for q-learning and indirect algorithms.,,in neural information processing systems 12.,,"mit press, (to appear),",1999,,,,,489,goldman1995,s. a. goldman and m. j. kearns.,50(1),on the complexity of teaching.,,"journal of computer and system sciences,",,,1995,"20-31,",,,,26
0,590,helmbold1995,david p. helmbold and robert e. schapire.,,predicting nearly as well as the best pruning of a decision tree.,,"in proceedings of the eighth annual conference on computational learning theory,",,,1995,"pages 61-68,",,,,489,goldman1995,s. a. goldman and m. j. kearns.,50(1),on the complexity of teaching.,,"journal of computer and system sciences,",,,1995,"20-31,",,,,27
0,395,freund1996d,"freund, y., & schapire, r. e.",,a decision-theoretic generalization of on-line learning and an application to boosting.,,"unpublished manuscript,",,,(1996a).,,,"available from the authors' home pages ('http://www.research.att.com/orgs/ssr/people/fyoav,schapireg').",,489,goldman1995,s. a. goldman and m. j. kearns.,50(1),on the complexity of teaching.,,"journal of computer and system sciences,",,,1995,"20-31,",,,,28
0,486,goldman1995,s. a. goldman and m. j. kearns.,50(1),on the complexity of teaching.,,"journal of computer and system sciences,",,,1995,"20-31,",,,,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,29
0,1059,kearns1999b,"m. kearns, y. mansour, and a. ng.",,a sparse sampling algorithm for near-optimal planning in large markov decision processes. 1999.,,unpublished manuscript.,,,,,,,,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,30
0,1081,littlestone,"littlestone, n, schapire, and warmuth, m.,",,"hypothesis schemas,",,in progress.,,,,,,,,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,31
0,1256,schapire1995,"schapire, r.e., and y. freund,",,a decision theoretic generalization of on-line learning and its application to boosting'.,,"in eurocolt '95,pp.",,"springer verlag,",1995,"23-27,",,,,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,32
0,1259,schapire1996p,"schapire, r.e.",,private communication.,,,,,"(1996),",,,,,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,33
0,1259,schapire1996p,"schapire, r.e.",,private communication.,,,,,"(1996),",,,,,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,34
0,518,haussler1991,"d. haussler, m. kearns, n. littlestone, and m. warmuth.",95(2),equivalence of models for polynomial learnability.,,"inform. comput.,",,,1991,"129-161,",,,december,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,35
0,361,freund1996c,"freund, y., & schapire, r. e.",,experiments with a new boosting algorithm.,,proc. thirteenth international conference on machine learning (pp.,"bari, italy:",morgan kaufmann.,(1996).,148-156).,,,,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,36
0,755,kearns1989a,"m. kearns, l. pitt.",,a polynomial-time algorithm for learning k-variable pattern languages from examples.,,"proceedings of the 1989 workshop on computational learning theory,",,"morgan kaufmann publishers,","1989,",pp. 57-71. 33,,,,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,37
0,458,goldman1990c,"sally a. goldman, ronald l. rivest, and robert e. schapire.",,learning binary relations and total orders.,"mit laboratory for computer science,","technical report mit/lcs/tm-413,",,,1989,,,"a preliminary version is available in proceedings of the thirtieth annual symposium on foundations of computer science, pages 46-51,",may,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,38
0,972,kearns1994c,m. j. kearns and r. e. schapire.,48(3),efficient distribution-free learning of probabilistic concepts.,,"journal of computer and system sciences,",,,1994,"464-497,",,,,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,39
0,240,freund1992c,y. freund and d. haussler.,,unsupevised learning of distributions on binary vectors using two-layer networks.,,"in proceedings of the 1991 conf. on neural informations processing systems,","san mateo, ca, 1992.",morgan kaufmann.,,,,,,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,40
0,424,freund1997b,"yoav freund, robert e. schapire, yoram singer, and manfred k. warmuth.",,using and combining predictors that specialize.,,"in proceedings of the twenty-ninth annual acm symposium on the theory of computing,",,,1997,"pages 334-343,",,,,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,41
0,594,helmbold1995,d. p. helmbold and r. e. schapire.,,predicting nearly as well as the best pruning of a decision tree.,,"to appear in the proceedings of the eighth annual conference on computational learning theory,","santa cruz,",,1995,,,,july,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,42
0,2,blum1993,"avrim blum, merrick furst, michael kearns, and richard j. lipton.",,cryptographic primitives based on hard learning problems.,,"in pre-proceedings of crypto '93,",,,1993,"pages 24.1-24.10,",,,,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,43
0,263,freund1993b,"freund, y.",,data filtering and distribution modeling algorithms for machine learning.,university of california at santa cruz.,"phd thesis,",,,(1993).,,,,,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,44
0,1294,singer,robert e. schapire yoram singer.,,improved boosting algorithms using confidence-rated predictions.,,,,,,,,submitted for publication.,,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,45
0,548,haussler1992,"haussler, d., kearns, m. and schapire, r.",,bounds on the sample complexity of bayesian learning using information theory and the vc dimension.,"ucsc-crl-91-44, university of california at santa cruz.",,,,(1992).,,,,,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,46
0,509,haussler1991,"d. haussler, m. kearns, n. littlestone, and m. k. warmuth.",95(2),equivalence of models for polynomial learnability.,,"inform. comput.,",,,1991,"129-161,",,,december,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,47
0,866,kearns1993b,m. kearns.,,efficient noise-tolerant learning from statistical queries.,,"in proc. 25th annu. acm sympos. theory comput.,",,,1993,"pp 392-401,",,,,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,48
0,175,feder1995,"m. feder, y. freund, and y. mansour.",,optimal universal learning and prediction of probabilistic concepts.,,"in proc. of ieee information theory conference,",,"ieee,",1995,page 233.,,,,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,49
0,175,feder1995,"m. feder, y. freund, and y. mansour.",,optimal universal learning and prediction of probabilistic concepts.,,"in proc. of ieee information theory conference,",,"ieee,",1995,page 233.,,,,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,50
0,626,kautz1995,"kautz, h. a., kearns, m. j., & selman.","vol. 74,",b (1995) horn approximations of empirical data.,,"artificial intelligence,",,,,129-145.,,,,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,51
0,992,kearns1994cryp,m. kearns and l. g. valiant.,41(1),cryptographic limitations on learning boolean formulae and finite automata.,,"j. acm,",,,1994,"67-95,",,,,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,52
0,1060,lewis1996,"d. d. lewis, r. e. schapire, j. p. callan, and r. papka.",,training algorithms for linear classifiers.,,"in proc. of the 19th annual international acm-sigir conference on research and development in information retrieval,",,"hartung-gorre verlag,",1996,pages 298-306.,,,,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,53
0,773,kearns1990,"kearns, m.",,the computational complexity of machine learning.,,,,the mit press.,(1990).,,,,,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,54
0,1059,kearns1999b,"m. kearns, y. mansour, and a. ng.",,a sparse sampling algorithm for near-optimal planning in large markov decision processes. 1999.,,unpublished manuscript.,,,,,,,,755,kearns1989a,"m. kearns, l. pitt.",,a polynomial-time algorithm for learning k-variable pattern languages from examples.,,"proceedings of the 1989 workshop on computational learning theory,",,"morgan kaufmann publishers,","1989,",pp. 57-71. 33,,,,55
0,872,kearns1993b,m. kearns.,,efficient noise-tolerant learning from statistical queries.,,"in 25th stoc,","san diego,",,1993,,,to appear.,,755,kearns1989a,"m. kearns, l. pitt.",,a polynomial-time algorithm for learning k-variable pattern languages from examples.,,"proceedings of the 1989 workshop on computational learning theory,",,"morgan kaufmann publishers,","1989,",pp. 57-71. 33,,,,56
0,131,ehrenfeucht1988,"a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.",,a general lower bound on the number of examples needed for learning.,"university of california, computer research laboratory,","technical report ucsc-crl-87-26,","santa cruz, ca,",,1988,,,,jan-uary,755,kearns1989a,"m. kearns, l. pitt.",,a polynomial-time algorithm for learning k-variable pattern languages from examples.,,"proceedings of the 1989 workshop on computational learning theory,",,"morgan kaufmann publishers,","1989,",pp. 57-71. 33,,,,57
0,458,goldman1990c,"sally a. goldman, ronald l. rivest, and robert e. schapire.",,learning binary relations and total orders.,"mit laboratory for computer science,","technical report mit/lcs/tm-413,",,,1989,,,"a preliminary version is available in proceedings of the thirtieth annual symposium on foundations of computer science, pages 46-51,",may,755,kearns1989a,"m. kearns, l. pitt.",,a polynomial-time algorithm for learning k-variable pattern languages from examples.,,"proceedings of the 1989 workshop on computational learning theory,",,"morgan kaufmann publishers,","1989,",pp. 57-71. 33,,,,58
0,258,freund1993a,"y. freund, m. kearns, d. ron, r. rubinfeld, r. schapire, and l. sellie.",,efficient learning of typical finite automata from random walks.,,"in proc. 25th stoc,",,"acm,",1993,pages 315-324.,,,,755,kearns1989a,"m. kearns, l. pitt.",,a polynomial-time algorithm for learning k-variable pattern languages from examples.,,"proceedings of the 1989 workshop on computational learning theory,",,"morgan kaufmann publishers,","1989,",pp. 57-71. 33,,,,59
0,592,helmbold1995,david p. helmbold and robert e. schapire.,,predicting nearly as well as the best pruning of a decision tree.,,"proceedings of the eighth annual conference on computational learning theory,",,"acm press,",1995,"pages 61 - 68,",,,,755,kearns1989a,"m. kearns, l. pitt.",,a polynomial-time algorithm for learning k-variable pattern languages from examples.,,"proceedings of the 1989 workshop on computational learning theory,",,"morgan kaufmann publishers,","1989,",pp. 57-71. 33,,,,60
0,1059,kearns1999b,"m. kearns, y. mansour, and a. ng.",,a sparse sampling algorithm for near-optimal planning in large markov decision processes. 1999.,,unpublished manuscript.,,,,,,,,694,kearns1988,michael kearns and ming li.,,learning in the presence of malicious errors.,,"in proceedings of the 20 th annual acm symposium on theory of computing,","chicago, illinois,",,1988,,,,may,61
0,440,goldman1993a,"goldman, s., kearns, m., & schapire, r.",,exact identification of circuits using fixed points of amplification functions.,,"in proceedings of the thirty-first annual symposium on foundations of computer science,","st. louis, mo:",ieee computer society press.,(1990).,(pp. 193-202).,,,,694,kearns1988,michael kearns and ming li.,,learning in the presence of malicious errors.,,"in proceedings of the 20 th annual acm symposium on theory of computing,","chicago, illinois,",,1988,,,,may,62
1,691,kearns1988,"m. kearns, m. li,",,"learning in the presence of malicious errors,",,,,,,,,stoc 1988,,694,kearns1988,michael kearns and ming li.,,learning in the presence of malicious errors.,,"in proceedings of the 20 th annual acm symposium on theory of computing,","chicago, illinois,",,1988,,,,may,63
0,1059,kearns1999b,"m. kearns, y. mansour, and a. ng.",,a sparse sampling algorithm for near-optimal planning in large markov decision processes. 1999.,,unpublished manuscript.,,,,,,,,1102,rivest1987d,r. l. rivest and r. e. schapire.,,diversity-based inference of finite automata.,,"in proc. 28th ieee symp. on foundations of computer science,",,,1987,"pages 78-87,",,,23,64
1,1099,rivest1987d,ronald l. rivest and robert e. schapire.,,diversity-based inference of finite au tomata.,,"in proceeding of the twenty-eighth annual symposium on foundations of computer science,","los angeles, california,",,1987,"pages 78-87,",,,october,1102,rivest1987d,r. l. rivest and r. e. schapire.,,diversity-based inference of finite automata.,,"in proc. 28th ieee symp. on foundations of computer science,",,,1987,"pages 78-87,",,,23,65
1,1100,rivest1987d,ronald l. rivest and robert e. schapire.,,diversity-based inference of finite automata.,,"in proceeding of the twenty-eighth annual symposium on foundations of computer science,","los angeles, california,",,1987,"pages 78-87,",,,october,1102,rivest1987d,r. l. rivest and r. e. schapire.,,diversity-based inference of finite automata.,,"in proc. 28th ieee symp. on foundations of computer science,",,,1987,"pages 78-87,",,,23,66
0,1059,kearns1999b,"m. kearns, y. mansour, and a. ng.",,a sparse sampling algorithm for near-optimal planning in large markov decision processes. 1999.,,unpublished manuscript.,,,,,,,,548,haussler1992,"haussler, d., kearns, m. and schapire, r.",,bounds on the sample complexity of bayesian learning using information theory and the vc dimension.,"ucsc-crl-91-44, university of california at santa cruz.",,,,(1992).,,,,,67
0,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,548,haussler1992,"haussler, d., kearns, m. and schapire, r.",,bounds on the sample complexity of bayesian learning using information theory and the vc dimension.,"ucsc-crl-91-44, university of california at santa cruz.",,,,(1992).,,,,,68
0,490,goldman1995,s. a. goldman and m. j. kearns.,50(1),on the complexity of teaching.,,"journal of computer and system sciences,",,,1995,"20-31,",,,february,548,haussler1992,"haussler, d., kearns, m. and schapire, r.",,bounds on the sample complexity of bayesian learning using information theory and the vc dimension.,"ucsc-crl-91-44, university of california at santa cruz.",,,,(1992).,,,,,69
0,413,freund1997a,yoav freund and robert e. schapire.,55(1),a decision-theoretic generalization of on-line learning and an application to boosting.,,"journal of computer and system sciences,",,,1997,"119-139,",,,august,548,haussler1992,"haussler, d., kearns, m. and schapire, r.",,bounds on the sample complexity of bayesian learning using information theory and the vc dimension.,"ucsc-crl-91-44, university of california at santa cruz.",,,,(1992).,,,,,70
0,615,helmbold1997c,"d. helmbold, r. e. schapire, y. singer, and m. k. warmuth.",,a comparison of new and old algorithms for a mixture estimation problem.,,"machine learning,",,,1997,,,to appear.,,548,haussler1992,"haussler, d., kearns, m. and schapire, r.",,bounds on the sample complexity of bayesian learning using information theory and the vc dimension.,"ucsc-crl-91-44, university of california at santa cruz.",,,,(1992).,,,,,71
