ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes
promises and realities of active database systems,"eric simon , angelika kotz dittrich",vldb,1995,promises and realities of active database systems,"sang hyuk son , rasikan david , bhavani m. thuraisingham",very large data bases,1995,"('authors',)"
promises and realities of active database systems,"eric simon , angelika kotz dittrich",vldb,1995,promises and realities of active database systems,"eric simon , angelika kotz dittrich",very large data bases,1996,"('year',)"
promises and realities of active database systems,"eric simon , angelika kotz dittrich",very large data bases,1995,promises and realities of active database systems,"a. prasad sistla , ouri wolfson",vldb,1995,"('authors',)"
promises and realities of active database systems,"eric simon , angelika kotz dittrich",very large data bases,1995,promises and realities of active database systems,"eric simon , angelika kotz dittrich",vldb,1996,"('year',)"
promises and realities of active database systems,"eric simon , angelika kotz dittrich",very large data bases,1995,promises and realities of active database systems,chaitanya k. baru,vldb,1995,"('authors',)"
promises and realities of active database systems,"eric simon , angelika kotz dittrich",very large data bases,1995,promises and realities of active database systems,"eric simon , angelika kotz dittrich",vldb,1996,"('year',)"
strudel : a web-site management system,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",sigmod conference,1997,is web-site management a database problem ?,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,1997,"('title',)"
strudel : a web-site management system,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",sigmod conference,1997,strudel : a web site management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,1998,"('year',)"
strudel : a web-site management system,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",sigmod conference,1997,constructing the next 100 database management systems,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,1997,"('title',)"
strudel : a web-site management system,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",sigmod conference,1997,strudel : a web site management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",sigmod record,1997,"('venue',)"
strudel : a web-site management system,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",sigmod conference,1997,strudel : a web site management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,1994,"('year',)"
strudel : a web-site management system,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",sigmod conference,1997,serfing the web : web site management made easy,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,1997,"('title',)"
strudel : a web-site management system,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",sigmod conference,1997,strudel : a web site management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",sigmod conference,1997,"('venue',)"
strudel : a web-site management system,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",sigmod conference,1997,strudel : a web site management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,2000,"('year',)"
strudel : a web-site management system,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",sigmod conference,1997,building knowledge base management systems,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,1997,"('title',)"
strudel : a web-site management system,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",sigmod conference,1997,strudel : a web site management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,1996,"('year',)"
strudel : a web-site management system,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",sigmod conference,1997,dwms : data warehouse management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,1997,"('title',)"
strudel : a web-site management system,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",sigmod conference,1997,strudel : a web site management system,narendra mohan,international conference on management of data,1997,"('authors',)"
strudel : a web-site management system,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",sigmod conference,1997,strudel : a web site management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,1996,"('year',)"
strudel : a web site management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,1997,strudel : a web-site management system,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",international conference on management of data,1997,"('venue',)"
strudel : a web site management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,1997,strudel : a web-site management system,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",sigmod conference,1998,"('year',)"
strudel : a web site management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,1997,strudel : a web-site management system,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",international conference on management of data,1997,"('venue',)"
strudel : a web site management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,1997,strudel : a web-site management system,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",sigmod conference,2003,"('year',)"
strudel : a web site management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,1997,data grid management systems,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",sigmod conference,1997,"('title',)"
strudel : a web site management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,1997,strudel : a web-site management system,"arun jagatheesan , arcot rajasekar",sigmod conference,1997,"('authors',)"
strudel : a web site management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,1997,strudel : a web-site management system,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",international conference on management of data,1997,"('venue',)"
strudel : a web site management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,1997,strudel : a web-site management system,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",sigmod conference,2003,"('year',)"
strudel : a web site management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,1997,is web-site management a database problem ?,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",sigmod conference,1997,"('title',)"
strudel : a web site management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,1997,strudel : a web-site management system,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",sigmod conference,1998,"('year',)"
strudel : a web site management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,1997,lore : a database management system for semistructured data,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",sigmod conference,1997,"('title',)"
strudel : a web site management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,1997,strudel : a web-site management system,"jason mchugh , serge abiteboul , roy goldman , dallas quass , jennifer widom",sigmod conference,1997,"('authors',)"
strudel : a web site management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,1997,the ores temporal database management system,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",sigmod conference,1997,"('title',)"
strudel : a web site management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,1997,strudel : a web-site management system,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",international conference on management of data,1997,"('venue',)"
strudel : a web site management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,1997,strudel : a web-site management system,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",sigmod conference,1994,"('year',)"
strudel : a web site management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,1997,building knowledge base management systems,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",sigmod conference,1997,"('title',)"
strudel : a web site management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,1997,strudel : a web-site management system,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",sigmod conference,1996,"('year',)"
the coral deductive system,"raghu ramakrishnan , s. sudarshan , divesh srivastava , praveen seshadri",vldb j.,1994,the coral deductive system,"christine collet , thierry coupaye",the vldb journal -- the international journal on very large data bases,1994,"('authors',)"
the coral deductive system,"raghu ramakrishnan , s. sudarshan , divesh srivastava , praveen seshadri",vldb j.,1994,the coral deductive system,"raghu ramakrishnan , divesh srivastava , s. sudarshan , praveen seshadri",the vldb journal -- the international journal on very large data bases,1995,"('year',)"
online aggregation,"joseph m. hellerstein , peter j. haas , helen j. wang",international conference on management of data,1997,software as a service : asp and asp aggregation,"helen j. wang , peter j. haas , joseph m. hellerstein",sigmod conference,1997,"('title',)"
online aggregation,"joseph m. hellerstein , peter j. haas , helen j. wang",international conference on management of data,1997,online aggregation,"helen j. wang , peter j. haas , joseph m. hellerstein",international conference on management of data,1997,"('venue',)"
online aggregation,"joseph m. hellerstein , peter j. haas , helen j. wang",international conference on management of data,1997,online aggregation,"helen j. wang , peter j. haas , joseph m. hellerstein",sigmod conference,2002,"('year',)"
qc-trees : an efficient summary structure for semantic olap,"laks v. s. lakshmanan , jian pei , yan zhao",sigmod conference,2003,qc-trees : an efficient summary structure for semantic olap,"laks v. s. lakshmanan , jian pei , yan zhao",international conference on management of data,2002,"('year',)"
"a robust , optimization-based approach for approximate answering of aggregate queries","vivek r. narasayya , gautam das , surajit chaudhuri",sigmod conference,2001,efficient approximation of optimization queries under parametric aggregation constraints,"surajit chaudhuri , gautam das , vivek narasayya",international conference on management of data,2001,"('title',)"
"a robust , optimization-based approach for approximate answering of aggregate queries","vivek r. narasayya , gautam das , surajit chaudhuri",sigmod conference,2001,"a robust , optimization-based approach for approximate answering of aggregate queries","surajit chaudhuri , gautam das , vivek narasayya",international conference on management of data,2003,"('year',)"
"a robust , optimization-based approach for approximate answering of aggregate queries","vivek r. narasayya , gautam das , surajit chaudhuri",sigmod conference,2001,orthogonal optimization of subqueries and aggregation,"surajit chaudhuri , gautam das , vivek narasayya",international conference on management of data,2001,"('title',)"
"a robust , optimization-based approach for approximate answering of aggregate queries","surajit chaudhuri , gautam das , vivek narasayya",international conference on management of data,2001,answering queries with aggregation using views,"vivek r. narasayya , gautam das , surajit chaudhuri",sigmod conference,2001,"('title',)"
"a robust , optimization-based approach for approximate answering of aggregate queries","surajit chaudhuri , gautam das , vivek narasayya",international conference on management of data,2001,"a robust , optimization-based approach for approximate answering of aggregate queries","vivek r. narasayya , gautam das , surajit chaudhuri",sigmod conference,1996,"('year',)"
"a robust , optimization-based approach for approximate answering of aggregate queries","surajit chaudhuri , gautam das , vivek narasayya",international conference on management of data,2001,"a robust , optimization-based approach for approximate answering of aggregate queries","phillip b. gibbons , yossi matias",sigmod conference,2001,"('authors',)"
"a robust , optimization-based approach for approximate answering of aggregate queries","surajit chaudhuri , gautam das , vivek narasayya",international conference on management of data,2001,"a robust , optimization-based approach for approximate answering of aggregate queries","vivek r. narasayya , gautam das , surajit chaudhuri",sigmod conference,1998,"('year',)"
"a robust , optimization-based approach for approximate answering of aggregate queries","surajit chaudhuri , gautam das , vivek narasayya",international conference on management of data,2001,histogram-based approximation of set-valued query-answers,"vivek r. narasayya , gautam das , surajit chaudhuri",sigmod conference,2001,"('title',)"
"a robust , optimization-based approach for approximate answering of aggregate queries","surajit chaudhuri , gautam das , vivek narasayya",international conference on management of data,2001,"a robust , optimization-based approach for approximate answering of aggregate queries","vivek r. narasayya , gautam das , surajit chaudhuri",sigmod conference,1999,"('year',)"
issues in network management in the next millennium,"michael l. brodie , surajit chaudhuri",very large data bases,1999,issues in network management in the next millennium,"michael l. brodie , surajit chaudhuri",vldb,2003,"('year',)"
fast subsequence matching in time-series databases,"m. ranganathan , christos faloutsos , yannis manolopoulos",sigmod conference,1994,fast subsequence matching in time-series databases,"christos faloutsos , m. ranganathan , yannis manolopoulos",international conference on management of data,1995,"('year',)"
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,an introduction to spatial database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,"('title',)"
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1994,"('year',)"
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,secure transaction processing in firm real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,"('title',)"
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1997,"('year',)"
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,an annotated bibliography of benchmarks for object databases,&#214; zg &#252; r ulusoy,acm sigmod record,1995,"('title',)"
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,sigmod record,1995,"('venue',)"
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,secure buffering in firm real-time database systems,özgür ulusoy,sigmod record,1995,"('title',)"
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,2000,"('year',)"
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,an aspect of query optimization in multidatabase systems,özgür ulusoy,sigmod record,1995,"('title',)"
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,an annotated bibliography on real-time database systems,özgür ulusoy,acm sigmod record,1995,"('venue',)"
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1994,"('year',)"
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,mpeg-7 and multimedia database systems,özgür ulusoy,sigmod record,1995,"('title',)"
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,an annotated bibliography on real-time database systems,özgür ulusoy,acm sigmod record,1995,"('venue',)"
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,2002,"('year',)"
approximate query processing using wavelets,"rajeev rastogi , minos n. garofalakis , kyuseok shim , kaushik chakrabarti",vldb j.,2001,query processing techniques for arrays,"kaushik chakrabarti , minos garofalakis , rajeev rastogi , kyuseok shim",the vldb journal -- the international journal on very large data bases,2001,"('title',)"
approximate query processing using wavelets,"rajeev rastogi , minos n. garofalakis , kyuseok shim , kaushik chakrabarti",vldb j.,2001,approximate query processing using wavelets,"kaushik chakrabarti , minos garofalakis , rajeev rastogi , kyuseok shim",vldb j.,2001,"('venue',)"
approximate query processing using wavelets,"rajeev rastogi , minos n. garofalakis , kyuseok shim , kaushik chakrabarti",vldb j.,2001,approximate query processing using wavelets,"kaushik chakrabarti , minos garofalakis , rajeev rastogi , kyuseok shim",the vldb journal -- the international journal on very large data bases,2002,"('year',)"
approximate query processing using wavelets,"rajeev rastogi , minos n. garofalakis , kyuseok shim , kaushik chakrabarti",vldb j.,2001,approximate xml joins,"kaushik chakrabarti , minos garofalakis , rajeev rastogi , kyuseok shim",the vldb journal -- the international journal on very large data bases,2001,"('title',)"
approximate query processing using wavelets,"rajeev rastogi , minos n. garofalakis , kyuseok shim , kaushik chakrabarti",vldb j.,2001,approximate query processing using wavelets,"kaushik chakrabarti , minos garofalakis , rajeev rastogi , kyuseok shim",the vldb journal -- the international journal on very large data bases,2002,"('year',)"
approximate query processing using wavelets,"rajeev rastogi , minos n. garofalakis , kyuseok shim , kaushik chakrabarti",vldb j.,2001,online query processing,"kaushik chakrabarti , minos garofalakis , rajeev rastogi , kyuseok shim",the vldb journal -- the international journal on very large data bases,2001,"('title',)"
approximate query processing using wavelets,"rajeev rastogi , minos n. garofalakis , kyuseok shim , kaushik chakrabarti",vldb j.,2001,approximate query processing using wavelets,"peter j. haas , joseph m. hellerstein",the vldb journal -- the international journal on very large data bases,2001,"('authors',)"
approximate query processing using wavelets,"kaushik chakrabarti , minos garofalakis , rajeev rastogi , kyuseok shim",the vldb journal -- the international journal on very large data bases,2001,dynamic sample selection for approximate query processing,"rajeev rastogi , minos n. garofalakis , kyuseok shim , kaushik chakrabarti",vldb j.,2001,"('title',)"
approximate query processing using wavelets,"kaushik chakrabarti , minos garofalakis , rajeev rastogi , kyuseok shim",the vldb journal -- the international journal on very large data bases,2001,approximate query processing using wavelets,"rajeev rastogi , minos n. garofalakis , kyuseok shim , kaushik chakrabarti",vldb j.,2003,"('year',)"
approximate query processing using wavelets,"kaushik chakrabarti , minos garofalakis , rajeev rastogi , kyuseok shim",the vldb journal -- the international journal on very large data bases,2001,aqua : a fast decision support systems using approximate query answers,"rajeev rastogi , minos n. garofalakis , kyuseok shim , kaushik chakrabarti",vldb j.,2001,"('title',)"
approximate query processing using wavelets,"kaushik chakrabarti , minos garofalakis , rajeev rastogi , kyuseok shim",the vldb journal -- the international journal on very large data bases,2001,approximate query processing using wavelets,"rajeev rastogi , minos n. garofalakis , kyuseok shim , kaushik chakrabarti",very large data bases,2001,"('venue',)"
approximate query processing using wavelets,"kaushik chakrabarti , minos garofalakis , rajeev rastogi , kyuseok shim",the vldb journal -- the international journal on very large data bases,2001,approximate query processing using wavelets,"rajeev rastogi , minos n. garofalakis , kyuseok shim , kaushik chakrabarti",vldb j.,1999,"('year',)"
approximate query processing using wavelets,"kaushik chakrabarti , minos garofalakis , rajeev rastogi , kyuseok shim",the vldb journal -- the international journal on very large data bases,2001,query processing techniques for arrays,"rajeev rastogi , minos n. garofalakis , kyuseok shim , kaushik chakrabarti",vldb j.,2001,"('title',)"
approximate query processing using wavelets,"kaushik chakrabarti , minos garofalakis , rajeev rastogi , kyuseok shim",the vldb journal -- the international journal on very large data bases,2001,approximate query processing using wavelets,"arunprasad p. marathe , kenneth salem",vldb j.,2001,"('authors',)"
approximate query processing using wavelets,"kaushik chakrabarti , minos garofalakis , rajeev rastogi , kyuseok shim",the vldb journal -- the international journal on very large data bases,2001,approximate query processing using wavelets,"rajeev rastogi , minos n. garofalakis , kyuseok shim , kaushik chakrabarti",the vldb journal -- the international journal on very large data bases,2001,"('venue',)"
approximate query processing using wavelets,"kaushik chakrabarti , minos garofalakis , rajeev rastogi , kyuseok shim",the vldb journal -- the international journal on very large data bases,2001,approximate query processing using wavelets,"rajeev rastogi , minos n. garofalakis , kyuseok shim , kaushik chakrabarti",vldb j.,2002,"('year',)"
approximate query processing using wavelets,"kaushik chakrabarti , minos garofalakis , rajeev rastogi , kyuseok shim",the vldb journal -- the international journal on very large data bases,2001,approximate join processing over data streams,"rajeev rastogi , minos n. garofalakis , kyuseok shim , kaushik chakrabarti",vldb j.,2001,"('title',)"
approximate query processing using wavelets,"kaushik chakrabarti , minos garofalakis , rajeev rastogi , kyuseok shim",the vldb journal -- the international journal on very large data bases,2001,approximate query processing using wavelets,"rajeev rastogi , minos n. garofalakis , kyuseok shim , kaushik chakrabarti",vldb j.,2003,"('year',)"
approximate query processing using wavelets,"kaushik chakrabarti , minos garofalakis , rajeev rastogi , kyuseok shim",the vldb journal -- the international journal on very large data bases,2001,approximate xml joins,"rajeev rastogi , minos n. garofalakis , kyuseok shim , kaushik chakrabarti",vldb j.,2001,"('title',)"
approximate query processing using wavelets,"kaushik chakrabarti , minos garofalakis , rajeev rastogi , kyuseok shim",the vldb journal -- the international journal on very large data bases,2001,approximate query processing using wavelets,"rajeev rastogi , minos n. garofalakis , kyuseok shim , kaushik chakrabarti",vldb j.,2002,"('year',)"
of objects and databases : a decade of turmoil,"david j. dewitt , michael j. carey",vldb,1996,repositories and object oriented databases,"michael j. carey , david j. dewitt",very large data bases,1996,"('title',)"
of objects and databases : a decade of turmoil,"david j. dewitt , michael j. carey",vldb,1996,of objects and databases : a decade of turmoil,"michael j. carey , david j. dewitt",very large data bases,1998,"('year',)"
of objects and databases : a decade of turmoil,"michael j. carey , david j. dewitt",very large data bases,1996,a data model and data structures for moving objects databases,"david j. dewitt , michael j. carey",vldb,1996,"('title',)"
of objects and databases : a decade of turmoil,"michael j. carey , david j. dewitt",very large data bases,1996,of objects and databases : a decade of turmoil,"david j. dewitt , michael j. carey",vldb,2000,"('year',)"
retrieval of composite multimedia objects,"surajit chaudhuri , shahram ghandeharizadeh , cyrus shahabi",very large data bases,1995,retrieval of composite multimedia objects,"surajit chaudhuri , shahram ghandeharizadeh , cyrus shahabi",very large data bases,1995,"('venue',)"
retrieval of composite multimedia objects,"surajit chaudhuri , shahram ghandeharizadeh , cyrus shahabi",very large data bases,1995,retrieval of composite multimedia objects,"surajit chaudhuri , shahram ghandeharizadeh , cyrus shahabi",vldb,1998,"('year',)"
a multi-similarity algebra,"v. s. subrahmanian , sibel adali , maria luisa sapino , piero a. bonatti",sigmod conference,1998,a multi-similarity algebra,"s. adali , p. bonatti , m. l. sapino , v. s. subrahmanian",sigmod conference,1998,"('venue',)"
a multi-similarity algebra,"v. s. subrahmanian , sibel adali , maria luisa sapino , piero a. bonatti",sigmod conference,1998,a multi-similarity algebra,"s. adali , p. bonatti , m. l. sapino , v. s. subrahmanian",international conference on management of data,1999,"('year',)"
preference formulas in relational queries,jan chomicki,acm trans . database syst .,2003,preference formulas in relational queries,jan chomicki,acm transactions on database systems ( tods ),1997,"('year',)"
preference formulas in relational queries,jan chomicki,acm trans . database syst .,2003,preference formulas in relational queries,"walid g. aref , ahmed k. elmagarmid , ihab f. ilyas",acm transactions on database systems ( tods ),2003,"('authors',)"
an efficient cost-driven index selection tool for microsoft sql server,"surajit chaudhuri , vivek r. narasayya",vldb,1997,an efficient cost-driven index selection tool for microsoft sql server,"surajit chaudhuri , vivek r. narasayya",very large data bases,2001,"('year',)"
caching strategies for data-intensive web sites,"khaled yagoub , daniela florescu , val &#233; rie issarny , patrick valduriez",very large data bases,2000,enabling dynamic content caching for database-driven web sites,"khaled yagoub , patrick valduriez , valérie issarny , daniela florescu",vldb,2000,"('title',)"
caching strategies for data-intensive web sites,"khaled yagoub , daniela florescu , val &#233; rie issarny , patrick valduriez",very large data bases,2000,caching strategies for data-intensive web sites,"k. sel &#231; uk candan , wen-syan li , qiong luo , wang-pin hsiung , divyakant agrawal",vldb,2000,"('authors',)"
caching strategies for data-intensive web sites,"khaled yagoub , daniela florescu , val &#233; rie issarny , patrick valduriez",very large data bases,2000,caching strategies for data-intensive web sites,"khaled yagoub , patrick valduriez , valérie issarny , daniela florescu",vldb,2001,"('year',)"
the database group at national technical university of athens ( ntua ),"timos k. sellis , yannis vassiliou",sigmod record,1995,research in database engineering at the university of namur,corporate national technical univ. of athens,acm sigmod record,1995,"('title',)"
the database group at national technical university of athens ( ntua ),"timos k. sellis , yannis vassiliou",sigmod record,1995,the database group at national technical university of athens ( ntua ),corporate national technical univ. of athens,sigmod record,1995,"('venue',)"
the database group at national technical university of athens ( ntua ),"timos k. sellis , yannis vassiliou",sigmod record,1995,the database group at national technical university of athens ( ntua ),corporate national technical univ. of athens,acm sigmod record,2003,"('year',)"
the database group at national technical university of athens ( ntua ),corporate national technical univ. of athens,acm sigmod record,1995,the database group at national technical university of athens ( ntua ),"timos k. sellis , yannis vassiliou",acm sigmod record,1995,"('venue',)"
