ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes
semantic interoperability in information services : experiencing with coopware,avigdor gal,sigmod record,1999,semantic interoperability in global information systems : a brief introduction to the research area and the special section,avigdor gal,sigmod record,1999,"('authors',)"
semantic interoperability in information services : experiencing with coopware,avigdor gal,acm sigmod record,1999,semantic interoperability in information services : experiencing with coopware,"a. m. ouksel , a. sheth",acm sigmod record,1999,"('title',)"
semantic interoperability in information services : experiencing with coopware,avigdor gal,acm sigmod record,1999,semantic interoperability in global information systems,avigdor gal,acm sigmod record,1999,"('authors',)"
electronic commerce : tutorial,"nabil r. adam , yelena yesha",international conference on management of data,1998,electronic commerce : tutorial,"bart meltzer , robert glushko",acm sigmod record,1998,"('title',)"
dbcache : database caching for web application servers,"mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown",international conference on management of data,2002,dbcache : database caching for web application servers,"qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton",international conference on management of data,2002,"('title',)"
quickstore : a high performance mapped object store,"seth j. white , david j. dewitt",vldb j.,1995,quickstore : a high performance mapped object store,"david j. dewitt , seth j. white",sigmod conference,1995,"('year',)"
guest editorial,"fabio casati , ming-chien shan , dimitrios georgakopoulos",the vldb journal -- the international journal on very large data bases,2001,guest editorial,"philip a. bernstein , yannis ioannidis , raghu ramakrishnan",the vldb journal -- the international journal on very large data bases,2001,"('year',)"
guest editorial,"fabio casati , ming-chien shan , dimitrios georgakopoulos",the vldb journal -- the international journal on very large data bases,2001,editorial,"dimitrios georgakopoulos , ming-chien shan , fabio casati",acm transactions on database systems ( tods ),2001,"('authors',)"
guest editorial,"fabio casati , ming-chien shan , dimitrios georgakopoulos",the vldb journal -- the international journal on very large data bases,2001,guest editorial,"dimitrios georgakopoulos , ming-chien shan , fabio casati",the vldb journal -- the international journal on very large data bases,2001,"('authors',)"
the ecrc multi database system,"heribert schütz , willem jonker",sigmod conference,1995,the ecrc multi database system,"christine collet , thierry coupaye",sigmod conference,1995,"('title',)"
the ecrc multi database system,"willem jonker , heribert sch &#252; tz",international conference on management of data,1995,the ecrc multi database system,"c. collet , t. coupaye",international conference on management of data,1995,"('title',)"
ominisearch : a method for searching dynamic content on the web,"henrique paques , ling liu , david buttler , calton pu",sigmod conference,2001,ominisearch : a method for searching dynamic content on the web,"qiong luo , divyakant agrawal , wen-syan li , wang-pin hsiung , k. selçuk candan",sigmod conference,2001,"('title',)"
trex : dtd-conforming xml to xml transformations,"aoying zhou , qing wang , zhimao guo , xueqing gong , shihui zheng , hongwei wu , jianchang xiao , kun yue , wenfei fan",international conference on management of data,2003,trex : dtd-conforming xml to xml transformations,"chengkai li , philip bohannon , p. p. s. narayan",international conference on management of data,2003,"('title',)"
"panel : future directions of database research - the vldb broadening strategy , part 2",michael l. brodie,very large data bases,2000,"panel : future directions of database research - the vldb broadening strategy , part 2",hans-j &#246; rg schek,very large data bases,2000,"('title',)"
"panel : future directions of database research - the vldb broadening strategy , part 2",michael l. brodie,very large data bases,2000,"panel : future directions of database research - the vldb broadening strategy , part 1",michael l. brodie,very large data bases,2000,"('authors',)"
"panel : future directions of database research - the vldb broadening strategy , part 2",michael l. brodie,very large data bases,2000,"panel : future directions of database research - the vldb broadening strategy , part 1",hans-j &#246; rg schek,vldb,2000,"('venue',)"
"panel : future directions of database research - the vldb broadening strategy , part 2",michael l. brodie,very large data bases,2000,"panel : future directions of database research - the vldb broadening strategy , part 1",hans-j &#246; rg schek,very large data bases,2000,"('year',)"
answering queries using views : a survey,alon y. halevy,vldb j.,2001,answering queries using views : a survey,"edward y. chang , chen li",acm trans . database syst .,2001,"('title',)"
database research at the university of oklahoma,"le gruenwald , leonard brown , ravi dirckze , sylvain guinepain , carlos sanchez , brian summers , sirirut vanichayobon",acm sigmod record,1999,database research at arizona state university,"sirirut vanichayobon , leonard brown , ravi a. dirckze , sylvain guinepain , carlos sánchez , le gruenwald , brian summers",acm sigmod record,1996,"('authors',)"
database research at the university of oklahoma,"le gruenwald , leonard brown , ravi dirckze , sylvain guinepain , carlos sanchez , brian summers , sirirut vanichayobon",acm sigmod record,1999,database research at the university of illinois at urbana-champaign,"m. winslett , k. chang , a. doan , j. han , c. zhai , y. zhou",acm sigmod record,1999,"('year',)"
the database research group at eth zurich,"moira c. norrie , stephen m. blott , hans-j &#246; rg schek , gerhard weikum",acm sigmod record,1994,the database and information system research group at the university of ulm,"peter dadam , wolfgang klas",acm sigmod record,1994,"('year',)"
the database research group at eth zurich,"moira c. norrie , stephen m. blott , hans-j &#246; rg schek , gerhard weikum",acm sigmod record,1994,the database group at university of hagen,"gunter schlageter , thomas berkel , eberhard heuel , silke mittrach , andreas scherer , wolfgang wilkes",acm sigmod record,1994,"('year',)"
mariposa : a wide-area distributed database system,"carl staelin , paul m. aoki , witold litwin , michael stonebraker , adam sah , jeff sidell , andrew yu , avi pfeffer",vldb j.,1996,mariposa : a wide-area distributed database system,jeff sidell,sigmod record,1996,"('title',)"
mariposa : a wide-area distributed database system,"michael stonebraker , paul m. aoki , witold litwin , avi pfeffer , adam sah , jeff sidell , carl staelin , andrew yu",the vldb journal -- the international journal on very large data bases,1996,mariposa : a wide-area distributed database system,jeff sidell,acm sigmod record,1996,"('title',)"
association rules over interval data,"renée j. miller , yuping yang",sigmod conference,1997,association rules over interval data,"eui-hong han , vipin kumar , george karypis",sigmod conference,1997,"('title',)"
association rules over interval data,"r. j. miller , y. yang",international conference on management of data,1997,association rules over interval data,"eui-hong han , george karypis , vipin kumar",international conference on management of data,1997,"('title',)"
parallel database systems 101,jim gray,international conference on management of data,1995,parallel database systems 101,corporate the paradise team,international conference on management of data,1995,"('title',)"
parallel database systems 101,jim gray,international conference on management of data,1995,paradise : a database system for gis applications,jim gray,international conference on management of data,1995,"('authors',)"
metadata for integrating speech documents in a text retrieval system,"ulrike glavitsch , peter sch &#228; uble , martin wechsler",acm sigmod record,1994,metadata for integrating speech documents in a text retrieval system,"anthony tomasic , h &#233; ctor garc &#237; a-molina , kurt shoens",international conference on management of data,1994,"('title',)"
research in database engineering at the university of namur,jean-luc hainaut,acm sigmod record,2003,the database group at national technical university of athens ( ntua ),corporate national technical univ. of athens,acm sigmod record,2003,"('year',)"
cache coherency in oracle parallel server,boris klots,vldb,1996,architecture of oracle parallel server,"d. butler , boris klots , roger bamford , n. macnaughton",vldb,1996,"('year',)"
re-designing distance functions and distance-based applications for high dimensional data,charu c. aggarwal,sigmod record,2001,re-designing distance functions and distance-based applications for high dimensional data,"charu c. aggarwal , philip s. yu",sigmod conference,2001,"('title',)"
re-designing distance functions and distance-based applications for high dimensional data,charu c. aggarwal,sigmod record,2001,outlier detection for high dimensional data,charu c. aggarwal,sigmod conference,2001,"('authors',)"
re-designing distance functions and distance-based applications for high dimensional data,charu c. aggarwal,sigmod record,2001,outlier detection for high dimensional data,"charu c. aggarwal , philip s. yu",acm sigmod record,2001,"('venue',)"
database de-centralization - a practical approach,"césar a. galindo-legaria , eirik dahle , tor didriksen",vldb,1995,providing database migration tools - a practicioner 's approach,"tor didriksen , c &#233; sar a. galindo-legaria , eirik dahle",vldb,1995,"('authors',)"
effective timestamping in databases,"kristian torp , christian s. jensen , richard thomas snodgrass",the vldb journal -- the international journal on very large data bases,2000,transaction timestamping in ( temporal ) databases,"christian s. jensen , david b. lomet",very large data bases,2000,"('year',)"
the value of merge-join and hash-join in sql server,goetz graefe,very large data bases,1999,hash joins and hash teams in microsoft sql server,"goetz graefe , ross bunker , shaun cooper",very large data bases,1999,"('year',)"
efficient computation of iceberg cubes with complex measures,"jiawei han , jian pei , guozhu dong , ke wang",international conference on management of data,2001,efficient computation of iceberg cubes with complex measures,"raymond t. ng , alan wagner , yu yin",international conference on management of data,2001,"('title',)"
efficient computation of iceberg cubes with complex measures,"jiawei han , jian pei , guozhu dong , ke wang",international conference on management of data,2001,iceberg-cube computation with pc clusters,"guozhu dong , jian pei , jiawei han , ke wang",international conference on management of data,2001,"('authors',)"
tracing the lineage of view data in a warehousing environment,"janet l. wiener , yingwei cui , jennifer widom",acm trans . database syst .,2000,lineage tracing for general data warehouse transformations,"jennifer widom , yingwei cui",vldb j.,2000,"('year',)"
efficient concurrency control for broadcast environments,"jayavel shanmugasundaram , arvind nithrakashyap , rajendran sivasankaran , krithi ramamritham",international conference on management of data,1999,efficient concurrency control for broadcast environments,"kaushik chakrabarti , sharad mehrotra",international conference on management of data,1999,"('title',)"
efficient concurrency control for broadcast environments,"jayavel shanmugasundaram , arvind nithrakashyap , rajendran sivasankaran , krithi ramamritham",international conference on management of data,1999,efficient concurrency control in multidimensional access methods,"arvind nithrakashyap , rajendran m. sivasankaran , jayavel shanmugasundaram , krithi ramamritham",international conference on management of data,1999,"('authors',)"
clustering categorical data : an approach based on dynamical systems,"david gibson , jon m. kleinberg , prabhakar raghavan",vldb j.,2000,clustering categorical data : an approach based on dynamical systems,"prabhakar raghavan , david gibson , jon m. kleinberg",vldb,2000,"('year',)"
standards in practice,"andrew eisenberg , jim melton",acm sigmod record,1998,standards,jim melton,acm sigmod record,1998,"('year',)"
lineage tracing for general data warehouse transformations,"jennifer widom , yingwei cui",vldb j.,2003,tracing the lineage of view data in a warehousing environment,"janet l. wiener , yingwei cui , jennifer widom",acm trans . database syst .,2003,"('year',)"
approximate join processing over data streams,"johannes gehrke , abhinandan das , mirek riedewald",sigmod conference,2003,approximate join processing over data streams,"sumit ganguly , minos n. garofalakis , rajeev rastogi",sigmod conference,2003,"('title',)"
approximate join processing over data streams,"johannes gehrke , abhinandan das , mirek riedewald",sigmod conference,2003,processing set expressions over continuous update streams,"abhinandan das , johannes gehrke , mirek riedewald",sigmod conference,2003,"('authors',)"
on the computation of multidimensional aggregates,"sameet agarwal , rakesh agrawal , prasad deshpande , ashish gupta , jeffrey f. naughton , raghu ramakrishnan , sunita sarawagi",very large data bases,1996,on the computation of multidimensional aggregates,"amit shukla , prasad deshpande , jeffrey f. naughton , karthikeyan ramasamy",very large data bases,1996,"('title',)"
dataguides : enabling query formulation and optimization in semistructured databases,"roy goldman , jennifer widom",very large data bases,1997,dataguides : enabling query formulation and optimization in semistructured databases,"jens clau &#223; en , alfons kemper , guido moerkotte , klaus peithner",very large data bases,1997,"('title',)"
special issue on spatial database systems,h. j. schek,the vldb journal -- the international journal on very large data bases,1994,"title , foreword , preface to the special issue on spatial database systems , index vol . 3",ralf hartmut g &#252; ting,the vldb journal -- the international journal on very large data bases,1994,"('title',)"
special issue on spatial database systems,h. j. schek,the vldb journal -- the international journal on very large data bases,1994,an introduction to spatial database systems,?,the vldb journal -- the international journal on very large data bases,1994,"('authors',)"
special issue on spatial database systems,h. j. schek,the vldb journal -- the international journal on very large data bases,1994,an introduction to spatial database systems,ralf hartmut g &#252; ting,vldb j.,1994,"('venue',)"
special issue on spatial database systems,h. j. schek,the vldb journal -- the international journal on very large data bases,1994,an introduction to spatial database systems,ralf hartmut g &#252; ting,the vldb journal -- the international journal on very large data bases,1994,"('year',)"
business data management for business-to-business electronic commerce,"christoph quix , mareike schoop , manfred jeusfeld",acm sigmod record,2002,data management issues in electronic commerce : guest editor 's introduction,"manfred a. jeusfeld , mareike schoop , christoph quix",acm sigmod record,2002,"('authors',)"
views in a large scale xml repository,"sophie cluet , pierangelo veltri , dan vodislav",very large data bases,2001,views in a large-scale xml repository,"vincent aguilera , sophie cluet , tova milo , pierangelo veltri , dan vodislav",the vldb journal -- the international journal on very large data bases,2001,"('year',)"
orthogonal optimization of subqueries and aggregation,"c &#233; sar galindo-legaria , milind joshi",international conference on management of data,2001,orthogonal optimization of subqueries and aggregation,"surajit chaudhuri , gautam das , vivek narasayya",international conference on management of data,2001,"('title',)"
lore : a database management system for semistructured data,"jason mchugh , serge abiteboul , roy goldman , dallas quass , jennifer widom",acm sigmod record,1997,lore : a database management system for semistructured data,"svetlozer nestorov , serge abiteboul , rajeev motwani",acm sigmod record,1997,"('title',)"
query processing over object views of relational data,"gustav fahl , tore risch",the vldb journal -- the international journal on very large data bases,1997,groupwise processing of relational queries,"gustav fahl , tore risch",very large data bases,1997,"('authors',)"
report from the nsf workshop on workflow and process automation in information systems,"dimitrios georgakopoulos , stef joosten , marek rusinkiewicz , alexander l. wolf , walt scacchi , amit p. sheth , jack c. wileden",sigmod record,1996,report from the nsf workshop on workflow and process automation in information systems,"sang hyuk son , kwei-jay lin , azer bestavros",sigmod record,1996,"('title',)"
report from the nsf workshop on workflow and process automation in information systems,"dimitrios georgakopoulos , stef joosten , marek rusinkiewicz , alexander l. wolf , walt scacchi , amit p. sheth , jack c. wileden",sigmod record,1996,report on first international workshop on real-time database systems,"amit sheth , dimitrios georgakopoulos , stef m. m. joosten , marek rusinkiewicz , walt scacchi , jack wileden , alexander l. wolf",sigmod record,1996,"('authors',)"
a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system,"kun-lung wu , philip s. yu , james z. teng , jen-yao chung",vldb,1995,a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system,"p. bruce berra , bhavani m. thuraisingham , kingsley c. nwosu",sigmod record,1995,"('title',)"
