ltable_authors,ltable_booktitle,ltable_date,ltable_editor,ltable_address,ltable_institution,ltable_journal,ltable_month,ltable_note,ltable_pages,ltable_publisher,ltable_tech,ltable_title,ltable_category,ltable_volume,ltable_year,rtable_authors,rtable_booktitle,rtable_date,rtable_editor,rtable_address,rtable_institution,rtable_journal,rtable_month,rtable_note,rtable_pages,rtable_publisher,rtable_tech,rtable_title,rtable_category,rtable_volume,rtable_year,alteredAttributes,originalRightId
"David W. Aha, Dennis Kibler, and Mark K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6,1991.,"Aha, D.W., Kibler, D., and Albert, M.K.",,,,,,"Machine Learning,",,,37-66.,,,NETL: A System for Representing and Using Real-World Knowledge.,,"6,",(1991).,"('title',)",0@678
"David W. Aha, Dennis Kibler, and Marc K. Albert.",,,,,,"Machine Learning,",January,,"37-66,",,,Instance-based learning algorithms.,,6(1),1991.,"Aha, David W., Dennis Kibler, Marc K. Albert,",,,,,,"Machine Learning,",,,pp. 37-66.,,,An incremental method for finding multivariate splits for decision trees.,,"vol. 6,",(1991).,"('title',)",0@686
"David W. Aha, Dennis Kibler, and Marc K. Albert.",,,,,,"Machine Learning,",January,,"37-66,",,,Instance-based learning algorithms.,,6(1),1991.,"D. Aha, D. Kibler, and M. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Automatic feature Generation for Problem Solving Systems.,,6(1),1991.,"('title',)",0@890
"Aha, D. W., Kibler, D., & Albert, M.",,,,,,"Machine Learning,",,,37-66.,,,Instance-based learning algorithms.,,"6 (1),",(1991).,"Aha, D. W.; Kibler, D.; and Albert, M. K.",,,,,,Machine Learning,,,37-66.,,,An empirical study of learning speed in back-propagation networks.,,6(1),1991.,"('title',)",1@916
"Aha, D. W., Kibler, D., & Albert, M. K.",,,,,,"Machine Learning,",,,37-66.,,,Instance-Based Learning Algorithms.,,"6,",(1991).,"Aha, D. W.; Kibler, D.; and Albert, M. K.",,,,,,Machine Learning,,,37-66.,,,An empirical study of learning speed in back-propagation networks.,,6(1),1991.,"('title',)",1@916
"Aha, D. W., Kibler, D., and Albert, M. K.",,,,,,"Machine Learning,",,,37-66.,,,Instance-based learning algorithms.,,6(1),(1991).,"Aha, D. W.; Kibler, D.; and Albert, M. K.",,,,,,Machine Learning,,,37-66.,,,An empirical study of learning speed in back-propagation networks.,,6(1),1991.,"('title',)",1@916
"D. Aha, D. Kibler, and M. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6,1991.,"Aha, D. W.; Kibler, D.; and Albert, M. K.",,,,,,Machine Learning,,,37-66.,,,An empirical study of learning speed in back-propagation networks.,,6(1),1991.,"('title',)",1@916
"Aha, D. W.; Kibler, D.; and Albert, M. K.",,,,,,Machine Learning,,,37-66.,,,Instance-based learning algorithms.,,6(1),1991.,"D. Aha, D. Kibler, and M. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,"Learning by Experimentation: Acquiring and Refining Problem-Solving Heuristics, Machine Learning: An Artificial Intelligence Approach,",,6,1991.,"('title',)",0@690
"Aha, D. W.; Kibler, D.; and Albert, M. K.",,,,,,Machine Learning,,,37-66.,,,Instance-based Learning Algorithms.,,6,1991.,"Aha, D. W., Kibler, D., & Albert, M.",,,,,,"Machine Learning,",,,37-66.,,,"The MONKS Problems: A Performance Comparison of Different Learning Algorithms,",,"7,",(1991).,"('title',)",0@601
"Aha, D. W.; Kibler, D.; and Albert, M. K.",,,,,,Machine Learning,,,37-66.,,,Instance-based Learning Algorithms.,,6,1991.,P. Utgoff.,,,,,,"Machine Learning,",,,37-66.,,,Instance-based learning algorithms.,,"7,",(1991).,"('authors',)",0@601
"Aha, D. W.; Kibler, D.; and Albert, M. K.",,,,,,Machine Learning,,,37-66.,,,Instance-based Learning Algorithms.,,6,1991.,"Aha, D. W., Kibler, D., & Albert, M.",,,,,,"Machine Learning,",,,37-66.,,,Shift of bias for inductive concept learning.,,"7,",(1991).,"('title',)",0@601
"Aha, D. W.; Kibler, D.; and Albert, M. K.",,,,,,Machine Learning,,,37-66.,,,Instance-based Learning Algorithms.,,6,1991.,"Utgoff, P.",,,,,,"Machine Learning,",,,,,,"Instance-based learning algorithms,",,"vol.  6, no. 1,",1991.,"('authors',)",0@682
"Aha, D. W.; Kibler, D.; and Albert, M. K.",,,,,,Machine Learning,,,37-66.,,,Instance-based Learning Algorithms.,,6,1991.,"D. Aha, D. Kibler, and M. Albert,",,,,,,"Machine Learning,",,,,,,Decision tree induction based on efficient tree restructuring.,,"vol.  6, no. 1,",1991.,"('title',)",0@682
"Aha, D. W.; Kibler, D.; and Albert, M. K.",,,,,,Machine Learning,,,37-66.,,,Instance-based Learning Algorithms.,,6,1991.,"Aha, D. W.; Kibler, D.; and Albert, M. K.",,,,,,Machine Learning,,,37-66.,,,"NETL: A System for Representing and Using Real World Knowledge, Cam-bridge:",,6(1),1991.,"('title',)",0@917
"Aha, D. W., Kibler, D., & Albert, M.",,,,,,"Machine Learning,",,,37-66.,,,Instance-based learning algorithms.,,"7,",(1991).,"Aha, David W., Dennis Kibler, Marc K. Albert,",,,,,,"Machine Learning,",,,pp. 37-66.,,,The MONK's problems a performance comparison of different learning algorithms.,,"vol.6,",(1991).,"('title',)",1@658
"Aha, David W., Dennis Kibler, Marc K. Albert,",,,,,,"Machine Learning,",,,pp. 37-66.,,,"Instance-Based Learning Algorithms,",,"vol.6,",(1991).,"Aha, D. W., Kibler, D., & Albert, M.",,,,,,"Machine Learning,",,,37-66.,,,"The MONKS Problems: A Performance Comparison of Different Learning Algorithms,",,"7,",(1991).,"('title',)",0@601
"Aha, David W., Dennis Kibler, Marc K. Albert,",,,,,,"Machine Learning,",,,pp. 37-66.,,,"Instance-Based Learning Algorithms,",,"vol.6,",(1991).,P. Utgoff.,,,,,,"Machine Learning,",,,37-66.,,,Instance-based learning algorithms.,,"7,",(1991).,"('authors',)",0@601
"Aha, David W., Dennis Kibler, Marc K. Albert,",,,,,,"Machine Learning,",,,pp. 37-66.,,,"Instance-Based Learning Algorithms,",,"vol.6,",(1991).,"Aha, D. W., Kibler, D., & Albert, M.",,,,,,"Machine Learning,",,,37-66.,,,Shift of bias for inductive concept learning.,,"7,",(1991).,"('title',)",0@601
"Aha, D. W., Kibler, D., & Albert, M. K.",,,,,,"Machine Learning,",,,37-66.,,,Instance-Based Learning Algorithms.,,"6,",(1991).,"Aha, David W., Dennis Kibler, Marc K. Albert,",,,,,,"Machine Learning,",,,pp. 37-66.,,,The MONK's problems a performance comparison of different learning algorithms.,,"vol.6,",(1991).,"('title',)",1@658
"David W. Aha, Dennis Kibler, and Mark K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6,1991.,"Aha, D. W., Kibler, D., & Albert, M.",,,,,,"Machine Learning,",,,37-66.,,,"The MONKS Problems: A Performance Comparison of Different Learning Algorithms,",,"7,",(1991).,"('title',)",0@601
"David W. Aha, Dennis Kibler, and Mark K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6,1991.,P. Utgoff.,,,,,,"Machine Learning,",,,37-66.,,,Instance-based learning algorithms.,,"7,",(1991).,"('authors',)",0@601
"David W. Aha, Dennis Kibler, and Mark K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6,1991.,"Aha, D. W., Kibler, D., & Albert, M.",,,,,,"Machine Learning,",,,37-66.,,,Shift of bias for inductive concept learning.,,"7,",(1991).,"('title',)",0@601
"David W. Aha, Dennis Kibler, and Mark K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6,1991.,"Utgoff, P. E.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6,1991.,"('authors',)",0@893
"David W. Aha, Dennis Kibler, and Mark K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6,1991.,"D.W. Aha, D. Kibler, and M.K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,"An improved algorithm for incremental induction of decision trees,",,6,1991.,"('title',)",0@893
"D. W. Aha, D. Kibler, and M. K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6,1991.,"Aha, D. W., Kibler, D., & Albert, M.",,,,,,"Machine Learning,",,,37-66.,,,"The MONKS Problems: A Performance Comparison of Different Learning Algorithms,",,"7,",(1991).,"('title',)",0@601
"D. W. Aha, D. Kibler, and M. K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6,1991.,P. Utgoff.,,,,,,"Machine Learning,",,,37-66.,,,Instance-based learning algorithms.,,"7,",(1991).,"('authors',)",0@601
"D. W. Aha, D. Kibler, and M. K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6,1991.,"Aha, D. W., Kibler, D., & Albert, M.",,,,,,"Machine Learning,",,,37-66.,,,Shift of bias for inductive concept learning.,,"7,",(1991).,"('title',)",0@601
"D. W. Aha, D. Kibler, and M. K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6,1991.,"Utgoff, P. E.",,,,,,Machine Learning,,,37-66.,,,(1991) Instance-based learning algorithms.,,6(1),,"('authors',)",0@936
"D. W. Aha, D. Kibler, and M. K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6,1991.,"D. W. Aha, D. Kibler & M. K. Albert.",,,,,,Machine Learning,,,37-66.,,,Perceptron trees: a case study in hybrid concept representation.,,6(1),,"('title',)",0@936
"D. W. Aha, D. Kibler, and M. K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6,1991.,"Aha, D. W., Kibler, D., and Albert, M. K.",,,,,,"Machine Learning,",,,37-66.,,,The utility of knowledge in inductive learning.,,6,(1991).,"('title',)",0@903
"D. W. Aha, D. Kibler, and M. K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6,1991.,"Aha, D. W., Kibler, D., and Albert, M. K.",,,,,,"Machine Learning,",,,37-66.,,,Machine learning as an experimental science.,,6,(1991).,"('title',)",0@903
"D. W. Aha, D. Kibler, and M. K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6,1991.,"Aha, D. W., Kibler, D., and Albert, M. K.",,,,,,"Machine Learning,",,,37-66.,,,The utility of knowledge in inductive learning.,,6,(1991).,"('title',)",0@903
"D. W. Aha, D. Kibler, and M. K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6,1991.,"Aha, D. W., Kibler, D., & Albert, M. K.",,,,,,"Machine Learning,",,,37-66.,,,Goal-directed classification using linear machine decision trees.,,"6,",(1991).,"('title',)",0@614
"Utgoff, Paul E.",,,"In R. T. Michalski, J. Carbonell,",,,,,,,,,Shift of Bias for Inductive Concept Learning.,,,(1986).,"Aha, D. W., Kibler, D., & Albert, M.",,,"In R. Michalski, J. Carbonell, and T. Mitchell, editors,","Los Altos, CA,",,"Machine Learning,",,,pages 163-190.,"Morgan Kaufmann,",,Shift of bias for inductive concept learning.,,"volume 2,",1986.,"('authors',)",1@1577
"Utgoff, Paul E.",,,"In R. T. Michalski, J. Carbonell,",,,,,,,,,Shift of Bias for Inductive Concept Learning.,,,(1986).,P. Utgoff.,,,"In R. Michalski, J. Carbonell, and T. Mitchell, editors,","Los Altos, CA,",,"Machine Learning,",,,pages 163-190.,"Morgan Kaufmann,",,Instance-based learning algorithms.,,"volume 2,",1986.,"('title',)",1@1577
"Utgoff, Paul E.",,,"In R. T. Michalski, J. Carbonell,",,,,,,,,,Shift of Bias for Inductive Concept Learning.,,,(1986).,"Fahlman, S., & Lebiere, C.",,,"In R. Michalski, J. Carbonell, and T. Mitchell, editors,","Los Altos, CA,",,"Machine Learning,",,,pages 163-190.,"Morgan Kaufmann,",,Shift of bias for inductive concept learning.,,"volume 2,",1986.,"('authors',)",1@1577
"Utgoff, Paul E.",,,"In R. T. Michalski, J. Carbonell,",,,,,,,,,Shift of Bias for Inductive Concept Learning.,,,(1986).,P. Utgoff.,,,"In R. Michalski, J. Carbonell, and T. Mitchell, editors,","Los Altos, CA,",,"Machine Learning,",,,pages 163-190.,"Morgan Kaufmann,",,The cascade-correlation learning architecture.,,"volume 2,",1986.,"('title',)",1@1577
P. Utgoff.,,,"In R. Michalski, J. Carbonell, and T. Mitchell, editors,","Los Altos, CA,",,"Machine Learning,",,,pages 163-190.,"Morgan Kaufmann,",,Shift of bias for inductive concept learning.,,"volume 2,",1986.,"Thurn, S. B., Bala, J., Bloedorn, E., Bratko, I., Cestnik, B., Cheng, J., De Jong, K., Dzeroski, S., Fahlman, S. E., Fisher, D., Hamann, R., Kaufman, K., Keller, S., Kononenko, I., Kreuziger, J., Michalski, R. S., Mitchell, T., Pachowicz, P., Reich, Y., Vafaie, H., Van de Welde, W., Wenzel, W., Wnek, J., and Zhang, J.:",,,"In R. T. Michalski, J. Carbonell,",,,,,,,,,Shift of Bias for Inductive Concept Learning.,,,(1986).,"('authors',)",0@1558
P. Utgoff.,,,"In R. Michalski, J. Carbonell, and T. Mitchell, editors,","Los Altos, CA,",,"Machine Learning,",,,pages 163-190.,"Morgan Kaufmann,",,Shift of bias for inductive concept learning.,,"volume 2,",1986.,"Utgoff, Paul E.",,,"In R. T. Michalski, J. Carbonell,",,,,,,,,,"`The MONK's problems: A performance comparison of different learning algorithms',",,,(1986).,"('title',)",0@1558
"Aha, D., Kibler, D. and Albert, M.",,,,,,Machine Learning,,,37-66.,,,Instance-Based Learning Algorithms.,,6,1991.,P. Utgoff.,,,,,,"Machine Learning,",,,37-66.,,,Instance-based learning algorithms.,,"7,",(1991).,"('authors',)",0@601
"Aha, D., Kibler, D. and Albert, M.",,,,,,Machine Learning,,,37-66.,,,Instance-Based Learning Algorithms.,,6,1991.,"Aha, D. W., Kibler, D., & Albert, M.",,,,,,"Machine Learning,",,,37-66.,,,Shift of bias for inductive concept learning.,,"7,",(1991).,"('title',)",0@601
"Brodley, C. E., & Utgoff, P. E.",,,,,,"Machine Learning,",,,,,,Multivariate decision trees.,,,(1994).,Carla E. Brodley and Paul E. Utgoff.,,,,,,"Machine Learning,",,,"45-77,",,,The MONK's problems A performance comparison of different learning algorithms.,,19,1995.,"('title',)",1@1197
"Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko, J. Kreuziger, R.S. Michal-ski, T. Mitchell, P. Pachowicz, Y. Reich, H. Vafaie, W. Van de Welde, W. Wenzel, J. Wnek, and J. Zhang.",,1991.,,,"Carnegie Mellon University,",,,,,,"Technical Report CS-CMU-91-197,",The MONK's problems A performance comparison of different learning algorithms.,,,,"Thrun, S., Bala, J., Bloedorn, E., Bratko, I., Cestnik, B., Cheng, J., De Jong, K., Dzeroski, S., Fisher, D., Fahlman, S., Hamann, R., Kaufman, K., Keller, S., Kononenko, I., Kreuziger, J., Michalski, R., Mitchell, T., Pa-chowicz, P., Reich, Y., Vafaie, H., Van de Welde, W., Wenzel, W., Wnek, J. and Zhang, J.",,(1991).,,,"School of Computer Science, Carnegie-Mellon University.",,,,,,"CMU-CS-91-197,",Incremental induction of decision trees.,,,,"('title',)",1@509
"Thrun, S., Bala, J., Bloedorn, E., Bratko, I., Cestnik, B., Cheng, J., De Jong, K., Dzeroski, S., Fisher, D., Fahlman, S., Hamann, R., Kaufman, K., Keller, S., Kononenko, I., Kreuziger, J., Michalski, R., Mitchell, T., Pa-chowicz, P., Reich, Y., Vafaie, H., Van de Welde, W., Wenzel, W., Wnek, J. and Zhang, J.",,(1991).,,,"School of Computer Science, Carnegie-Mellon University.",,,,,,"CMU-CS-91-197,",The MONK's problems a performance comparison of different learning algorithms.,,,,"Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko, J. Kreuziger, R.S. Michal-ski, T. Mitchell, P. Pachowicz, Y. Reich, H. Vafaie, W. Van de Welde, W. Wenzel, J. Wnek, and J. Zhang.",,1991.,,,"Carnegie Mellon University,",,,,,,"Technical Report CS-CMU-91-197,",Multivariate decision trees.,,,,"('title',)",0@485
"Thrun, S., Bala, J., Bloedorn, E., Bratko, I., Cestnik, B., Cheng, J., De Jong, K., Dzeroski, S., Fisher, D., Fahlman, S., Hamann, R., Kaufman, K., Keller, S., Kononenko, I., Kreuziger, J., Michalski, R., Mitchell, T., Pa-chowicz, P., Reich, Y., Vafaie, H., Van de Welde, W., Wenzel, W., Wnek, J. and Zhang, J.",,(1991).,,,"School of Computer Science, Carnegie-Mellon University.",,,,,,"CMU-CS-91-197,",The MONK's problems a performance comparison of different learning algorithms.,,,,"Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko, J. Kreuziger, R.S. Michal-ski, T. Mitchell, P. Pachowicz, Y. Reich, H. Vafaie, W. Van de Welde, W. Wenzel, J. Wnek, and J. Zhang.",,1991.,,,"Carnegie Mellon University,",,,,,,"Technical Report CS-CMU-91-197,",Instance-based learning algorithms.,,,,"('title',)",0@485
"D.W. Aha, D. Kibler, and M.K. Albert:",,,,,,"Machine Learning,",,,"37-66,",,,"Instance-based learning algorithms,",,"6,",1991.,"D. W. Aha, D. Kibler, and M. Albert.",,,,,,"Machine Learning,",,,"37 -66,",,,The MONK's problems A performance comparison of different learning algorithms.,,6:,1991.,"('title',)",1@963
"D.W. Aha, D. Kibler, and M.K. Albert:",,,,,,"Machine Learning,",,,"37-66,",,,"Instance-based learning algorithms,",,"6,",1991.,Paul E. Utgoff.,,,,,,"Machine Learning,",,,"37 -66,",,,Instance-based learning algorithms.,,6:,1991.,"('authors',)",1@963
"D.W. Aha, D. Kibler, and M.K. Albert:",,,,,,"Machine Learning,",,,"37-66,",,,"Instance-based learning algorithms,",,"6,",1991.,"D. W. Aha, D. Kibler, and M. Albert.",,,,,,"Machine Learning,",,,"37 -66,",,,Perceptron trees: A case study in hybrid concept representations.,,6:,1991.,"('title',)",1@963
"Aha, D., Kibler D., and Albert, M.K",,,,,,Machine Learning,,,pp.37-66.,,,Instance-Based Learning.,,"6(1),",(1991).,"Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko, J. Kreuziger, R.S. Michal-ski, T. Mitchell, P. Pachowicz, Y. Reich, H. Vafaie, W. Van de Welde, W. Wenzel, J. Wnek, and J. Zhang.",,,,,,"Machine Learning,",,,"37 -66,",,,Instance-based learning algorithms.,,6:,1991.,"('authors',)",1@963
"Aha, D., Kibler D., and Albert, M.K",,,,,,Machine Learning,,,pp.37-66.,,,Instance-Based Learning.,,"6(1),",(1991).,"D. W. Aha, D. Kibler, and M. Albert.",,,,,,"Machine Learning,",,,"37 -66,",,,The MONK's problems A performance comparison of different learning algorithms.,,6:,1991.,"('title',)",1@963
"Aha, D., Kibler D., and Albert, M.K",,,,,,Machine Learning,,,pp.37-66.,,,Instance-Based Learning.,,"6(1),",(1991).,Paul E. Utgoff.,,,,,,"Machine Learning,",,,"37 -66,",,,Instance-based learning algorithms.,,6:,1991.,"('authors',)",1@963
"Aha, D., Kibler D., and Albert, M.K",,,,,,Machine Learning,,,pp.37-66.,,,Instance-Based Learning.,,"6(1),",(1991).,"D. W. Aha, D. Kibler, and M. Albert.",,,,,,"Machine Learning,",,,"37 -66,",,,Perceptron trees: A case study in hybrid concept representations.,,6:,1991.,"('title',)",1@963
"D. W. Aha, D. Kibler, and M. Albert.",,,,,,"Machine Learning,",,,"37 -66,",,,Instance-based learning algorithms.,,6:,1991.,"Aha, D., Kibler D., and Albert, M.K",,,,,,Machine Learning,,,pp.37-66.,,,Natural generation of heuristics by transforming the problem representation.,,"6(1),",(1991).,"('title',)",0@635
"D. Aha, D. Kibler, and M. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6,1991.,"D. W. Aha, D. Kibler, and M. Albert.",,,,,,"Machine Learning,",,,"37 -66,",,,The MONK's problems A performance comparison of different learning algorithms.,,6:,1991.,"('title',)",1@963
"D. Aha, D. Kibler, and M. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6,1991.,Paul E. Utgoff.,,,,,,"Machine Learning,",,,"37 -66,",,,Instance-based learning algorithms.,,6:,1991.,"('authors',)",1@963
"D. Aha, D. Kibler, and M. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6,1991.,"D. W. Aha, D. Kibler, and M. Albert.",,,,,,"Machine Learning,",,,"37 -66,",,,Perceptron trees: A case study in hybrid concept representations.,,6:,1991.,"('title',)",1@963
Paul E. Utgoff.,,,,"University of Massachusetts,",,,March,,,,,Decision tree induction based on efficient tree restructuring.,"Technical Report 95-18,",,1995.,"Utgoff, P.E.",,,,"Amherst, MA.","University of Massachusetts, Department of Computer Science,",,,,,,,Shift of bias of inductive concept learning.,"Technical Report 95-18,",,"(1996),","('title',)",1@1849
"Utgoff, P.E.",,,,"Amherst, MA.","University of Massachusetts, Department of Computer Science,",,,,,,,"Decision Tree Induction Based on Efficient Tree Restructuring,","Technical Report 95-18,",,"(1996),",Paul E. Utgoff.,,,,"University of Massachusetts,",,,March,,,,,Learning problem solving heuristics by experimentation.,"Technical Report 95-18,",,1995.,"('title',)",0@1846
Scott E. Fahlman and Christian Lebiere.,In Advances in Neural Information Processing Systems,1990.,"Touretzky, Ed.",,,,,,,"Morgan Kauffman,",,The Cascade-Correlation Learning Architecture.,,"2,",,S.E. Fahlman and C. Lebiere.,"Advances in Neural Information Processing Systems,",1990.,"In D.S. Touretzky, editor,","San Mateo,",,,,,"pages 524-532,",Morgan Kaufmann.,,Constructive induction on domain knowledge.,,"volume 2,",,"('title',)",1@377
"Fahlman, S. & Lebiere, C.","Advances in Neural Information Processing Systems (volume 2),",(1989).,"In Touretzky, D., editor,","San Mateo, CA.",,,,,"(pp. 524-532),",Morgan Kaufmann.,,The cascade-correlation learning architecture.,,,,"Callan, J. P., & Utgoff, P. E.","Advances in Neural Information Processing Systems,",1990.,"In D.S. Touretzky, editor,","San Mateo,",,,,,"pages 524-532,",Morgan Kaufmann.,,The cascade-correlation learning architecture.,,"volume 2,",,"('authors',)",1@377
"Fahlman, S. & Lebiere, C.","Advances in Neural Information Processing Systems (volume 2),",(1989).,"In Touretzky, D., editor,","San Mateo, CA.",,,,,"(pp. 524-532),",Morgan Kaufmann.,,The cascade-correlation learning architecture.,,,,S.E. Fahlman and C. Lebiere.,"Advances in Neural Information Processing Systems,",1990.,"In D.S. Touretzky, editor,","San Mateo,",,,,,"pages 524-532,",Morgan Kaufmann.,,Constructive induction on domain knowledge.,,"volume 2,",,"('title',)",1@377
