ltable_authors,ltable_booktitle,ltable_date,ltable_editor,ltable_address,ltable_institution,ltable_journal,ltable_month,ltable_note,ltable_pages,ltable_publisher,ltable_tech,ltable_title,ltable_category,ltable_volume,ltable_year,rtable_authors,rtable_booktitle,rtable_date,rtable_editor,rtable_address,rtable_institution,rtable_journal,rtable_month,rtable_note,rtable_pages,rtable_publisher,rtable_tech,rtable_title,rtable_category,rtable_volume,rtable_year,alteredAttributes,originalRightId
"Aha, D., Kibler, D., and Albert, M.",,,,,,"Machine Learning,",,,37-66.,,,Instance-Based Learning Algorithms.,,6,(1991),"Brodley, C. E., Utgoff, P. E.",,,,,,"In Machine Learning,",,,45-77.,,,Instance-based learning algorithms.,,"19,",(1995).,"('title',)",0@1187
"Aha, D. W.; Kibler, D.; and Albert, M. K.",,,,,,Machine Learning,,,37-66.,,,Instance-based learning algorithms.,,6,1991.,"Brodley, C. E., Utgoff, P. E.",,,,,,"In Machine Learning,",,,45-77.,,,Instance-based learning algorithms.,,"19,",(1995).,"('title',)",0@1187
"D. W. Aha, D. Kibler, and M. Albert.",,,,,,"Machine Learning,",,,"37 -66,",,,Instance-based learning algorithms.,,6:,1991.,"Brodley, C. E., Utgoff, P. E.",,,,,,"In Machine Learning,",,,45-77.,,,Instance-based learning algorithms.,,"19,",(1995).,"('title',)",0@1187
"Fahlman, Scott E.",,1988.,,"Pittsburgh, PA.","Computer Science Department, Carnegie Mellon University,",,,,,,Technical Report CMU-CS-88-162.,An Empirical Study of Learning Speed in Back-Propagation Networks.,,,,Fahlman S. and Lebiere C.,Advances in Neural Information Processing Systems,(1990).,"In D. Touretzky (Ed),",,,,,,,Morgan Kaufmann.,,An empirical study of learning speed in back-propagation networks.,,"volume2,",,"('title',)",1@314
"Fahlman, S.E.,",,1988.,,"Pittsburgh, PA,","Carnegie-Mellon University,",,,,,,"Report CMU-CS-88-182,","An empirical study of learning speed in back-propagation networks,",,,,S. E.,"in Proceedings of the 1988 Connectionist Models Summer School,",,,,,,,,,Morgan Kauf-mann.,,"An Empirical Study of Learning Speed in BackPropagation Networks,",,,,"('title',)",0@143
"Mitchell, T. M., Utgoff, P. E. and Banerji, R. B.,","Machine Learning, An Artificial Intelligence Approach,",,"in R. S. Michalski, J. G. Carbonell and T. M. Mitchell (eds.),","Palo Alto, CA,",,,,,,"Tioga Press,",,"Learning by Experimentation: Acquiring and Refining Problem-Solving Heuristics,",,,1983.,Paul E. Utgoff.,"In ML-94 ,",,Editors: William W. Cohen and Haym Hirsh.,,,,,,pages 318-325.,,,Learning by experimentation: Acquiring and refining problem solving heuristics.,,,,"('title',)",1@1832
"Aha, D. W., Kibler, D., & Albert, M.",,,,,,"Machine Learning,",,,,,,Instance-based learning algorithms.,,6 (1).,(1991).,"Steele, Guy L., Jr., Fahlman, Scott E., Gabriel, Richard P., Moon, David A., Weinreb, Daniel L., Bobrow, Daniel G., DeMichiel, Linda G., Keene, Sonya E., Kiczales, Gregor, Perdue, Crispin, Pitman, Kent M., Waters, Richard C., and White, Jon L.",,1990).,,"Massachusetts,",,,,,,"Digital Press (Bedford,",,Instance-based learning algorithms.,,,,"('title',)",0@474
"D. Aha, D. Kibler and M. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-Based Learning Algorithms.,,"6,",1991.,M. Pazzani and D. Kibler.,,,,,,"Machine Learning,",,,,,,Instance-based learning algorithms.,,"9(1),",1992.,"('title',)",1@848
"Aha, D., Kibler, D., & Albert, M.",,,,,,Machine Learning,,,pp. 37-66.,,,Instance-Based Learning Algorithms.,,6 (1):,(1991).,M. Pazzani and D. Kibler.,,,,,,"Machine Learning,",,,,,,Instance-based learning algorithms.,,"9(1),",1992.,"('title',)",1@848
"D. W. Aha, D. Kibler, and M. K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6(1),1991.,"Pazzani, M., & Kibler, D.",,,,,,"Machine Learning,",,,(57-94).,,,Instance-based learning algorithms.,,"9,",(1992).,"('title',)",1@819
"Aha, D. W., Kibler, D., and Albert, M. K.",,,,,,Machine Learning,,,37-66.,,,"Instance-based learning algorithms,",,"6(1),",(1991).,D. Ruby and D. Kibler.,In Proceedings of AAAI-91.,,,,,,,,,"AAAI Press,",,Instance-based learning algorithms.,,,1991.,"('title',)",1@1121
"Aha, D. W., Kibler, D., & Albert, M. K.",,,,,,"Machine Learning,",,,37-66.,,,Instance-based learning algorithms.,,"6,",(1991).,"Poggio, T., Fahle, M., & Edelman, S.",,(1992),,,,"Science,",,,1018-1021.,,,Instance-Based Learning Algorithms.,,"256,",,"('title',)",0@464
"Aha, D., Kibler, D., & Albert, M.",,,,,,Machine Learning,,,pp. 37-66.,,,Instance-Based Learning Algorithms.,,6 (1):,(1991).,D. Ruby and D. Kibler.,In Proceedings of AAAI-91.,,,,,,,,,"AAAI Press,",,Instance-based learning algorithms.,,,1991.,"('title',)",1@1121
"Aha, D. W., Kibler, D. & Albert, M. K.",,,,,,"Machine Learning 6(1),",,,pp. 37-66.,,,"Instance-based learning algorithms,",,,"(1991),","Poggio, T., Fahle, M., & Edelman, S.",,(1992),,,,"Science,",,,1018-1021.,,,Instance-Based Learning Algorithms.,,"256,",,"('title',)",0@464
"D. W. Aha, D. Kibler, and M. K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6(1),1991.,D. Ruby and D. Kibler.,In Proceedings of AAAI-91.,,,,,,,,,"AAAI Press,",,Instance-based learning algorithms.,,,1991.,"('title',)",1@1121
M. Pazzani and D. Kibler.,,,,,,"Machine Learning,",,,"57-94,",,,The utility of background knowledge in inductive learning.,,9,1992.,"Common Lisp: The Language (Second Edition). By Guy L. Steele Jr., Scott E. Fahlman, Richard P. Gabriel, David A. Moon, Daniel L. Weinreb, Daniel G. Bobrow, Linda G. DeMichiel, Sonya E. Keene, Gregor Kiczales, Crispin Perdue, Kent M. Pitman, Richard C. Waters, and Jon L White.",,1990.,,"Bedford, Massachusetts,",,,,"ISBN 1-55558-041-6. Steele and Gabriel, Evolution of Lisp 72",,"Digital Press,",,The utility of background knowledge in inductive learning.,,,,"('title',)",0@476
M. Pazzani and D. Kibler.,,,,,,"Machine Learning,",,,"57-94,",,,The utility of background knowledge in inductive learning.,,9,1992.,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,(1994).,,,,"J Appl. Phys.,",,,"893,",,,The utility of background knowledge in inductive learning.,,"76,",,"('title',)",1@4
"Pazzani, M. & Kibler, D.",,,,,,"Machine Learning,",,,57-94.,,,The utility of knowledge in inductive learning.,,9(1),(1992).,"Common Lisp: The Language (Second Edition). By Guy L. Steele Jr., Scott E. Fahlman, Richard P. Gabriel, David A. Moon, Daniel L. Weinreb, Daniel G. Bobrow, Linda G. DeMichiel, Sonya E. Keene, Gregor Kiczales, Crispin Perdue, Kent M. Pitman, Richard C. Waters, and Jon L White.",,1990.,,"Bedford, Massachusetts,",,,,"ISBN 1-55558-041-6. Steele and Gabriel, Evolution of Lisp 72",,"Digital Press,",,The utility of background knowledge in inductive learning.,,,,"('title',)",0@476
Michael Pazzani and Dennis Kibler.,,,,,,"Machine Learning,",,,"57-94,",,,The role of prior knowledge in inductive learning.,,9,1992.,"Common Lisp: The Language (Second Edition). By Guy L. Steele Jr., Scott E. Fahlman, Richard P. Gabriel, David A. Moon, Daniel L. Weinreb, Daniel G. Bobrow, Linda G. DeMichiel, Sonya E. Keene, Gregor Kiczales, Crispin Perdue, Kent M. Pitman, Richard C. Waters, and Jon L White.",,1990.,,"Bedford, Massachusetts,",,,,"ISBN 1-55558-041-6. Steele and Gabriel, Evolution of Lisp 72",,"Digital Press,",,The utility of background knowledge in inductive learning.,,,,"('title',)",0@476
"Pazzani, M. & Kibler, D.",,,,,,"Machine Learning,",,,57-94.,,,The utility of knowledge in inductive learning.,,9,(1992).,"Common Lisp: The Language (Second Edition). By Guy L. Steele Jr., Scott E. Fahlman, Richard P. Gabriel, David A. Moon, Daniel L. Weinreb, Daniel G. Bobrow, Linda G. DeMichiel, Sonya E. Keene, Gregor Kiczales, Crispin Perdue, Kent M. Pitman, Richard C. Waters, and Jon L White.",,1990.,,"Bedford, Massachusetts,",,,,"ISBN 1-55558-041-6. Steele and Gabriel, Evolution of Lisp 72",,"Digital Press,",,The utility of background knowledge in inductive learning.,,,,"('title',)",0@476
"Aha, D.W., Kibler, D., & Albert, M.K.",,,,,,"Machine Learning,",,,37-66.,,,"Instance-based learning algorithms,",,6,(1991),"Pazzani, M., & Kibler, D.",,,,,,"Machine Learning,",,,57-94.,,,Instance-based learning algorithms.,,"9 (1),",(1992).,"('title',)",1@814
"Aha, David W., Dennis Kibler, Marc K. Albert.",,,,,,Machine Learning.,,,pp. 37-66.,,,Instance-Based Learning Algorithms.,,"6,",1991.,"Guy L. Steele Jr., Scott E. Fahlman, Richard P. Gabriel, David A. Moon, and Daniel L. Weinreb.",,1984.,,"Burlington, Massachusetts,",,,,,,"Digital Press,",,Instance-based learning algorithms.,,,,"('title',)",0@472
"Aha, D. , Kibler, D. , and Albert, M. K.",,,,,,"Machine Learning,",,,,,,Instance-Based Learning Algorithms.,,vol.6 (1).,(1991).,"Guy L. Steele Jr., Scott E. Fahlman, Richard P. Gabriel, David A. Moon, and Daniel L. Weinreb.",,1984.,,"Burlington, Massachusetts,",,,,,,"Digital Press,",,Instance-based learning algorithms.,,,,"('title',)",0@472
"Aha, D. W., Kibler, D., & Albert, M. K.",,,,,,"Machine Learning,",,,37-66.,,,Instance-Based Learning Algorithms.,,"6,",(1991).,"Guy L. Steele Jr., Scott E. Fahlman, Richard P. Gabriel, David A. Moon, and Daniel L. Weinreb.",,1984.,,"Burlington, Massachusetts,",,,,,,"Digital Press,",,Instance-based learning algorithms.,,,,"('title',)",0@472
"D.W. Aha, D. Kibler, and M.K. Albert:",,,,,,"Machine Learning,",,,"37-66,",,,"Instance-based learning algorithms,",,"6,",1991.,S.E. Fahlman.,,1979.,,"Cambridge, MA,",,,,,,"MIT Press,",,Instance-based learning algorithms.,,,,"('title',)",0@95
"D. Aha, D. Kibler, and M. Albert.",,,,,,"Machine Learning,",,,,,,Instance-based learning algorithms.,,"6: 3766,",1991.,Michael Pazzani and Dennis Kibler.,,,,,,"Machine Learning Journal,",,,,,,Instance-based learning algorithms.,,,1992.,"('title',)",1@847
"Aha, D., Kibler, D., and Albert, M.",,,,,,"Machine Learning,",,,37-66.,,,Instance-based learning algorithms.,,7,(1991).,M. Pazzani and D. Kibler.,,,,,,"Machine Learning,",,,"57-94,",,,Instance-Based Learning Algorithms.,,9,1992.,"('title',)",1@1050
"Fahlman, S. & Lebiere, C.","Advances in Neural Information Processing Systems (volume 2),",(1989).,"In Touretzky, D., editor,","San Mateo, CA.",,,,,"(pp. 524-532),",Morgan Kaufmann.,,The cascade-correlation learning architecture.,,,,"Mitchell, T.M., Utgoff, P.E., and Banerji, R.",,,"Mitchell (eds.),  R.S. Michalski, J.G. Carbonell, and T.M.","San Mateo, CA,",,,,,"pp. 163-189,","Morgan Kaufman Publishers,",,The cascade-correlation learning architecture.,,,1983.,"('title',)",0@1389
"Fahlman, S. & Lebiere, C.","Advances in Neural Information Processing Systems (volume 2),",(1989).,"In Touretzky, D., editor,","San Mateo, CA.",,,,,"(pp. 524-532),",Morgan Kaufmann.,,The cascade-correlation learning architecture.,,,,"B. Buth, K.-H. Buth, M. Franzle, B. v. Karger, Y. Lakhneche, H. Langmaack, and M. Muller-Olm.","Compiler Construction,",1992.,"In U. Kastens and P. Pfahler, editors,",,,,,volume 641 of Lecture Notes in Computer Science.,,"Springer-Verlag,",,The Cascade Correlation Learning Architecture.,,,,"('title',)",0@19
S. Fahlman and C. Lebiere.,"Advances in Neural Information Processing Systems,",1990.,"In D. Touretzky, editor,","San Mateo, CA,",,,,,"pages 524-532,","IEEE, Morgan Kaufmann,",,The cascade-correlation learning architecture.,,,,"Fahlman, S.E.,",,1979.,,"Cambridge, MA,",,,,,,"MIT Press,",,The cascade-correlation learning architecture. In D.S.,,,,"('title',)",1@92
"Pazzani, M., and Kibler, D.",,,,,,Machine Learning,,,57-94.,,,The utility of background knowledge in inductive learning.,,9,1992.,"David W. Aha, Dennis Kibler, and Mark K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,The utility of knowledge in inductive learning.,,6,1991.,"('title',)",1@999
"Pazzani, M., and Kibler, D.",,,,,,Machine Learning,,,57-94.,,,The utility of background knowledge in inductive learning.,,9,1992.,"Kibler, D., & Langley, P.","In Proceedings of the Third European Working Session on Learning,",,,"Edinburgh, UK.",,,,,"pp. 1-12,",,,The utility of knowledge in inductive learning.,,,(1988).,"('title',)",1@754
"Pazzani, M., and Kibler, D.",,,,,,Machine Learning,,,57-94.,,,The utility of background knowledge in inductive learning.,,9,1992.,"Aha, D. & Kibler, D.",Proc. IJCAI-89,,,,,,,,pp. 794 799).,,,"The Utility of Knowledge in Inductive Learning,",,,(1989).,"('title',)",1@554
M. Pazzani and D. Kibler.,,,,,,"Machine Learning,",,,"57-94,",,,The utility of knowledge in inductive learning.,,9(1),1992.,"Aha, D. W., Kibler, D. & Albert, M. K.",,,,,,"Machine Learning 6(1),",,,pp. 37-66.,,,The utility of background knowledge in inductive learning.,,,"(1991),","('title',)",1@594
Michael Pazzani and Dennis Kibler.,,,,,,"Machine Learning,",,,":57-94,",,,The utility of knowledge in inductive learning.,,(9),1992,Scott Elliott Fahlman.,,1974.,,,,"Artificial Intelligence,",,,"1-49,",,,The utility of knowledge in inductive learning.,,5(1),,"('title',)",0@56
"Pazzani, M. & Kibler, D.",,,,,,"Machine Learning,",,,57-94.,,,The utility of knowledge in inductive learning.,,9(1),(1992).,"D. W. Aha, D. Kibler, and M. K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,The utility of knowledge in inductive learning.,,6(1),1991.,"('title',)",1@964
Michael Pazzani and Dennis Kibler.,,,,,,"Machine Learning,",,,":57-94,",,,The utility of knowledge in inductive learning.,,(9),1992,"Ourston, D. & Mooney, R.",,,,,,"Artificial Intelligence,",,,273-309.,,,The utility of knowledge in inductive learning.,,66(2),(1994).,"('title',)",0@1048
"Pazzani, M., & Kibler, D.",,,,,,"Machine Learning,",,,57-94.,,,The utility of knowledge in inductive learning.,,"9,",(1992).,"D. W. Aha, D. Kibler, and M. K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,The utility of knowledge in inductive learning.,,6(1),1991.,"('title',)",1@964
Micheal J. Pazzani and Dennis Kibler.,,,,,,"Machine Learning,",,,"54-97,",,,The role of prior knowledge in inductive learning.,,9,1992.,"D. W. Aha, D. Kibler, and M. K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,The utility of knowledge in inductive learning.,,6(1),1991.,"('title',)",1@964
Micheal J. Pazzani and Dennis Kibler.,,,,,,"Machine Learning,",,,"54-97,",,,The role of prior knowledge in inductive learning.,,9,1992.,C. E. Brodley and P. E. Utgoff.,,,,,,"Machine Learning,",,,,,,The utility of knowledge in inductive learning.,,,1994.,"('title',)",1@1166
"Aha, David W., Dennis Kibler, Marc K. Albert,",,,,,,"Machine Learning,",,,pp. 37-66.,,,"Instance-Based Learning Algorithms,",,"vol.6,",(1991).,Michael Pazzani and Dennis Kibler.,,,,,,"Machine Learning,",,,":57-94,",,,Instance-Based Learning Algorithms.,,(9),1992,"('title',)",0@798
"AHA, D.W., KIBLER, D. and ALBERT, M.K",,,,,,"Machine Learning,",,,pp. 37-66.,,,"Instance-based learning algorithms,",,"Vol. 6,","1991,",Michael Pazzani and Dennis Kibler.,,,,,,"Machine Learning,",,,":57-94,",,,Instance-Based Learning Algorithms.,,(9),1992,"('title',)",0@798
"Aha, D.W., Kibler, D., & Albert, M.K.",,,,,,"Machine Learning,",,,37-66.,,,"Instance-based learning algorithms,",,"6,",(1991).,Michael Pazzani and Dennis Kibler.,,,,,,"Machine Learning,",,,":57-94,",,,Instance-Based Learning Algorithms.,,(9),1992,"('title',)",0@798
"D. Aha, D. Kibler, and M. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-Based Learning Algorithms.,,6(1),1991.,Michael Pazzani and Dennis Kibler.,,,,,,"Machine Learning,",,,":57-94,",,,Instance-Based Learning Algorithms.,,(9),1992,"('title',)",0@798
"Pazzani, M., & Kibler, D.",,,,,,"Machine Learning,",,,57-94.,,,The Utility of Knowledge in Inductive Learning.,,"9:1,",(1992).,"D. W. Aha, D. Kibler, and M. K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,The utility of knowledge in inductive learning.,,6(1),1991.,"('title',)",1@964
"Fahlman, S. & Lebiere, C.","Advances in Neural Information Processing Systems (volume 2),",(1989).,"In Touretzky, D., editor,","San Mateo, CA.",,,,,"(pp. 524-532),",Morgan Kaufmann.,,The cascade-correlation learning architecture.,,,,"Guy L. Steele Jr., Scott E. Fahlman, Richard P. Gabriel, David A. Moon, and Daniel L. Weinreb.",,1984.,,"Burlington, Massachusetts,",,,,,,"Digital Press,",,The cascade-correlation learning architecture.,,,,"('title',)",0@472
"Aha, D.W., Kibler, D., & Albert, M.K.",,,,,,"Machine Learning,",,,37-66.,,,Instance-based learning algorithms.,,"6,",(1991).,"Brodley, C.E. and Utgoff P.E.",,,,,,Machine Learning,,,45-77.,,,Instance-Based Learning Algorithms.,,"19,","(1995),","('title',)",0@1189
"Fahlman, S.E.",In Proceedings of the 1988 Connectionist Models Summer School.,1988.,,,,,,,,Morgan-Kaufmann.,,An Empirical Study of Learning Speed in Back-Propagation Networks.,,,,"Utgoff, Paul E.",Machine Learning. An Artificial Intelligence Approach.,,"In Michalski, Ryszard S., Carbonell, Jaime G., and Mitchell, Tom M., editors,","Los Altos, CA,",,,,,pages 107-148.,"Morgan Kaufmann,",,An empirical study of learning speed in back-propagation networks.,,"Volume II,",1986.,"('title',)",0@1582
S.E. Fahlman.,,1988.,,,,,,,,,"Tech Report CMU-CS-88-162,",An empirical study of learning speed in back-propagation networks.,,,,"Common Lisp: The Language (Second Edition). By Guy L. Steele Jr., Scott E. Fahlman, Richard P. Gabriel, David A. Moon, Daniel L. Weinreb, Daniel G. Bobrow, Linda G. DeMichiel, Sonya E. Keene, Gregor Kiczales, Crispin Perdue, Kent M. Pitman, Richard C. Waters, and Jon L White.",,1990.,,"Bedford, Massachusetts,",,,,"ISBN 1-55558-041-6. Steele and Gabriel, Evolution of Lisp 72",,"Digital Press,",,An Empirical Study of Learning Speed in Back-Propagation Networks.,,,,"('title',)",1@477
"P. Utgoff,","in Machine Learning: An Artificial Intelligence Approach,",,"R. Michalski, J. Carbonell, and T. Mitchell (eds.),","Los Altos, CA,",,,,,"pp. 107-148,","Morgan Kaufman,",,"Shift of Bias for Inductive Learning,,",,"Vol. II,",1986.,"Utgoff, P. E.",Machine Learning,,,,,,,,161-186.,,,Shift of bias for inductive concept learning.,,4,1989.,"('title',)",0@1656
"Utgoff, P.,",in Machine Learning:  An Artificial Intelligence Approach,,"Michalski, R.S., Carbonell, J.G., and Mitchell, T. M. (Eds.),",,,,,,,"Morgan Kaufmann Publishers,",,"Shift of Bias for Inductive Concept Learning,",,"Vol. II,",,"Utgoff, P. E.",Machine Learning,,,,,,,,161-186.,,,Shift of bias for inductive concept learning.,,4,1989.,"('title',)",0@1656
"Fahlman, S. E. and Lebiere, C.",In Neural Information Systems,1990.,"Touretzky, D. S. (ed).",,,,,,pp 524-532.,"Morgan-Kauffman,",,The Cascade Correlation Learning Architecture.,,2.,,P. E. Utgoff and J. A. Clouse.,"In Proceedings of the Ninth Annual Conference on Artificial Intelligence,",1991.,,"San Mateo, CA,",,,,,"pages 596-600,",Morgan Kaufmann.,,The Cascade Correlation Learning Architecture.,,,,"('title',)",1@1783
D. Kibler and P. Langley.,"In Proceedings of 1988 European Working Session on Learning,",,,,,,,,"pages 81-92,",,,Machine learning as an experimental science.,,,1988.,"Pazzani, M., & Kibler, D.",,,,,,"Machine Learning,",,,57-94.,,,Machine learning as an experimental science.,,"9:1,",(1992).,"('title',)",0@1074
S. E. Fahlman.,In Proceedings of the 1988 Connectionists Models Summer School.,1988.,,,,,,,,"Morgan Kauffman Inc.,",,Faster-learning variations on back-propagation: An empirical study.,,,,"Knoop, J. and Steffen, B.,","in Proceedings of the Fourth International Conference on Compiler Construction,",(1992).,"U. Kastens and P. Pfahler, ed.","New York, NY",,,,"Lecture Notes in Computer Science,",pp. 125-140,"Springer-Verlag,",,"Fast Learning Variations on Backpropagation: An Empirical Study,",,"Vol. 641,",,"('title',)",0@435
S. Fahlman and C. Lebiere.,In Adv. in Neural Info. Processing Systems,1989.,,"Denver, CO,",,,,,"pages 524-532,",Morgan Kaufmann.,,The cascade-correlation learning architecture.,,volume2,,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,(1994).,,,,"J Appl. Phys.,",,,"893,",,,The Cascade-Correlation Learning Architecture.,,"76,",,"('title',)",1@4
"David W. Aha, Dennis Kibler, and Marc K. Albert.",,,,,,"Machine Learning,",,,,,,Instance-based learning algorithms.,,"6(1),",1991.,"Chapman, D.",,,,,,"Artificial Intelligence,",,,333-377.,,,`Instance-based learning algorithms'.,,"32,",(1987).,"('title',)",0@1255
"Aha, D., Kibler, D. and Albert, M.:",,,,,,Machine Learning,,,37-66.,,,Instance-Based Learning Algorithms.,,"6,",(1991),"Utgoff, P. E., & Brodley, C. E.",,,,University of Massachusetts at Amherst.,,,,,,,,Instance-based learning algorithms.,"Tech. rep. 10,",,(1991).,"('title',)",0@1793
"Pazzani, M., & Kibler, D.",,,,,,"Machine Learning,",,,57-94.,,,The Utility of Knowledge in Inductive Learning.,,"9:1,",(1992).,Scott E. Fahlman.,,1979.,,"Cambridge, MA,",,,,,,"MIT Press,",,The utility of knowledge in inductive learning.,,,,"('title',)",1@81
"Pazzani, M. & Kibler, D.",,,,,,"Machine Learning,",,,57-94.,,,The utility of knowledge in inductive learning.,,9(1),(1992).,Scott E. Fahlman.,,1979.,,"Cambridge, MA,",,,,,,"MIT Press,",,The utility of knowledge in inductive learning.,,,,"('title',)",1@81
"Pazzani, M., and Kibler, D.",,,,,,Machine Learning,,,54-97.,,,The utility of prior knowledge in inductive learning.,,9,1992.,Scott E. Fahlman.,,1979.,,"Cambridge, MA,",,,,,,"MIT Press,",,The utility of knowledge in inductive learning.,,,,"('title',)",1@81
"Pazzani, M., and Kibler, D.",,,,,,Machine Learning,,,54-97.,,,The utility of prior knowledge in inductive learning.,,9,1992.,C. E. Brodley and P. E. Utgoff.,,,,,,"Machine Learning,",,,"45-77,",,,The utility of knowledge in inductive learning.,,19(1),1995.,"('title',)",1@1209
"Pazzani, M., and Kibler, D.",Machine Learning 9,,,,,,,,57-94.,,,The utility of background knowledge in inductive learning.,,,1992.,Scott E. Fahlman.,,1979.,,"Cambridge, MA,",,,,,,"MIT Press,",,The utility of knowledge in inductive learning.,,,,"('title',)",1@81
"Pazzani, M., and Kibler, D.",Machine Learning 9,,,,,,,,57-94.,,,The utility of background knowledge in inductive learning.,,,1992.,"Nilsson, N. J.",,,,,,"Journal of Artificial Intelligence Research 1,",,,139 - 158.,,,"The Utility of Knowledge in Inductive Learning,",,,"(1994),","('title',)",1@789
"D Aha, D Kibler, and M Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6,1991.,"Hampson, D., & Kibler, S.","DIMACS Series in Discrete Mathematics and Theoretical Computer Science: Cliques, Colors and Satisfiability,",,"In Johnson, D., & Trick, M. (Eds.),",,,,,,pp. 437-456.,American Mathematical Society.,,Instance-based learning algorithms.,,"vol.26,",(1995).,"('title',)",1@727
"D Aha, D Kibler, and M Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6,1991.,David Ruby and Dennis Kibler.,"In Machine Learning : proceedings of the Ninth International Workshop (ML92),",,,,,,,,"pages 379-384,",,,Instance-based learning algorithms.,,,1992.,"('title',)",1@865
