ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,alteredAttributes
oceana,'55 e. 54th st. ',` new york ',212/759 -5941,seafood,50,` san pietro ','18 e. 54th st. ',` new york ',212/753 -9015,italian,50,"('class',)"
oceana,'55 e. 54th st. ',` new york ',212/759 -5941,seafood,50,` monkey bar ','60 e. 54th st. ',` new york ',212/838 -2600,american,50,"('class',)"
aquavit,'13 w. 54th st. ',` new york ',212/307 -7311,continental,24,` jewel of india ','15 w. 44th st. ',` new york ',212/869 -5544,asian,24,"('class',)"
march,' 405 e. 58th st. ',` new york ',212/754 -6272,american,46,bruno,' 240 e. 58th st. ',` new york ',212/688 -4190,italian,46,"('class',)"
march,' 405 e. 58th st. ',` new york ',212/754 -6272,american,46,petrossian,' 182 w. 58th st. ',` new york ',212/245 -2214,french,46,"('class',)"
march,' 405 e. 58th st. ',` new york ',212/754 -6272,american,46,felidia,' 243 e. 58th st. ',` new york ',212/758 -1479,italian,46,"('class',)"
march,' 405 e. 58th st. ',` new york ',212/754 -6272,american,46,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,46,"('class',)"
march,' 405 e. 58th st. ',` new york ',212/754 -6272,american,46,` pen & pencil ',' 205 e. 45th st. ',` new york ',212/682 -8660,american,46,"('class',)"
march,' 405 e. 58th st. ',` new york city ',212-754-6272,` american ( new ) ',46,` shun lee palace ',' 155 e. 55th st. ',` new york city ',212-371-8844,chinese,46,"('class',)"
march,' 405 e. 58th st. ',` new york city ',212-754-6272,` american ( new ) ',46,petrossian,' 182 w. 58th st. ',` new york city ',212-245-2214,russian,46,"('class',)"
march,' 405 e. 58th st. ',` new york city ',212-754-6272,` american ( new ) ',46,felidia,' 243 e. 58th st. ',` new york city ',212-758-1479,italian,46,"('class',)"
` palace court ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,continental,70,bistro,' 3400 las vegas blvd. s ',` las vegas ',702/791 -7111,continental,70,"('class',)"
` palace court ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,continental,70,` cafe roma ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,` coffee shops/diners ',70,"('class',)"
` palace court ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,continental,70,'em press court ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7888,asian,70,"('class',)"
` palace court ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,continental,70,` the bacchanal ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7525,` only in las vegas ',70,"('class',)"
` palace court ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,continental,70,` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,70,"('class',)"
` palace court ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,continental,70,` steak house ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,` steak houses ',70,"('class',)"
` palace court ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,continental,70,mikado,' 3400 las vegas blvd. s ',` las vegas ',702/791 -7111,asian,70,"('class',)"
` palace court ',' 3570 las vegas blvd. s. ',` las vegas ',702-731-7110,` french ( new ) ',70,moongate,' 3400 las vegas blvd. s. ',` las vegas ',702-791-7352,chinese,70,"('class',)"
` palace court ',' 3570 las vegas blvd. s. ',` las vegas ',702-731-7110,` french ( new ) ',70,` buccaneer bay club ',' 3300 las vegas blvd. s. ',` las vegas ',702-894-7350,continental,70,"('class',)"
` palace court ',' 3570 las vegas blvd. s. ',` las vegas ',702-731-7110,` french ( new ) ',70,` coyote cafe ( las vegas ) ',' 3799 las vegas blvd. s. ',` las vegas ',702-891-7349,southwestern,70,"('class',)"
` palace court ',' 3570 las vegas blvd. s. ',` las vegas ',702-731-7110,` french ( new ) ',70,` sterling brunch ',' 3645 las vegas blvd. s. ',` las vegas ',702-739-4651,eclectic,70,"('class',)"
` palace court ',' 3570 las vegas blvd. s. ',` las vegas ',702-731-7110,` french ( new ) ',70,` steak house the ',' 2880 las vegas blvd. s. ',` las vegas ',702-734-0410,steakhouses,70,"('class',)"
` palace court ',' 3570 las vegas blvd. s. ',` las vegas ',702-731-7110,` french ( new ) ',70,` tre visi ',' 3799 las vegas blvd. s. ',` las vegas ',702-891-7331,italian,70,"('class',)"
` palace court ',' 3570 las vegas blvd. s. ',` las vegas ',702-731-7110,` french ( new ) ',70,` spago ( las vegas ) ',' 3500 las vegas blvd. s. ',` las vegas ',702-369-6300,californian,70,"('class',)"
` steak house ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,` steak houses ',72,mikado,' 3400 las vegas blvd. s ',` las vegas ',702/791 -7111,asian,72,"('class',)"
` steak house ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,` steak houses ',72,bistro,' 3400 las vegas blvd. s ',` las vegas ',702/791 -7111,continental,72,"('class',)"
` steak house ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,` steak houses ',72,` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,72,"('class',)"
` steak house ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,` steak houses ',72,` palace court ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,continental,72,"('class',)"
` steak house the ',' 2880 las vegas blvd. s. ',` las vegas ',702-734-0410,steakhouses,72,` sterling brunch ',' 3645 las vegas blvd. s. ',` las vegas ',702-739-4651,eclectic,72,"('class',)"
` steak house the ',' 2880 las vegas blvd. s. ',` las vegas ',702-734-0410,steakhouses,72,` tre visi ',' 3799 las vegas blvd. s. ',` las vegas ',702-891-7331,italian,72,"('class',)"
` steak house the ',' 2880 las vegas blvd. s. ',` las vegas ',702-734-0410,steakhouses,72,` coyote cafe ( las vegas ) ',' 3799 las vegas blvd. s. ',` las vegas ',702-891-7349,southwestern,72,"('class',)"
` steak house the ',' 2880 las vegas blvd. s. ',` las vegas ',702-734-0410,steakhouses,72,` peter luger steak house ',' 178 broadway ',brooklyn,718-387-7400,steakhouses,72,"('class',)"
` steak house the ',' 2880 las vegas blvd. s. ',` las vegas ',702-734-0410,steakhouses,72,` palace court ',' 3570 las vegas blvd. s. ',` las vegas ',702-731-7110,` french ( new ) ',72,"('class',)"
` steak house the ',' 2880 las vegas blvd. s. ',` las vegas ',702-734-0410,steakhouses,72,` monte carlo ',' 3145 las vegas blvd. s. ',` las vegas ',702-733-4524,` french ( new ) ',72,"('class',)"
` steak house the ',' 2880 las vegas blvd. s. ',` las vegas ',702-734-0410,steakhouses,72,` sparks steak house ',' 210 e. 46th st. ',` new york city ',212-687-4855,steakhouses,72,"('class',)"
` chin \ 's ',' 3200 las vegas blvd. s ',` las vegas ',702/733 -8899,asian,67,` bertolini \ 's ',' 3570 las vegas blvd. s ',` las vegas ',702/735 -4663,italian,67,"('class',)"
` chin \ 's ',' 3200 las vegas blvd. s ',` las vegas ',702/733 -8899,asian,67,` ralph \ 's diner ',' 3000 las vegas blvd. s ',` las vegas ',702/732 -6330,` coffee shops/diners ',67,"('class',)"
` chin \ 's ',' 3200 las vegas blvd. s ',` las vegas ',702/733 -8899,asian,67,` bally \ 's big kitchen ',' 3645 las vegas blvd. s ',` las vegas ',702/739 -4111,buffets,67,"('class',)"
` chin \ 's ',' 3200 las vegas blvd. s ',` las vegas ',702/733 -8899,asian,67,` bugsy \ 's diner ',' 3555 las vegas blvd. s ',` las vegas ',702/733 -3111,` coffee shops/diners ',67,"('class',)"
` chin \ 's ',' 3200 las vegas blvd. s. ',` las vegas ',702-733-8899,chinese,67,` madame ching \ 's ',' 3300 las vegas blvd. s. ',` las vegas ',702-894-7111,asian,67,"('class',)"
` chin \ 's ',' 3200 las vegas blvd. s. ',` las vegas ',702-733-8899,chinese,67,` cha cha cha \ 's ',' 1805 haight st. ',` san francisco ',415-386-5758,caribbean,67,"('class',)"
petrossian,' 182 w. 58th st. ',` new york ',212/245 -2214,french,52,` dix et sept ',' 181 w. 10th st. ',` new york ',212/645 -8023,french,52,"('class',)"
petrossian,' 182 w. 58th st. ',` new york ',212/245 -2214,french,52,march,' 405 e. 58th st. ',` new york ',212/754 -6272,american,52,"('class',)"
petrossian,' 182 w. 58th st. ',` new york ',212/245 -2214,french,52,felidia,' 243 e. 58th st. ',` new york ',212/758 -1479,italian,52,"('class',)"
petrossian,' 182 w. 58th st. ',` new york ',212/245 -2214,french,52,` manhattan ocean club ','57 w. 58th st. ',` new york ',' 212 / 371-7777 ',seafood,52,"('class',)"
petrossian,' 182 w. 58th st. ',` new york ',212/245 -2214,french,52,` planet hollywood ',' 140 w. 57th st. ',` new york ',212/333 -7827,american,52,"('class',)"
petrossian,' 182 w. 58th st. ',` new york ',212/245 -2214,french,52,` osteria al droge ',' 142 w. 44th st. ',` new york ',212/944 -3643,italian,52,"('class',)"
petrossian,' 182 w. 58th st. ',` new york ',212/245 -2214,french,52,` le madri ',' 168 w. 18th st. ',` new york ',212/727 -8022,italian,52,"('class',)"
petrossian,' 182 w. 58th st. ',` new york ',212/245 -2214,french,52,bruno,' 240 e. 58th st. ',` new york ',212/688 -4190,italian,52,"('class',)"
petrossian,' 182 w. 58th st. ',` new york city ',212-245-2214,russian,52,` les celebrites ',' 155 w. 58th st. ',` new york city ',212-484-5113,` french ( classic ) ',52,"('class',)"
petrossian,' 182 w. 58th st. ',` new york city ',212-245-2214,russian,52,march,' 405 e. 58th st. ',` new york city ',212-754-6272,` american ( new ) ',52,"('class',)"
` art \ 's deli ',' 12224 ventura blvd. ',` studio city ',818-762-1221,delis,1,` mulberry st. ',' 17040 ventura blvd. ',encino,818-906-8881,pizza,1,"('class',)"
` art \ 's deli ',' 12224 ventura blvd. ',` studio city ',818-762-1221,delis,1,` rubin \ 's red hots ',' 15322 ventura blvd. ',encino,818-905-6515,` hot dogs ',1,"('class',)"
` le bernardin ',' 155 w. 51st st. ',` new york city ',212-489-1515,seafood,41,` les celebrites ',' 155 w. 58th st. ',` new york city ',212-484-5113,` french ( classic ) ',41,"('class',)"
` le chardonnay ',' 8284 melrose ave. ',` los angeles ',213/655 -8880,french,12,` tavola calda ',' 7371 melrose ave. ',` los angeles ',213/658 -6340,italian,12,"('class',)"
` le chardonnay ( los angeles ) ',' 8284 melrose ave. ',` los angeles ',213-655-8880,` french bistro ',12,` johnny rockets ( la ) ',' 7507 melrose ave. ',la,213-651-3361,american,12,"('class',)"
` arnie morton \ 's of chicago ',' 435 s. la cienega blv . ',` los angeles ',310/246 -1501,american,0,` l \ ` orangerie ',' 903 n. la cienega blvd. ',` los angeles ',310/652 -9770,french,0,"('class',)"
` arnie morton \ 's of chicago ',' 435 s. la cienega blv . ',` los angeles ',310/246 -1501,american,0,` drai \ 's ',' 730 n. la cienega blvd. ',` los angeles ',310/358 -8585,french,0,"('class',)"
` arnie morton \ 's of chicago ',' 435 s. la cienega blv . ',` los angeles ',310/246 -1501,american,0,matsuhisa,' 129 n. la cienega blvd. ',` beverly hills ',310/659 -9639,asian,0,"('class',)"
` arnie morton \ 's of chicago ',' 435 s. la cienega blvd. ',` los angeles ',310-246-1501,steakhouses,0,` morton \ 's of chicago ( atlanta ) ',' 303 peachtree st. ne ',atlanta,404-577-4366,steakhouses,0,"('class',)"
` l \ ` orangerie ',' 903 n. la cienega blvd. ',` w. hollywood ',310-652-9770,` french ( classic ) ',11,` arnie morton \ 's of chicago ',' 435 s. la cienega blvd. ',` los angeles ',310-246-1501,steakhouses,11,"('class',)"
` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',90,"('class',)"
` ritz-carlton dining room ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',90,` white house restaurant ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,90,"('class',)"
` ritz-carlton dining room ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',90,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,90,"('class',)"
` ritz-carlton dining room ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',90,abruzzi,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,90,"('class',)"
` ritz-carlton dining room ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',90,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',90,"('class',)"
` ritz-carlton dining room ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',90,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,90,"('class',)"
` ritz-carlton dining room ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',90,` palm the ( atlanta ) ',' 3391 peachtree rd. ne ',atlanta,404-814-1955,steakhouses,90,"('class',)"
` ritz-carlton dining room ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',90,` georgia grille ',' 2290 peachtree rd. ',atlanta,404-352-3517,southwestern,90,"('class',)"
` ritz-carlton dining room ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',90,` brookhaven cafe ',' 4274 peachtree rd. ',atlanta,404-231-5907,vegetarian,90,"('class',)"
` georgia grille ',' 2290 peachtree rd. . peachtree square shopping center ',atlanta,404/352 -3517,american,81,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,81,"('class',)"
` georgia grille ',' 2290 peachtree rd. . peachtree square shopping center ',atlanta,404/352 -3517,american,81,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,81,"('class',)"
` georgia grille ',' 2290 peachtree rd. . peachtree square shopping center ',atlanta,404/352 -3517,american,81,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',81,"('class',)"
` georgia grille ',' 2290 peachtree rd. . peachtree square shopping center ',atlanta,404/352 -3517,american,81,palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,81,"('class',)"
` georgia grille ',' 2290 peachtree rd. . peachtree square shopping center ',atlanta,404/352 -3517,american,81,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,81,"('class',)"
` georgia grille ',' 2290 peachtree rd. . peachtree square shopping center ',atlanta,404/352 -3517,american,81,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,81,"('class',)"
` georgia grille ',' 2290 peachtree rd. . peachtree square shopping center ',atlanta,404/352 -3517,american,81,` dante \ 's down the hatch buckhead ',' 3380 peachtree rd. ',atlanta,404/266 -1600,continental,81,"('class',)"
` masa \ 's ',' 648 bush st. ',` san francisco ',415/989 -7154,french,106,` teresa \ 's ',' 103 1st ave. between 6th and 7th sts . ',` new york ',212/228 -0604,` east european ',106,"('class',)"
` masa \ 's ',' 648 bush st. ',` san francisco ',415-989-7154,` french ( new ) ',106,` kelly \ 's on trinity ',' 333 bush st. ',` san francisco ',415-362-4454,californian,106,"('class',)"
` masa \ 's ',' 648 bush st. ',` san francisco ',415-989-7154,` french ( new ) ',106,` cha cha cha \ 's ',' 1805 haight st. ',` san francisco ',415-386-5758,caribbean,106,"('class',)"
` mesa grill ',' 102 5th ave. between 15th and 16th sts . ',` new york ',212/807 -7400,american,47,` sea grill ','19 w. 49th st. ',` new york ',212/332 -7610,seafood,47,"('class',)"
` mesa grill ',' 102 5th ave. between 15th and 16th sts . ',` new york ',212/807 -7400,american,47,` inca grill ',' 492 broome st. near w. broadway ',` new york ',212/966 -3371,` latin american ',47,"('class',)"
` mesa grill ',' 102 5th ave. between 15th and 16th sts . ',` new york ',212/807 -7400,american,47,` china grill ','60 w. 53rd st. ',` new york ',212/333 -7788,american,47,"('class',)"
` cafe lalo ',' 201 w. 83rd st. ',` new york ',212/496 -6031,` coffee bar ',26,triangolo,' 345 e. 83rd st. ',` new york ',212/472 -4488,italian,26,"('class',)"
` ritz-carlton restaurant and dining room ',' 600 stockton st. ',` san francisco ',415/296 -7465,american,110,` campton place ',' 340 stockton st. ',` san francisco ',415/955 -5555,american,110,"('class',)"
` ritz-carlton dining room ( san francisco ) ',' 600 stockton st. ',` san francisco ',415-296-7465,` french ( new ) ',110,` ritz-carlton restaurant ',' 181 peachtree st. ',atlanta,404-659-0400,` french ( classic ) ',110,"('class',)"
` ritz-carlton dining room ( san francisco ) ',' 600 stockton st. ',` san francisco ',415-296-7465,` french ( new ) ',110,` campton place ',' 340 stockton st. ',` san francisco ',415-955-5555,` american ( new ) ',110,"('class',)"
` campton place ',' 340 stockton st. ',` san francisco ',415/955 -5555,american,98,` ritz-carlton restaurant and dining room ',' 600 stockton st. ',` san francisco ',415/296 -7465,american,98,"('class',)"
aqua,' 252 california st. ',` san francisco ',415-956-9662,` american ( new ) ',95,'em erald garden restaurant ',' 1550 california st. ',` san francisco ',415-673-1155,vietnamese,95,"('class',)"
` river cafe ',' 1 water st. at the east river ',brooklyn,718/522 -5200,american,56,` popover cafe ',' 551 amsterdam ave. between 86th and 87th sts . ',` new york ',212/595 -8555,american,56,"('class',)"
` union square cafe ','21 e. 16th st. ',` new york ',212/243 -4020,american,65,daniel,'20 e. 76th st. ',` new york ',212/288 -0033,french,65,"('class',)"
` restaurant katsu ',' 1972 n. hillhurst ave. ',` los angeles ',213/665 -1891,asian,10,vida,' 1930 north hillhurst ave. ',` los feliz ',213/660 -4446,american,10,"('class',)"
