ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,id
Amnesia,5 Seconds of Summer,5 Seconds of Summer,"Pop , Music , Teen Pop , Rock , Alternative , Punk",$ 1.29,2014 Capitol Records Ltd.,3:57,22-Jul-14,Cupid 's Chokehold / Breakfast In America ( Radio Mix ),Gym Class Heroes,As Cruel As School Children,"Alternative Rock , Indie & Lo-Fi",$ 1.29,"2006 Fueled By Ramen , Inc. . All Rights Reserved .",3:57,"July 25 , 2006",16
I Drive Your Truck,Lee Brice,NOW That 's What I Call ACM Awards 50 Years,"Country , Music",Album Only,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",3:51,31-Mar-15,Crossbone Beach,Shemekia Copeland,Outskirts of Love,"R&B , Blues",$ 0.99,"2015 Alligator Records & Artist Management , Inc.",3:51,"September 11 , 2015",17
Spongebob ( Sound of Dubstep Classics Edit ),Coki,The Sound of Dubstep Classics - Ministry of Sound,"Dance , Music",$ 1.29,2013 Ministry of Sound Recordings Ltd,3:38,26-Aug-13,This Is Not a Love Song,David Guetta,Pop Life ( Mixed by David Guetta ),"Dance & Electronic , House",$ 1.29,2012 Blue Drum Records,3:38,"July 23 , 2013",18
Inside Your Heaven,Carrie Underwood,Some Hearts,"Pop , Music , Rock , Country , Contemporary Country , Adult Contemporary",$ 1.29,2005 19 Recordings Limited,3:44,14-Nov-05,53 Steps,Rachel Platten,Be Here,Pop,$ 0.99,"2014 Great Unknown , LLC",3:44,"April 26 , 2011",19
When I Close My Eyes ( Acoustic Version ),Kenny Chesney,I Will Stand,"Country , Music , Urban Cowboy , Contemporary Country",$ 0.99,"1997 , BMG Entertainment",3:39,31-Dec-95,Water And A Flame,Daniel Merriweather,Love & War,Pop,$ 1.29,( C ) 2003 Geffen Records,3:39,"February 23 , 2010",20
Who 's Gon na Take Me Home,Chris Young,Chris Young,"Country , Music , Rock , Southern Rock , Honky Tonk , Urban Cowboy , Contemporary Country",$ 0.99,2006 Sony Music Entertainment,3:02,26-Sep-06,I Concentrate on You,Tony Bennett,Steppin ' Out,Pop,$ 0.99,( C ) 2014 Twentieth Century Fox Film Corporation,3:02,"October 5 , 1993",21
Army,Ellie Goulding,Delirium,"Pop , Music",Album Only,‰ ãÑ 2015 Polydor Ltd. ( UK ),3:57,,Either Or Either,Beres Hammond,Fatis Presents Best Of Beres Hammond,Miscellaneous,$ 0.99,( c ) 2009 Xterminator Productions Ltd.,3:57,,22
"You 're No Good ( feat . Santigold , Vybz Kartel , Danielle Haim & Yasmin )",Major Lazer,Free the Universe ( Extended Version ),"Electronic , Music , Rock , Reggae , Modern Dancehall , Dance",$ 1.29,‰ ãÑ 2013 Secretly Canadian / Mad Decent,4:03,18-Jun-13,Betrayal,Brian Tyler,Thor : The Dark World ( Original Motion Picture Soundtrack ),Soundtracks,$ 1.29,( C ) 2013 MARVEL,4:03,"November 5 , 2013",23
Young Boy Talk,Wiz Khalifa,Deal Or No Deal,"Hip-Hop , Music,Hip-Hop / Rap , Hardcore Rap",$ 1.29,Rostrum Records 2009,3:23,24-Nov-09,Caesar,James Newton Howard,James Newton Howard And Friends,"Pop Rock , Pop , Rock",$ 0.99,( C ) 2000 First Impression,3:23,"January 1 , 2000",24
Is It Love,P!NK,Ca n't Take Me Home,"Pop , Music , Dance , R&B / Soul , Pop/Rock , Teen Pop , Contemporary R&B",$ 0.99,"1999 , 2000 LaFace Records LLC",3:38,5-May-97,Just a Kiss,Eminem,Relaxing Modern Country,Rap & Hip-Hop,$ 1.29,( C ) 2009 Aftermath Records,3:38,,25
Brave Honest Beautiful ( feat . Meghan Trainor ),Fifth Harmony,Reflection ( Deluxe ),"Pop , Music , R&B / Soul , Dance , Teen Pop , Rock",$ 1.29,"2014 , 2015 Simco Ltd. under exclusive license to Epic Records , a division of Sony Music Entertainment",3:28,30-Jan-15,Bitches Brew,Crosses,#NAME ?,Alternative Rock,$ 1.29,Doll records,3:28,"February 11 , 2014",26
I Might Get Over You,Kenny Chesney,Everywhere We Go,"Country , Music , Contemporary Country , Urban Cowboy",$ 0.99,1999 BMG Entertainemnt,3:23,26-Feb-99,Lovers on the Sun ( feat . Sam Martin ),David Guetta,Listen,Dance & Electronic,$ 1.29,2015 If Moving Your Mine,3:23,"November 24 , 2014",27
Hey Now ( feat . Kyle ) [ Pierce Fulton Remix ],Martin Solveig & The Cataracs,"Dance ( RED ) Save Lives , Vol . 2","Dance , Music",Album Only,‰ ãÑ 2013 Priority Records,3:40,25-Nov-13,Only That Real ( feat . 2 Chainz & Sage The Gemini ) [ Explicit ],Remix Radio DJ,House Party Hip-Hop [ Explicit ],Country,$ 1.29,2015 Real Sounds,3:40,,28
Rocketeer ( feat . Frankmusik ) [ Live At the Cherrytree House ],Far East Movement,"The Cherrytree House Sessions , Vol . 1","Pop , Music",$ 1.29,‰ ãÑ 2011 Interscope Records,3:42,12-Apr-11,Storming The Gates Of Hell,The Riot,The Privilege Of Power,Rock,$ 0.99,( C ) 2013 Left Here Music,3:42,"October 2 , 2009",29
Never Far Away,Olivia Newton-John & Richard Marx,A Celebration In Song,"Singer/Songwriter , Music , Rock , Christian & Gospel , CCM , Vocal , Pop , Adult Contemporary",$ 1.29,"‰ ãÑ 2011 ONJ Productions , Inc. . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by EMI CMG ,",4:47,25-Jan-11,The Moment I Knew,Taylor Swift,The Moment I Knew,Country,$ 1.29,"( C ) 2012 Big Machine Records , LLC .",4:47,"April 7 , 2015",30
Hooker,P!NK,Try This,"Pop , Music , Dance , R&B / Soul , Pop/Rock , Teen Pop , Electronic",$ 1.29,"2003 Arista Records , Inc.",3:04,11-Nov-03,I Got The Same Old Blues ( feat . Tom Petty ),Eric Clapton,Eric Clapton & Friends - The Breeze ( An Appreciation of JJ Cale ) [ + digital booklet ],Rock,$ 1.29,2014 EPC Enterprises LLP,3:04,"July 29 , 2014",31
What Do U Got,Kevin Rudolf,To the Sky,"Pop,Music,Hip-Hop / Rap , Rap , R&B / Soul , Rock , Hard Rock",$ 0.99,‰ ãÑ 2010 Cash Money Records Inc.,3:29,15-Jun-10,Cluster Pluck,Brad Paisley,Play,Country,$ 0.99,2012 PayDay Music Group,3:29,"November 4 , 2008",32
Girl in a Country Song,Maddie & Tae,Start Here,"Country , Music , Rock , Contemporary Country , Pop , Pop/Rock , Honky Tonk",$ 1.29,"‰ ãÑ 2015 Republic Records , a Division of UMG Recordings , Inc. ( Dot Records )",3:38,28-Aug-15,Whatchu Need ( Previously Unreleased ),Toni Braxton,Ultimate Toni Braxton,R&B,$ 0.99,( C ) 2012 Capitol Records Nashville,3:38,"November 4 , 2003",33
Backwards,Rascal Flatts,Hannah Montana : The Movie ( Original Motion Picture Soundtrack ),"Soundtrack , Music , Country , Contemporary Country , Pop , Teen Pop , Honky Tonk , Rock",$ 1.29,‰ ãÑ 2009 Walt Disney Records,3:23,24-Mar-09,Got ta Get There,Brett Eldredge,Bring You Back,Country,$ 1.29,2011 Toraay Records,3:23,"August 6 , 2013",34
Leave My Heart Out of This ( Buzz Junkies Remix ),Fifth Harmony,Better Together - The Remixes - EP,"Pop , Music , Rock , Teen Pop , Dance",$ 0.69,"2013 Simco Ltd. under exclusive license to Epic Records , a division of Sony Music Entertainment",4:41,25-Nov-13,Victory,Yolanda Adams,The Best Of Me - Yolanda Adams Greatest Hits ( U.S. Version ),R&B,$ 0.99,( C ) 2014 Relativity Media,4:41,"May 8 , 2007",35
Clean,Ryan Adams,1989,"Rock , Music",$ 1.29,2015 PaxAmericana Recording Company Under Exclusive License To Blue Note Records,4:23,21-Sep-15,Riding With The King,Eric Clapton,Forever Man ( Deluxe ),Rock,$ 1.29,2015 Dauman Music,4:23,"April 28 , 2015",36
Obsession ( feat . JD Davis & Miss B ),David Guetta,Pop Life ( Extended Version ) [ Bonus Version ],"Dance , Music , Rock , Pop , House , Electronic , Electronica , Adult Alternative",Album Only,‰ ãÑ 2007 Gum Records,3:06,18-Sep-07,Round & Round,Selena Gomez & The Scene,Artist Karaoke Series : Selena Gomez & The Scene,Pop,$ 1.29,( C ) 2011 Disney,3:06,"September 13 , 2011",37
We Dem Boyz,Wiz Khalifa,Blacc Hollywood ( Deluxe Version ),"Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock",$ 1.99,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:56,19-Aug-14,Strangest Things,The Devlins,Consent,Alternative Rock,$ 0.99,( p ) Nettwerk Productions,3:56,,38
Charged Up,Drake,Charged Up - Single,"Hip-Hop/Rap , Music , Rap",$ 1.29,2015 Cash Money Records Inc.,3:09,31-Jul-15,The Great Divide,Reba McEntire,Have I Got A Deal For You,Country,$ 0.99,( C ) 1985 MCA Nashville,3:09,"January 23 , 2007",39
Cyberlove ( feat . Mims ),Jason Derulo,Cyberlove ( feat . Mims ) - Single,"Pop , Music , R&B / Soul",$ 0.99,2013 American King Music,3:44,20-Nov-13,Pray to God ( Calvin Harris vs Mike Pickering Hacienda Remix ),Calvin Harris feat . HAIM,Pray to God ( Calvin Harris vs Mike Pickering Hacienda Remix ),Dance & Electronic,$ 1.29,"( C ) 2015 Third Pardee Records , LLC under exclusive license to Interscope Records in the United States",3:44,"March 6 , 2015",40
Game Over,Steve Rushton,Hannah Montana : The Movie ( Original Motion Picture Soundtrack ),"Soundtrack , Music , Country , Contemporary Country , Pop , Teen Pop , Honky Tonk , Rock",$ 1.29,‰ ãÑ 2009 Walt Disney Records,3:52,24-Mar-09,The Night Out ( A-Trak vs. Martin Rework ),Caribou Vibration Ensemble,Caffeine for Your Ears,Dance & Electronic,$ 1.29,Caribou Vibration Ensemble,3:52,,41
Silver and Gold,Little Big Town,Pain Killer,"Country , Music , Honky Tonk , Contemporary Country",$ 1.29,"2014 Little Big Town , LLC Under exclusive license to Capitol Records Nashville",3:33,21-Oct-14,Five Little Ducks,The Wiggles,Furry Tales,Children 's Music,$ 1.29,2015 Back Lot Music,3:33,"February 25 , 2014",42
She and I,Toby Keith,Alabama & Friends,"Country , Music",$ 1.29,"‰ ãÑ 2013 Show Dog ‰ ÛÒ Universal Music , LLC",3:57,27-Aug-13,Goodbye California,Jana Kramer,Jana Kramer,Country,$ 1.29,( C ) 2000 First Impression,3:57,"June 5 , 2012",43
"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh )",Shinedown,Leave a Whisper ( Deluxe Version ),"Rock , Music , Hard Rock , Alternative",$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,3:59,27-May-03,I 'm Not The Only One,Sam Smith,In The Lonely Hour,Pop,$ 1.29,( C ) 2014 Capitol Records Ltd.,3:59,"June 17 , 2014",44
Breaking Inside ( feat . Lzzy Hale of Halestorm ) [ Bonus Track ],Shinedown,The Sound of Madness ( Deluxe Edition ),"Rock , Music , Alternative , Grunge , Metal , Hard Rock",$ 1.29,2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,3:47,24-Jun-08,Sword and Council,Brian Tyler,Thor : The Dark World ( Original Motion Picture Soundtrack ),Soundtracks,$ 1.29,( C ) 2013 MARVEL,3:47,"November 5 , 2013",45
Sweet Lil ' Gal ( 23rd/1st ),Ryan Adams,Heartbreaker,"Singer/Songwriter , Music , Rock , Southern Rock , Country , Adult Alternative , American Trad Rock , Americana , Alternative Country",$ 0.99,2000 Pax Am Records,3:38,5-Sep-00,I Knew You Were Trouble .,Taylor Swift,Red,Country,$ 1.29,"( C ) 2012 Big Machine Records , LLC .",3:38,"October 30 , 2012",46
Tackle Box,Luke Bryan,I 'll Stay Me,"Country , Music , Contemporary Country , Pop",$ 1.29,"2006 , 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",4:02,14-Aug-07,The Water Is Wide,Rhonda Vincent,Good Thing Going,"Country , Bluegrass",$ 1.29,( C ) 2008 Rounder Records Manufactured and distributed by Concord Music Group,4:02,"July 13 , 2010",47
Christmas in Blue Chair Bay,Kenny Chesney,Christmas in Blue Chair Bay - Single,"Country , Music",$ 1.29,"2014 Blue Chair Records , LLC , under exclusive license to Sony Music Nashville , a division of Sony Music EntertainmentLLC",4:25,17-Nov-14,Move for Me ( Kaskade Intro Mix ),Haley,All This Love,Dance & Electronic,$ 1.29,2015 Anjunabeats,4:25,"July 23 , 2013",48
Your Love,Nicki Minaj,Pink Friday,"Hip-Hop/Rap , Music , R&B / Soul , Contemporary R&B , Rock , Rap",$ 1.29,‰ ãÑ 2010 Cash Money Records Inc.,4:05,22-Nov-10,Candle In The Wind ( American Idol Performance ),Lauren Alaina,Lauren Alaina - American Idol Season 10,Country,$ 1.29,"( C ) 2011 19 Recordings , Inc.",4:05,"May 25 , 2011",49
The Back Roads and the Back Row,Cole Swindell,Cole Swindell,"Country , Music , Contemporary Country",$ 1.29,2014 Warner Music Nashville LLC and WEA International Inc. for the world outside the U.S.,3:41,18-Feb-14,Slut Like You [ Explicit ],P!nk,The Truth About Love [ Explicit ],Pop,$ 1.29,2013 Left Lane Recordings,3:41,"September 18 , 2012",50
Video Games ( We DonŠ -- Èt Belong In Pacha Remix ),Lana Del Rey,Video Games Remixes - EP,"Alternative , Music , Rock , Adult Alternative",$ 0.99,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:19,28-Feb-12,So Good to Me ( Original Mix ),Various,Ultra Deep House,Dance & Electronic,$ 1.29,( C ) 2012 Capitol Records Nashville,5:19,"June 24 , 2014",51
Till Dawn ( Here Comes the Sun ),The Weeknd,Echoes of Silence,"R&B / Soul , Music , Contemporary R&B , Rock",$ 1.29,"2015 The Weeknd XO , Inc.",5:19,17-Feb-15,So Good to Me ( Original Mix ),Various,Ultra Deep House,Dance & Electronic,$ 1.29,( C ) 2012 Capitol Records Nashville,5:19,"June 24 , 2014",52
When I Was Your Man,Thomas Rhett,When I Was Your Man - Single,"Country , Music",$ 1.29,"2015 The Valory Music Co. , LLC",3:46,3-Feb-15,Fear,OneRepublic,Waking Up ( Amazon Exclusive Version ),Rock,$ 1.29,( C ) 2009 Mosley Music/Interscope Records,3:46,"November 17 , 2009",53
Ride My Beat,Polluted Mindz,StreetDance 2 ( OST ),"Soundtrack , Music , Pop",Album Only,"2012 Universal Island Records , a division of Universal Music Operations Limited",3:33,3-Apr-12,Only a Country Girl,Chase Rice,Dirt Road Communion,Country,$ 0.99,2013 Dack Janiels Music,3:33,"March 20 , 2012",54
Amnesia,5 Seconds of Summer,5 Seconds of Summer,"Pop , Music , Teen Pop , Rock , Alternative , Punk",$ 1.29,2014 Capitol Records Ltd.,3:57,22-Jul-14,Daughters [ Clean ],Carrie Underwood,"Cozy , Calm Crafternoon",Country,$ 1.29,2009 Roy Charles Herzer,3:57,,55
"Young , Wild & Free ( feat . Bruno Mars )",Snoop Dogg,Mac and Devin Go to High School ( Music from and Inspired By the Movie ) [ Deluxe Version ],"Soundtrack,Music,Hip-Hop / Rap , West Coast Rap , Gangsta Rap , Hardcore Rap , Rap , Soundtrack",$ 1.99,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:12,12-Dec-11,In God 's Hands,Nelly Furtado,The Best of Nelly Furtado [ + Digital Booklet ],Pop,$ 1.29,( C ) 2010 Geffen Records,4:12,"November 16 , 2010",56
6PM In New York,Drake,If You 're Reading This It 's Too Late,"Hip-Hop/Rap , Music , Hardcore Rap , Rap , R&B / Soul",$ 1.29,2015 Cash Money Records Inc.,4:43,13-Feb-15,Walking With A Mountain,The Icicle Works,If You Want To Defeat Your Enemy Sing His Song,"Alternative Rock , New Wave & Post-Punk",$ 0.99,1987 Beggars Banquet Records Ltd.,4:43,"March 1 , 1999",57
Let 's Chase Each Other Around the Room,Thompson Square,Working Man 's Poet - A Tribute To Merle Haggard,"Country , Music",$ 1.29,‰ ãÑ 2014 Broken Bow Records,3:10,1-Apr-14,Going Home,George Fenton,Land And Freedom,Classical,$ 0.99,1995 Debonair Records and tapes,3:10,"March 18 , 2010",58
Hold On,Alabama Shakes,2013 GRAMMY Nominees,"Pop , Music",Album Only,"‰ ãÑ 2013 The Recording Academy . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records , LLC , 1750 North Vine Street , Hollywood , CA 90028 .",3:45,18-Jan-13,A Wake ( feat . Evan Roman ) [ Clean ],Macklemore & Ryan Lewis,The Heist [ Clean ],Rap & Hip-Hop,$ 1.29,2014 Selena Garcia & Steven Gomez,3:45,"October 9 , 2012",59
Saturday ( Live ),Fall Out Boy,Live In Phoenix,"Alternative , Music , Rock , Adult Alternative , Punk",$ 0.99,2008 The Island Def Jam Music Group,3:53,1-Apr-08,Fly Like A Bird ( Album Version ),Beres Hammond,In Flight : Pop,"International , Caribbean & Cuba , Reggae",$ 1.29,"( C ) 2014 Lazy Hooks , LLC Under Exclusive License To Capitol Records , LLC",3:53,,60
Dirt Road Diary,Luke Bryan,Crash My Party,"Country , Music , Contemporary Country",$ 1.29,2013 Capitol Records Nashville,3:28,13-Aug-13,Techno ( feat . Waka Flocka Flame ),Yellow Claw,"Amsterdam Trap Music , Vol . 2",Dance & Electronic,$ 0.99,2014 Mad Decent,3:28,"July 22 , 2014",61
Boyfriend ( Joe Gauthreaux Dark Dub ),Justin Bieber,Boyfriend ( Remixes ),"Dance , Music , Rock",$ 1.29,2012 The Island Def Jam Music Group,7:46,12-Jun-12,For An Angel ( PvD E-Werk Club Mix ),"Armin van Buuren , BT , Aly & Fila , Kyau & Albert , Omnia",A State of Trance 650 - New Horizons,"Electronica , Dance & Electronic , Trance",$ 0.99,( c ) 2014 Armada Music B.V.,7:46,"January 30 , 2014",62
Lights ( iTunes Session ),Ellie Goulding,iTunes Session - EP,"Pop , Music",$ 1.29,2013 Polydor Ltd. ( UK ),3:45,10-Dec-13,Restless ( Fitness Remix ),Zumba Fitness,Zumba Fitness ( 50 Hits for Fitness ),Dance & Electronic,$ 0.99,Jb Production,3:45,"May 15 , 2015",63
Royals,Lorde,"NOW That 's What I Call Music , Vol . 49","Pop , Music",Album Only,"‰ ãÑ 2014 UMG Recordings , Inc. and Sony Music Entertainment",3:08,4-Feb-14,Never Be,5 Seconds Of Summer,5 Seconds Of Summer ( Deluxe ),Pop,$ 1.29,( C ) 2014 Capitol Records Ltd.,3:08,"July 22 , 2014",64
Old Blue Chair,Kenny Chesney,When the Sun Goes Down,"Country , Music , Contemporary Country , Urban Cowboy",$ 1.29,2004 Sony Music Entertainment,3:23,1-Jan-90,Over the Wall,Chris Mac Vittie & Daya Rawat,The Envy of Stars,"Country , Rock",$ 0.99,2015 EverSound,3:23,"June 7 , 2015",65
That Good,Snoop Dogg & Wiz Khalifa,Mac and Devin Go to High School ( Music from and Inspired By the Movie ),"Soundtrack,Music,Hip-Hop / Rap , Hardcore Rap , West Coast Rap , Gangsta Rap , Rap , Soundtrack",$ 1.29,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:48,9-Dec-11,Go On,George Strait,George Strait,Country,$ 1.29,"( C ) 2000 MCA Nashville , a Division of UMG Recordings , Inc.",3:48,"February 17 , 2015",66
Me & My Girls,Fifth Harmony,Better Together - EP,"Pop , Music , Rock , Teen Pop , Dance",$ 0.69,"2013 Simco Ltd. under exclusive license to Epic Records , a division of Sony Music Entertainment",3:24,18-Oct-13,The Beat,Special Request,The Red Album,R&B,$ 0.99,2012 Mad Decent,3:24,"April 20 , 2010",67
Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],David Guetta,Listen ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",3:20,24-Nov-14,Almost Over ( Getting ' Over You ),Billy Gilman,Billy Gilman,"Alternative Rock , Country Rock , Adult Contemporary , Christian , Country , Bluegrass , Pop , Rock , Country & Bluegrass , Alternative , Contemporary Country",$ 0.99,( C ) 2006 Image Music Group,3:20,"July 25 , 2006",68
Silver and Gold,Little Big Town,Pain Killer,"Country , Music , Honky Tonk , Contemporary Country",$ 1.29,"2014 Little Big Town , LLC Under exclusive license to Capitol Records Nashville",3:33,21-Oct-14,I Got A Feelin ' In My Body,Elvis Presley,Elvis At Stax,Pop,$ 0.99,"( C ) 1990 Universal Records , a Division of UMG Recordings , Inc.",3:33,"August 2 , 2013",69
Take You Home,Thomas Rhett,It Goes Like This,"Country , Music , Contemporary Country , Honky Tonk",$ 1.29,"‰ ãÑ 2013 The Valory Music Co. , LLC",3:38,29-Oct-13,Apeman,The Kinks,"Lola Versus Powerman and the Money-Go-Round , Pt. 1",Rock,$ 1.29,"( C ) 2004 Sanctuary Records Group Ltd. , a BMG Company , under exclusive license to INgrooves",3:38,"August 8 , 2013",70
New Classic,Selena Gomez,Another Cinderella Story ( feat . Selena Gomez ) - EP,"Pop , Music , Soundtrack",$ 1.99,2009 Razor and Tie,3:30,16-Jun-09,English Line,Drawn From Bees,The Boy and the Ocean,"Alternative Rock , Adult Alternative , Miscellaneous , Pop , Rock",$ 0.99,2008 Bonefinger Records,3:30,"January 1 , 2008",71
