ltable_title,ltable_description,ltable_brand,ltable_specTableContent,rtable_title,rtable_description,rtable_brand,rtable_specTableContent,label,pair_id
"null , 293461 b21 pl bl40p 1 5x wholesale price",description proliant bl40p 1 5x 1p m1 1mb sa5i nc7781 ilo manufacturer part 293461 b21,hp enterprise,specifications category proliant server sub category bl40 generation part number 293461 b21 products id 6185 form factor blade processor xeon mp 1 5ghz processors qty 1 installed memory 512 mb ddr sdram platform pc processor upgradability upgradable bus speed 400 mhz installed ram 512 mb ram technology ddr sdram installed l2 cache memory 1 mb raid support raid 0 raid1 raid 10 raid 5 networking type network adapter data link protocol ethernet fast ethernet gb ethernet,"null , 359623 b21 hp bl20p g2 x2 8ghz 1mb 512mb wholesale price",description hp proliant bl20p g2 server xeon 2 8ghz 1mb 1p 512mb memory m1 hp part 359623 b21,hp enterprise,specifications category proliant server sub category bl20p generation g2 part number 359623 b21 products id 14045 chassis form factor blade model proliant bl20p ram technology ddr sdram cache memory installed 1 mb ram installed 512 mb ram maximum 8 gb networking protocol ethernet fast ethernet gigabit ethernet os provided none hard drive capacity 0 gb hard drive type hot swap storage controller raid level raid 0 raid 1 raid 10 raid 5 video card none,0,16410652#16757005
microsoft surface pro 5th generation i5 8gb 256gb ssd platinum,,,,microsoft surface pro core i5 7300u 8gb 256gb ssd ac bt 2xwc 12 3 ps mt w10p no pen fjy 00001,,,,1,16011314#11328125
corsair lambdatek internal solid state drives,,mfr num cssd f120gblsb,,intel 800gb dc s3610 series sata 6gb s 20nm mlc 2 5 7mm internal solid state drive oem ssdsc2bx800g401,,,,0,7997701#748732
"456896 001 hp 400 gb 10k 3 5 dp sas hdd , null",description 400gb serial attached scsi sas 10k 3 5 inch dual port hot plug hard drivein hpe drive tray as pictured for g1 g7 proliant serversgenuine number and firmwaregenuine certified drivepart s option part 459508 b21 spare 456896 001 assembly 455543 model dd400b8541,hp enterprise,specifications category proliant harddrive sub category 10k generation sas part number 456896 001 products id 455696 capacity 400gb interface serial attached scsi sas enclosure internal drive dimensions 3 5 inches x 1 3h low profile spindle speed 10000rpm external data transfer 3gb s seek time 3 5ms hotswap yes manufacturer hewlett packard pre failure warranty yes hot swap tray included attached ports dual port,430169 002 hp 72 gb 3g 15k 2 5 dp sas pack,description 2 x 72gb 5 inch serial attached scsi sas sff3g dual port hot plug 15k hard disk drivefor g1 g7 proliant serversgenuine hpe number and firmwaregenuine certified drivepart s option part 418371 b21 spare 418398 001 assembly 430169 002 model dh072bb978,hp enterprise,specifications manufacturer hp category hard drive sub category 15k generation sas part number hp 430169 002 2pack product id 455190 hp harddrives type hard drive hot swap capacity 72gb interface type serial attached scsi spindle speed 15000rpm ports single form factor small 2 5 inches sff,0,15477643#14112898
placa rede tp link wireless n 150mbps pci e tl wn781nd pcdiga,o que este produto fazo tp link tl wn781nd projetado para fornecer completo desempenho wireless de ponta a ponta do servidor ou backbone para a infraestrtutura do switch e ambiente de trabalho atrav s do conector pci express o adaptador tl wn781nd wireless n pci express x1 fornece uma maior compatibilidade de instala o adaptando se com qualquer padr o pci slot express x1 x2 x8 ou x16 em compara o com placas de rede padr o pci ele oferece maior largura de banda confiabilidade e maior funcionalidade permitindo lhe desfrutar de uma conex o r pida e avan ada fazendo download chamadas via internet e assistindo v deos em hd velocidade alcance wireless nconforme o padr o ieee 802 11n o tl wn781nd pode facilmente estabelecer uma rede sem fios e chegar a uma velocidade de at 9x e a um alcance de at 4x dos alcan ados por produtos convencionais 11g comparado com os produtos de origem 54m o tl wn781nd oferece melhorias de desempenho permitindo que voc tenha uma experi ncia mais satisfat ria enquanto navega compartilha arquivos ou assiste v deos em alta resolu o criptografias wpa wpa2 seguran a avan adaassim como para a seguran a da conex o wi fi a criptografia wep n o tem sido a mais segura e eficiente para detec o de invas es externas o tl wn781nd fornece criptografia wpa wpa2 que s o criados pelo grupo industrial wi fi alliance protegendo a rede wireless contra amea as externas r pida configura o de seguran acompat vel com wi fi protected setup wps o recurso de configura o de seguran a r pida qss do tl wn781nd ideal para criar uma conex o criptografada wpa evitando a invas o externa e al m disso maximizar os recursos de gerenciamento n o somente mais r pida do que as configura es de seguran a normais mas de forma mais pr tica em que voc n o precisa de se lembrar de uma senha antena destac velo tl wn781nd possui uma antena externa que pode ser rotacionada e direcionada em diferentes dire es para se ajustar a v rios ambientes de opera o e pode trazer um melhor desempenho do que a antena interna mesmo para aplica es mais exigentes a antena pode ser substitu da por diferentes modelos de antenas apresentando maior flexibilidade e maior cobertura wireless interface pci expressdimens es 120 8 x 78 5 x 21 5mm w x d x h tipo de antena onidirecional destac velganho de antena 2dbinormas wireless ieee 802 11n ieee 802 11g ieee 802 11bfrequ ncia wireless 2 400 2 4835ghztaxa de sinal 11n up to 150mbps din mico 11g up to 54mbps din mico 11b up to 11mbps din mico eirp 20dbm eirp sensibilidade de recep o 130m 68dbm 10 per108m 68dbm 10 per54m 68dbm 10 per11m 85dbm 8 per6m 88dbm 10 per1m 90dbm 8 permodos wireless ad hoc modo infraestruturaseguran a wireless suporta wep de 64 128 bits wpa psk wpa2 psk filtragem mac wirelesstecnologia de modula o dbpsk dqpsk cck ofdm 16 qam 64 qamcertifica es ce fcc rohsconte do da embalagem adaptador wirelessantena onidirecional destac velcd de recursosguia de instala o r pida,tp link,,tp link tl wn951n wireless n triple antenna network adapter card 802 11b g 2 4ghz mimo pci ncix,,,quick specs host interface pci device supported desktop computer limited warranty 2 year form factor internal wireless transmission speed 300 mbit s height 4 8 width 0 9 wireless lan standard ieee 802 11n ism band yes ism maximum frequency 2 48 ghz productid 1016921323,0,7308512#9581104
ipad mini 4 wi fi 128gb gold tradineur com,dimensi n 7 900 inches receptor gps no 3g no 4g no dimensi n soporte 128 gb s o ios versi n 8 s wi fi dorado,,,apple 12 9 inch ipad pro wi fi tablet 32 gb ml0g2ll a tablets cdw com,no matter the task the ipad pro is up to it and then some it offers far more power than most pc laptops yet is delightfully simple to use the redesigned retina display is as stunning to look at as it is to touch everything you want modern computing to be now even well better,,,0,15418396#6444932
amd processor 8c fx 8350 4 0ghz 8mb 125w box fd8350frhkbox,,,,amd processor 8c ryzen threadripper 1900x 3 8ghz 4 0ghz turbo 16mb l3 cache 180w 2667mhz ddr4 buy at connection public sector solutions,,,,0,7467147#3714897
nzxt s340 usb 3 0 con ventana blanca,,,,asrock 990fx killer am3 atx motherboard with usb 3 0 ln62617 scan uk,asrock 990fx killer amd motherboard am3 ddr3 pcie 2 0 x16 m 2 slot esata 3 sata iii 6gbs usb 3 0 atx,,,0,2379966#7188389
amd a10 9700e boxed prijzen tweakers,,,categorie processors merk amd product amd a10 9700e uitvoering boxed ean 0730143308588 sku ad9700ahabbox tweakers id 932857 productprijs 85 99 pakketpost nederland vanaf 25 0 ideal 0 totaal 85 99 onjuiste prijs melden productprijs 84 pakketpost vanaf 1 99 ideal 0 totaal 85 99 onjuiste prijs melden productprijs 82 45 pakketpost 0 30 kg 4 95 ideal vanaf 10 0 totaal 87 40 onjuiste prijs melden productprijs 83 75 pakketpost nl dpd 4 95 ideal 0 totaal 88 70 onjuiste prijs melden productprijs 85 pakketpost dpd 3 95 ideal 0 totaal 88 95 onjuiste prijs melden productprijs 91 99 pakketpost 0 ideal 0 totaal 91 99 onjuiste prijs melden productprijs 86 26 pakketpost tot 99 5 95 ideal 0 50 totaal 92 71 onjuiste prijs melden productprijs 93 72 opsturen vanaf 50 0 ideal 0 totaal 93 72 onjuiste prijs melden productprijs 94 38 pakketpost vanaf 29 95 0 ideal 0 totaal 94 38 onjuiste prijs melden productprijs 95 95 pakketpost 3 95 ideal 0 totaal 99 90 onjuiste prijs melden,amd ryzen 5 1500x box,procesador cpu 4c 8t unlocked auto oc 3 5 3 7ghz zen summit ridge 14nm socket am4 ram dual ddr4 2mb l2 16mb l3 cache 65w 20x pcie,,,0,15402754#469457
"hp pl 8500r 2 xeon 550mhz 1mb 1gb , null",description proliant 8500 dual p3 550 xeon 1mb 1gbhewlett packard part 323450 001,hp enterprise,specifications category proliant server sub category 8500 generation g1 part number 323450 001 products id 15629 processor class intel pentium iii xeon processor processor speed 550 mhz installed memory 1024 mb memory technology sdram bus speed 100 mhz cache size 1 mb included drives 3 5 1 44mb floppy drive number of pci slots 11 included network card ethernet 10 100 mbps chassis style rack mountable dimensions hxwxd 12 14 in x 19 in x 27 45 in weight 110 lbs,"hp pl 8500r 2 xeon 550mhz 1mb 1gb , null wholesale price 323450 001",description proliant 8500 dual p3 550 xeon 1mb 1gbhewlett packard part 323450 001,hp enterprise,specifications category proliant server sub category 8500 generation g1 part number 323450 001 products id 15629 processor class intel pentium iii xeon processor processor speed 550 mhz installed memory 1024 mb memory technology sdram bus speed 100 mhz cache size 1 mb included drives 3 5 1 44mb floppy drive number of pci slots 11 included network card ethernet 10 100 mbps chassis style rack mountable dimensions hxwxd 12 14 in x 19 in x 27 45 in weight 110 lbs,1,17269540#17099288
hp zbook studio g3 i7 6700hq 8gb 256gb ssd m1000 4gb 15 6 fhd w7pro 250 g6 1xn28ea intel core i3 6006u 500gb w10 negro bl,windows 7 professional 64 procesador intel core i7 6700hq 15 6 led fhd uwva ips antirreflectante 1920 x 1080 memoria 8 gb ddr4 disco duro hp z de 256 gb ssd gr ficos nvidia quadro m1000m gddr5 dedicado de 4 gb combo de intel dual band wireless ac 8260 802 11 a b g n ac 2x2 no vpro wi fi y bluetooth 4 0,,,hp zbook studio g3 i7 6700hq 8gb 256gb ssd m1000 4gb 15 6 fhd w7pro black friday 2017 megacomponentes com inform tica y tecnolog a,windows 7 professional 64 procesador intel core i7 6700hq 15 6 led fhd uwva ips antirreflectante 1920 x 1080 memoria 8 gb ddr4 disco duro hp z de 256 gb ssd gr ficos nvidia quadro m1000m gddr5 dedicado de 4 gb combo de intel dual band wireless ac 8260 802 11 a b g n ac 2x2 no vpro wi fi y bluetooth 4 0,,,1,9147506#11934389
intel core i5 7600k 3 8ghz 6mb smart cache box bx80677i57600k,,intel,,intel core i5 7600k unlocked kaby lake desktop processor cpu ln76877 bx80677i57600k scan uk,intel core i5 7600k s 1151 kaby lake quad core 4 thread 3 8ghz 4 2ghz turbo 6mb cache 1150mhz gpu 91w cpu box,,,1,10504664#15856684
open box lenovo thinkpad yoga 11e g3 celeron n3160 1 6ghz 4gb 16gb ac bt wc 3c 11 6 hd mt chrome 20ge0003us,,,,lenovo thinkserver td350 xeon e5 2620 v4 16gb 70dg007qux,,,,0,4516190#5345625
apple macbook pro 13 inch summer 2012 15 in prices cnet,,apple,,apple macbook pro 13 inch glossy 2 3ghz core i5 early 2011 mc700ll a macofalltrades,includes battery magsafe power adapter,,,0,1850338#16383654
"null , 3r a3851 aa hp 72 8 gb u320 scsi 15k new 2 pack wholesale price 2pack",description 2 x 72 8gb ultra320 3 5 inch scsi hot plug 15k hard drivein hpe hot plug hard drive tray as pictured genuine hpe serial number and firmwarepart number s option part 286778 b22 spare part 289243 001 2 5 2 part 3r a3851 aa,hp enterprise,specifications category proliant harddrive sub category 15k generation ultra320 part number 3r a3851 aa 2pack products id 454681 capacity 72 8gb manufacturer hewlett packard interface scsi enclosure internal hdd form factor 3 5 inches x 1 3h low profile spindle speed 15000rpm external data transfer rate 320mb s seek time 3 8ms average latency 2ms,"271837 004 hp 72 8 gb u320 scsi 10k , null wholesale price",description 72 8gb ultra320 3 5 inch scsi hot plug 10k hard drivein hpe hot plug hard drive tray as pictured genuine hpe serial number and firmwarepart number s option part 286714 b22 spare part 289042 001 assembly part 271837 004,hp enterprise,,0,16154180#16574945
supermicro cse 842tq 865b system cabinet rack mountable power on off button 2x network activity leds home audio accessories page 511 all tech toys,specificationsmfr part number cse 842tq 865bcase type 4u rackmountcolor blackm b type eatx atx microatx max motherboard size 12 0 x 13 0 inchprocessor support dual single intel amd processorsdrive bays 5x 3 5 hot swap drive bays 3x 5 25 peripheral drive baysexpansion slots 7x tool less full height full length pci expansion slotsbackplane sas sata hard drive backplanecooling system 1x front intake 90mm pwm cooling fan 2x rear 80mm pwm cooling fansfront panel buttons power on off system resetleds power hard drive activity 2x network activity system overheat power failports 2x usb 2 0 portspower supply 865w 80 plus certified ac power supply cooling redundant w pfcdimensions wxdxh 17 2 x 20 5 x 7 0 inch 437 0 x 521 0 x 178 0 mmgross weight 25 0 lbs 11 3 kgchassis only cpu mb hd memory and other parts are not included,supermicro,,startech displayport to dvi dual link active video adapter converter dp d 2560x1600 dp2d c ocuk,connect your dvi dual link display to a displayport video source for high resolution applications,startech,,0,12984506#7352700
"null , 325134 001 dl580r g2 2p xeon 2 8ghz",description proliant dl580r02 xeon 2 8ghz 2m 2p hewlett packard part 325134 001,hp enterprise,specifications category proliant server sub category dl580r generation g2 part number 325134 001 products id 15470 memory type pc2 3200 ddr2 max memory 32gb with 16 x 2 gb dimms memory protection hotplug raid hot plugmirrored hotspare form factor dense rack rack hight 4 u networking nc77892 dual prot gigabit server adaptor remote management integrated lights out redundant fans six hot plug redundant fans standard,"359031 b21 bl20p g2 xeon 3 2ghz 2m 2p , null",description bl20pg2 xeon 3 2ghz 2m 2p bladehewlett packard part 359031 b21,hp enterprise,specifications category proliant server sub category bl20 generation g2 part number 359031 b21 products id 15419 chassis form factor blade model proliant bl20p cache memory installed 2 mb ram installed 1 gb ram technology ddr sdram ram maximum 8 gb networking protocol ethernet fast ethernet gigabit etherne storage controller raid raid 0 raid 1 raid 10 raid 5,0,16910199#17285397
