id,label,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released
84,1,The Whisperer ( feat . Sia ),David Guetta,Listen,"Dance , Music , Electronic , House , Rock , French Pop",$ one point two nine,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",three minutes and fifty-four seconds,24-Nov-14,The Whisperer ( feat . Sia ),David Guetta,Listen ( Deluxe ),Dance & Electronic,$ one point two nine,2015 If Moving Your Mine,three minutes and fifty-four seconds,"November 24 , 2014"
253,1,That Lucky Old Sun ( Just Rolls Around Heaven All Day ) [ With Willie Nelson ],Kenny Chesney & Willie Nelson,Lucky Old Sun,"Country , Music , Contemporary Country , Honky Tonk",$ zero point nine nine,"2008 Blue Chair Records , LLC",four minutes and sixteen seconds,2008,That Lucky Old Sun ( Just Rolls Around Heaven All Day ( with Willie Nelson ) ),Kenny Chesney,Lucky Old Sun [ + video ],Country,$ zero point nine nine,"( P ) 2008 Blue Chair Records , LLC and BMG Music",four minutes and sixteen seconds,"April 24 , 2012"
44,1,Nothing Would Be Better,Nick Jonas,Nick Jonas,"Pop , Music , Pop/Rock , Rock",$ one point two nine,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",four minutes and thirty-four seconds,10-Nov-14,Nothing Would Be Better,Nick Jonas,Nick Jonas ( Deluxe ) [ Explicit ],Pop,$ one point two nine,"( C ) 2014 Island Records/Safehouse Records LLC , a division of UMG Recordings , Inc.",four minutes and thirty-four seconds,"November 10 , 2014"
479,1,This Love ( Will Be Your Downfall ),Ellie Goulding,Bright Lights ( Deluxe Version ),"Pop , Music , Dance , Rock",$ one point two nine,‰ ãÑ 2010 Polydor Ltd. ( UK ),three minutes and fifty-three seconds,29-Nov-10,This Love ( Will Be Your Downfall ),Ellie Goulding,Lights,Pop,$ one point two nine,( C ) 2011 Polydor Ltd. ( UK ),three minutes and fifty-three seconds,"March 8 , 2011"
114,1,Glasgow,David Guetta,Nothing But the Beat - The Electronic Album,"Dance , Music , Electronic , House , Rock",$ zero point nine nine,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",five minutes and thirteen seconds,26-Aug-11,Glasgow,David Guetta,Nothing But The Beat - The Electronic Album,Dance & Electronic,$ zero point nine nine,2009 Andy Henningsen,five minutes and thirteen seconds,"August 26 , 2011"
42,1,Closer ( feat . Mike Posner ),Nick Jonas,Nick Jonas ( Deluxe ),"Pop , Music , Rock , Pop/Rock",$ one point two nine,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",three minutes and forty-eight seconds,10-Nov-14,Closer [ feat . Mike Posner ] [ Clean ],Nick Jonas,Nick Jonas ( Deluxe ) [ Clean ],Pop,$ one point two nine,"( C ) 2014 Island Records/Safehouse Records LLC , a division of UMG Recordings , Inc.",three minutes and forty-eight seconds,"November 10 , 2014"
412,1,Billy,Keith Urban,In the Ranch,"Country , Music , Honky Tonk , Contemporary Country",$ one point two nine,1997 Capitol Nashville,three minutes and forty-six seconds,1997,Billy,Keith Urban,Keith Urban In The Ranch,Country,$ one point two nine,( c ) 1997 Capitol Nashville,three minutes and forty-six seconds,"February 10 , 2004"
5,1,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ one point two nine,2015 KIDinaKORNER/Interscope Records,one minutes and twenty-five seconds,30-Jun-15,VHS Outro ( Interlude ) [ Explicit ],X Ambassadors,VHS [ Explicit ],Alternative Rock,$ one point two nine,( C ) 2015 KIDinaKORNER/Interscope Records,one minutes and twenty-five seconds,"June 30 , 2015"
497,1,You Gon na Fly,Keith Urban,Get Closer ( Deluxe Version ),"Country , Music , Honky Tonk , Pop , Pop/Rock , Contemporary Country , Rock",$ one point two nine,"‰ ãÑ 2010 Hit Red Records under exclusive license to Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37",three minutes and thirty-six seconds,22-Feb-11,You Gon na Fly,Keith Urban,Get Closer ( Deluxe Version ),Country,$ one point two nine,( C ) 2011 Hit Red Records under exclusive license to Capitol Records Nashville,three minutes and thirty-six seconds,"February 22 , 2011"
191,1,Through the Ghost,Shinedown,The Studio Album Collection,"Rock , Music",$ one point two nine,2013 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,four minutes and one seconds,8-Nov-13,Through the Ghost,Shinedown,The Studio Album Collection,Rock,$ one point two nine,2013 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,four minutes and one seconds,"November 8 , 2013"
490,1,Bumpin ' the Night,Florida Georgia Line,Anything Goes,"Country , Music , Honky Tonk , Urban Cowboy , Contemporary Country",$ one point two nine,"‰ ãÑ 2014 Big Machine Label Group , LLC",three minutes and forty-two seconds,14-Oct-14,Bumpin ' The Night,Florida Georgia Line,Anything Goes,Country,$ one point two nine,"( C ) 2014 Republic Records , a Division of UMG Recordings , Inc. ( Republic Nashville )",three minutes and forty-one seconds,"October 14 , 2014"
390,1,Going Away For a While,Brett Eldredge,Illinois,"Country , Music , Contemporary Country , Honky Tonk , Traditional Country",$ one point two nine,2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,three minutes and thirteen seconds,11-Sep-15,Going Away For A While,Brett Eldredge,Illinois,Country,$ one point two nine,( c ) Phonotype,three minutes and fifteen seconds,"September 11 , 2015"
245,1,Clean,Ryan Adams,1989,"Rock , Music",$ one point two nine,2015 PaxAmericana Recording Company Under Exclusive License To Blue Note Records,four minutes and twenty-three seconds,21-Sep-15,Clean,Ryan Adams,1989,Rock,$ one point two nine,( C ) 2015 PaxAmericana Recording Company Under Exclusive License To Blue Note Records,four minutes and twenty-three seconds,"September 21 , 2015"
385,1,Cowboy Boots,Macklemore & Ryan Lewis,The Heist,"Hip-Hop/Rap , Music , Rap , West Coast Rap , Alternative Rap , Rock",$ one point two nine,"2012 2012 Macklemore , LLC .",four minutes and seventeen seconds,9-Oct-12,Cowboy Boots,Macklemore & Ryan Lewis,The Heist [ Explicit ],Rap & Hip-Hop,$ one point two nine,2014 Selena Garcia & Steven Gomez,four minutes and seventeen seconds,"October 9 , 2012"
488,1,"Turn Around ( 5,4,3,2,1 ) [ DJ Bam Bam Radio Remix ]",Flo Rida,"Turn Around ( 5,4,3,2,1 ) - Deluxe Single","Hip-Hop/Rap , Music , Electronic , Rap , Dirty South , Dance",$ one point two nine,‰ ãÑ 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,three minutes and thirty-five seconds,16-Nov-10,"Turn Around ( 5,4,3,2,1 )",Flo Rida,Only One Flo ( Part 1 ) [ Deluxe ] [ + Video ] [ + Digital Booklet ],Rap & Hip-Hop,$ one point two nine,2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,three minutes and twenty seconds,"November 26 , 2010"
12,1,Shining,X Ambassadors,The Reason - EP,"Alternative , Music , Rock , Adult Alternative , Electronic",$ one point two nine,2015 KIDinaKORNER/Interscope Records,three minutes and forty seconds,10-Aug-15,Shining,X Ambassadors,The Reason EP,Alternative Rock,$ one point two nine,( C ) 2015 KIDinaKORNER/Interscope Records,three minutes and thirty-seven seconds,"August 10 , 2015"
506,1,Thrift Shop ( feat . Wanz ),Macklemore & Ryan Lewis,The Heist ( Deluxe Edition ),"Hip-Hop/Rap , Music , Rap , Alternative Rap , West Coast Rap",$ one point two nine,"‰ ãÑ 2012 Macklemore , LLC .",three minutes and fifty-five seconds,1-Aug-12,Thrift Shop ( feat . Wanz ) [ Explicit ],Macklemore & Ryan Lewis,The Heist [ Deluxe Edition ] [ Explicit ],Rap & Hip-Hop,$ one point two nine,2014 Selena Garcia & Steven Gomez,three minutes and fifty-five seconds,"October 9 , 2012"
62,1,6PM In New York,Drake,If You 're Reading This It 's Too Late,"Hip-Hop/Rap , Music , Hardcore Rap , Rap , R&B / Soul , Contemporary R&B",$ one point two nine,2015 Cash Money Records Inc.,four minutes and forty-three seconds,13-Feb-15,6PM In New York [ Explicit ],Drake,If You 're Reading This It 's Too Late [ Explicit ],Rap & Hip-Hop,$ one point two nine,( C ) 2015 Cash Money Records Inc.,four minutes and forty-three seconds,"February 13 , 2015"
102,1,The Whisperer ( feat . Sia ),David Guetta,Listen,"Dance , Music , Electronic , House , Rock , French Pop",$ one point two nine,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",three minutes and fifty-four seconds,24-Nov-14,The Whisperer ( feat . Sia ),David Guetta,Listen ( Deluxe ),Dance & Electronic,$ one point two nine,2015 If Moving Your Mine,three minutes and fifty-four seconds,"November 24 , 2014"
408,1,Tackle Box,Luke Bryan,I 'll Stay Me,"Country , Music , Contemporary Country , Pop",$ one point two nine,"2006 , 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",four minutes and two seconds,14-Aug-07,Tackle Box,Luke Bryan,I 'll Stay Me,Country,$ one point two nine,"( C ) 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nash",four minutes and two seconds,"August 14 , 2007"
505,1,Doin ' My Thing,Luke Bryan,Doin ' My Thing,"Country , Music , Contemporary Country",$ one point two nine,"‰ ãÑ 2009 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",three minutes and nine seconds,2-Oct-09,Doin ' My Thing,Luke Bryan,Doin ' My Thing,Country,$ one point two nine,( C ) 2009 Capitol Records Nashville,three minutes and nine seconds,"October 2 , 2009"
293,1,Rashi ( Outro ),Mark Ronson,Here Comes the Fuzz,"Dance,Music,Hip-Hop / Rap , Alternative Rap,Hip-Hop , R&B / Soul , Soul , Electronic",$ zero point nine nine,2003 Elektra Entertainment for the United States and WEA International Inc. for the world outside of the United States .,two minutes and one seconds,29-Aug-03,Rashi ( Outro ),Mark Ronson,Here Comes The Fuzz [ Explicit ],Dance & Electronic,$ zero point nine nine,( c ) 2015 Karaoke Freaks,two minutes and one seconds,"August 29 , 2003"
254,1,That Lucky Old Sun ( Just Rolls Around Heaven All Day ) [ With Willie Nelson ],Kenny Chesney & Willie Nelson,Lucky Old Sun,"Country , Music , Contemporary Country , Honky Tonk",$ zero point nine nine,"2008 Blue Chair Records , LLC",four minutes and sixteen seconds,2008,That Lucky Old Sun ( Just Rolls Around Heaven All Day ( with Willie Nelson ) ),Kenny Chesney,Lucky Old Sun,"Country , Contemporary Country",$ zero point nine nine,"( P ) 2008 Blue Chair Records , LLC",four minutes and sixteen seconds,"October 21 , 2008"
229,1,Is It Love,P!NK,Ca n't Take Me Home,"Pop , Music , Dance , R&B / Soul , Pop/Rock , Teen Pop , Contemporary R&B",$ zero point nine nine,"1999 , 2000 LaFace Records LLC",three minutes and thirty-eight seconds,5-May-97,Is It Love,P!nk,Ca n't Take Me Home,Pop,$ zero point nine nine,"( C ) 2008 Concord Music Group , Inc.",three minutes and thirty-eight seconds,"May 17 , 1999"
261,1,Backwoods Beauty Queen,Florida Georgia Line,Anything Like Me - EP,"Country , Music , Honky Tonk , Urban Cowboy , Contemporary Country",$ zero point nine nine,2011 Florida Georgia Line,four minutes and fifteen seconds,14-Dec-10,Backwoods Beauty Queen,Florida Georgia Line,Anything Like Me,Country,$ zero point nine nine,2011 Florida Georgia Line,four minutes and fifteen seconds,"December 14 , 2010"
461,1,From Time ( feat . Jhene Aiko ),Drake,Nothing Was the Same,"Hip-Hop/Rap , Music , Rap , Hardcore Rap , R&B / Soul , Contemporary R&B",$ one point two nine,‰ ãÑ 2013 Cash Money Records Inc.,five minutes and twenty-two seconds,24-Sep-13,From Time [ feat . JhenÌ © Aiko ] [ Explicit ],Drake,Nothing Was The Same [ Explicit ],Rap & Hip-Hop,$ one point two nine,( C ) 2013 Cash Money Records Inc.,five minutes and twenty-two seconds,"September 24 , 2013"
463,1,Over My Dead Body,Drake,Take Care ( Deluxe Version ),"Hip-Hop/Rap , Music",$ one point two nine,‰ ãÑ 2011 Cash Money Records Inc.,four minutes and thirty-two seconds,15-Nov-11,Over My Dead Body [ Clean ],Drake,Take Care ( Deluxe Edition ),Rap & Hip-Hop,$ one point two nine,( C ) 2012 Cash Money Records Inc.,four minutes and thirty-two seconds,"March 20 , 2012"
516,1,Happily,One Direction,Midnight Memories ( Deluxe Edition ),"Pop , Music , Rock , Teen Pop , Pop/Rock , Dance",$ one point two nine,‰ ãÑ 2013 Simco Limited under exclusive license to Sony Music Entertainment UK Limited,two minutes and fifty-five seconds,25-Nov-13,Happily,One Direction,Midnight Memories,Pop,$ one point two nine,"( C ) 2014 Disney Enterprises , Inc.",two minutes and fifty-five seconds,"November 25 , 2013"
436,1,Halcyon,Ellie Goulding,Halcyon Days ( Deluxe Edition ),"Pop , Music , Dance , Rock",$ one point two nine,‰ ãÑ 2013 Polydor Ltd. ( UK ),three minutes and twenty-four seconds,27-Aug-13,Halcyon,Ellie Goulding,Halcyon,Pop,$ one point two nine,( C ) 2013 Polydor Ltd. ( UK ),three minutes and twenty-four seconds,"August 27 , 2013"
58,1,Thriller ( Live From Hammersmith Palais ),Fall Out Boy,Infinity On High ( Deluxe Edition ),"Alternative , Music , Rock , Adult Alternative , Punk",$ zero point nine nine,2007 The Island Def Jam Music Group,three minutes and thirty-two seconds,20-Nov-07,Thriller ( Live From Hammersmith Palais ),Fall Out Boy,Infinity On High - Deluxe Bonus EP,Alternative Rock,$ zero point nine nine,( C ) 2007 The Island Def Jam Music Group,three minutes and thirty-two seconds,"November 20 , 2007"
218,1,The Back Roads and the Back Row,Cole Swindell,Cole Swindell,"Country , Music , Contemporary Country",$ one point two nine,2014 Warner Music Nashville LLC and WEA International Inc. for the world outside the U.S.,three minutes and forty-one seconds,18-Feb-14,The Back Roads & The Back Row,Cole Swindell,Cole Swindell,Country,$ one point two nine,"( C ) 2011 UMG Recordings , Inc.",three minutes and forty-four seconds,"February 18 , 2014"
391,1,Going Away For a While,Brett Eldredge,Illinois,"Country , Music , Contemporary Country , Honky Tonk , Traditional Country",$ one point two nine,2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,three minutes and thirteen seconds,11-Sep-15,Going Away For A While,Brett Eldredge,Illinois,Country,$ one point two nine,( c ) Phonotype,three minutes and fifteen seconds,"September 11 , 2015"
286,1,Cowboy Boots,Macklemore & Ryan Lewis,The Heist,"Hip-Hop , Music,Hip-Hop / Rap , Rap , West Coast Rap , Alternative Rap",$ one point two nine,"2012 Macklemore , LLC .",four minutes and fifteen seconds,9-Oct-12,Cowboy Boots,Macklemore & Ryan Lewis,The Heist [ Explicit ],Rap & Hip-Hop,$ one point two nine,2014 Selena Garcia & Steven Gomez,four minutes and seventeen seconds,"October 9 , 2012"
41,1,Nothing Would Be Better,Nick Jonas,Nick Jonas,"Pop , Music , Christian & Gospel , Gospel , Pop/Rock , Teen Pop , Rock",$ one point two nine,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",four minutes and thirty-four seconds,10-Nov-14,Nothing Would Be Better,Nick Jonas,Nick Jonas ( Deluxe ) [ Explicit ],Pop,$ one point two nine,"( C ) 2014 Island Records/Safehouse Records LLC , a division of UMG Recordings , Inc.",four minutes and thirty-four seconds,"November 10 , 2014"
474,1,"I Know ( feat . Chris Brown , Wiz Khalifa & Seven )","Diddy - Dirty Money , Chris Brown , Wiz Khalifa & Seven",Last Train to Paris,"Hip-Hop/Rap , Music , R&B / Soul , Contemporary R&B , Dance , Rap",$ one point two nine,‰ ãÑ 2010 Bad Boy/Interscope Records,four minutes and thirty-one seconds,14-Dec-10,I Know [ feat . Wiz Khalifa ] [ Explicit ],Diddy - Dirty Money,Last Train To Paris [ Explicit ],Rap & Hip-Hop,$ one point two nine,( C ) 2010 Bad Boy/Interscope Records,four minutes and thirty-one seconds,"December 14 , 2010"
482,1,Over When It 's Over ( Live ),Eric Church,Caught In the Act ( Live ),"Country , Music , Contemporary Country , Urban Cowboy",$ one point two nine,"‰ ãÑ 2013 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 401 Commerce Street , Suite 1100 , Nashville , TN 37219",two minutes and fifty-nine seconds,5-Apr-13,Over When It 's Over,Eric Church,Caught In The Act : Live,Country,$ one point two nine,( C ) 2013 EMI Records Nashville,two minutes and fifty-nine seconds,"April 5 , 2013"
393,1,X2CU,Jason Derulo,Everything Is 4,"Pop , Music , Rock , Dance , R&B / Soul , Contemporary R&B",$ one point two nine,2015 Warner Bros. . Records Inc.,five minutes and thirteen seconds,29-May-15,X2CU,Jason Derulo,Everything Is 4 [ Clean ],Pop,$ one point two nine,2011 Because Music,five minutes and fourteen seconds,"June 1 , 2015"
50,1,Goodbye to You ( feat . Dot Rotten ),Ed Sheeran,5,"Pop , Music , Rock , Singer/Songwriter , Contemporary Singer/Songwriter , Adult Alternative",$ one point two nine,2014 Warner Music UK LImited,five minutes and thirty seconds,23-Jun-14,Goodbye To You ( + Dot Rotten ),Ed Sheeran,5,Pop,$ one point two nine,Dub Police Records,five minutes and thirty seconds,"June 23 , 2014"
503,1,Yayo,Lana Del Rey,Born To Die - The Paradise Edition,"Alternative , Music , Rock , Adult Alternative",$ one point two nine,‰ ãÑ 2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,five minutes and twenty-one seconds,13-Nov-12,Yayo,Lana Del Rey,Born To Die - The Paradise Edition [ Explicit ],Alternative Rock,$ one point two nine,( C ) 2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,three minutes and fifty-seven seconds,"November 13 , 2012"
396,1,It Girl,Jason Derulo,Future History ( Deluxe Version ),"Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance",$ one point nine nine,2011 Warner Bros. . Records Inc.,three minutes and thirteen seconds,16-Sep-11,It Girl,Jason Derulo,Future History ( Deluxe Version ),Pop,$ one point two nine,( C ) 2013 Hit Red Records under exclusive license to Capitol Records Nashville,three minutes and twelve seconds,"September 16 , 2011"
333,1,Cameras,Wiz Khalifa,Rolling Papers,"Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap",$ one point two nine,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,four minutes and twenty-nine seconds,28-Mar-11,Cameras [ Clean ],Wiz Khalifa,Rolling Papers [ Clean ],Rap & Hip-Hop,$ one point two nine,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,four minutes and twenty-nine seconds,"March 28 , 2011"
0,1,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ one point two nine,2015 KIDinaKORNER/Interscope Records,one minutes and twenty-five seconds,30-Jun-15,VHS Outro ( Interlude ) [ Explicit ],X Ambassadors,VHS [ Explicit ],Alternative Rock,$ one point two nine,( C ) 2015 KIDinaKORNER/Interscope Records,one minutes and twenty-five seconds,"June 30 , 2015"
332,1,Extra Extra Credit,Wiz Khalifa,Flight School,"Hip-Hop/Rap , Music",$ zero point nine nine,2009 Rostrum Records,four minutes and three seconds,17-Apr-09,Extra Extra Credit [ Explicit ],Wiz Khalifa,Flight School [ Explicit ],Rap & Hip-Hop,$ zero point nine nine,2013 Mad Decent,four minutes and three seconds,"April 17 , 2009"
450,1,Latch ( feat . Sam Smith ),Disclosure,Settle ( Deluxe Version ),"Electronic , Music",$ one point two nine,"‰ ãÑ 2014 Universal Island Records , a division of Universal Music Operations Limited",four minutes and fifteen seconds,15-Apr-14,Latch [ feat . Sam Smith ],Disclosure,Settle,"Electronica , Dance & Electronic",$ one point two nine,"( C ) 2013 Universal Island Records , a division of Universal Music Operations Limited",four minutes and fifteen seconds,"June 11 , 2013"
489,1,Anything Goes,Florida Georgia Line,Anything Goes,"Country , Music , Honky Tonk , Urban Cowboy , Contemporary Country",$ one point two nine,"‰ ãÑ 2014 Big Machine Label Group , LLC",three minutes and thirty-nine seconds,14-Oct-14,Anything Goes,Florida Georgia Line,Anything Goes,Country,$ one point two nine,"( C ) 2014 Republic Records , a Division of UMG Recordings , Inc. ( Republic Nashville )",three minutes and thirty-eight seconds,"October 14 , 2014"
228,1,Love Song,P!NK,Try This,"Pop , Music , Teen Pop , Electronic , Pop/Rock , R&B / Soul , Dance",$ zero point nine nine,"2003 Arista Records , Inc.",two minutes and twenty-eight seconds,10-Nov-03,Love Song,P!nk,Try This [ Explicit ],Pop,$ zero point nine nine,CWM records,two minutes and twenty-seven seconds,"November 11 , 2003"
2,1,Slow Down ( Smash Mode Remix ),Selena Gomez,Slow Down ( Remixes ),"Dance , Music , Reggae , Rock , Electronic",$ one point two nine,"2013 Hollywood Records , Inc.",five minutes and twenty-one seconds,20-Aug-13,Slow Down ( Smash Mode Remix ),Selena Gomez,Slow Down Remixes,Dance & Electronic,$ one point two nine,"( C ) 2013 Hollywood Records , Inc.",five minutes and twenty-one seconds,"August 20 , 2013"
67,1,Boiling ( Medlar Remix ),Disclosure,Control,"Electronic , Music , Dance",$ one point two nine,2013 Greco-Roman Ltd,five minutes and fifty-two seconds,2-Apr-13,Boiling ( Medlar Remix ),Disclosure,Control,Dance & Electronic,$ zero point eight nine,2013 Greco-Roman Ltd,five minutes and fifty-two seconds,"April 2 , 2013"
190,1,Through the Ghost,Shinedown,Amaryllis,"Rock , Music , Alternative , Grunge , Hard Rock , Metal",$ one point two nine,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,four minutes and one seconds,23-Mar-12,Through The Ghost,Shinedown,Amaryllis,Rock,$ one point two nine,Krankbrother,four minutes and one seconds,"March 23 , 2012"
305,1,We 're All the Same,Calvin Harris,I Created Disco,"Dance , Music , R&B / Soul , Disco , Electronic , Rock",$ zero point nine nine,2007 SONY BMG MUSIC ENTERTAINMENT ( UK ) Limited,three minutes and fifty-six seconds,18-Jun-07,We 're All The Same,Calvin Harris,I Created Disco,"Dance & Electronic , Pop , House",$ zero point nine nine,2002 Defected Records Ltd,three minutes and fifty-six seconds,"February 22 , 2012"
406,1,Remark,Rachel Platten,Be Here,"Pop , Music , Singer/Songwriter , Contemporary Singer/Songwriter , Rock , Adult Alternative",$ zero point nine nine,"2011 Great Unknown , LLC",two minutes and fifty-seven seconds,26-Apr-11,Remark,Rachel Platten,Be Here,Pop,$ zero point nine nine,"2014 Great Unknown , LLC",two minutes and fifty-seven seconds,"April 26 , 2011"
