ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,originalRightId
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Kinetic Infrared Imperial Red Ale,Mammoth Brewing Company,American Amber / Red Ale,9.30 %,"('Beer_Name', 'ABV')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Real McCoy Amber Ale,Kinetic Brewing Company,American Strong Ale,4.50 %,"('Brew_Factory_Name', 'Style')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Real McCoy Amber Ale,Kinetic Brewing Company,American Amber / Red Ale,9.30 %,"('Brew_Factory_Name', 'ABV')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Kinetic Infrared Imperial Red Ale,Kinetic Brewing Company,American Strong Ale,4.50 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Kinetic Infrared Imperial Red Ale,Kinetic Brewing Company,American Amber / Red Ale,9.30 %,"('Beer_Name', 'Brew_Factory_Name', 'ABV')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Kinetic Infrared Imperial Red Ale,Mammoth Brewing Company,American Strong Ale,9.30 %,"('Beer_Name', 'Style', 'ABV')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Real McCoy Amber Ale,Kinetic Brewing Company,American Strong Ale,9.30 %,"('Brew_Factory_Name', 'Style', 'ABV')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Big Bear Lake Sidewinder Red Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,"('Beer_Name',)",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Real McCoy Amber Ale,Big Bear Lake Brewing Company,American Amber / Red Ale,4.50 %,"('Brew_Factory_Name',)",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Big Bear Lake Sidewinder Red Ale,Big Bear Lake Brewing Company,American Amber / Red Ale,4.50 %,"('Beer_Name', 'Brew_Factory_Name')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Big Bear Lake Sidewinder Red Ale,Mammoth Brewing Company,Amber Ale,4.50 %,"('Beer_Name', 'Style')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Big Bear Lake Sidewinder Red Ale,Mammoth Brewing Company,American Amber / Red Ale,8.50 %,"('Beer_Name', 'ABV')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Real McCoy Amber Ale,Big Bear Lake Brewing Company,American Amber / Red Ale,8.50 %,"('Brew_Factory_Name', 'ABV')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Big Bear Lake Sidewinder Red Ale,Big Bear Lake Brewing Company,Amber Ale,4.50 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Big Bear Lake Sidewinder Red Ale,Big Bear Lake Brewing Company,American Amber / Red Ale,8.50 %,"('Beer_Name', 'Brew_Factory_Name', 'ABV')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Big Bear Lake Sidewinder Red Ale,Mammoth Brewing Company,Amber Ale,8.50 %,"('Beer_Name', 'Style', 'ABV')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Real McCoy Amber Ale,Big Bear Lake Brewing Company,Amber Ale,8.50 %,"('Brew_Factory_Name', 'Style', 'ABV')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,18th Street Deal With the Devil Pale Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,"('Beer_Name',)",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Real McCoy Amber Ale,18th Street Brewery,American Amber / Red Ale,4.50 %,"('Brew_Factory_Name',)",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,18th Street Deal With the Devil Pale Ale,18th Street Brewery,American Amber / Red Ale,4.50 %,"('Beer_Name', 'Brew_Factory_Name')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,18th Street Deal With the Devil Pale Ale,Mammoth Brewing Company,Imperial IPA,4.50 %,"('Beer_Name', 'Style')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,18th Street Deal With the Devil Pale Ale,Mammoth Brewing Company,American Amber / Red Ale,8.50 %,"('Beer_Name', 'ABV')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Real McCoy Amber Ale,18th Street Brewery,American Amber / Red Ale,8.50 %,"('Brew_Factory_Name', 'ABV')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,18th Street Deal With the Devil Pale Ale,18th Street Brewery,Imperial IPA,4.50 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,18th Street Deal With the Devil Pale Ale,18th Street Brewery,American Amber / Red Ale,8.50 %,"('Beer_Name', 'Brew_Factory_Name', 'ABV')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,18th Street Deal With the Devil Pale Ale,Mammoth Brewing Company,Imperial IPA,8.50 %,"('Beer_Name', 'Style', 'ABV')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Real McCoy Amber Ale,18th Street Brewery,Imperial IPA,8.50 %,"('Brew_Factory_Name', 'Style', 'ABV')",0@271
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Big Bear Lake Sidewinder Red Ale,Tarraco Beer,American Amber / Red Ale,6.90 %,"('Beer_Name',)",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Big Bear Lake Sidewinder Red Ale,Big Bear Lake Brewing Company,American Amber / Red Ale,6.90 %,"('Beer_Name', 'Brew_Factory_Name')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Big Bear Lake Sidewinder Red Ale,Tarraco Beer,Amber Ale,6.90 %,"('Beer_Name', 'Style')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Big Bear Lake Sidewinder Red Ale,Tarraco Beer,American Amber / Red Ale,8.50 %,"('Beer_Name', 'ABV')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Jazz Beer Tarraco Amber,Big Bear Lake Brewing Company,American Amber / Red Ale,8.50 %,"('Brew_Factory_Name', 'ABV')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Big Bear Lake Sidewinder Red Ale,Big Bear Lake Brewing Company,Amber Ale,6.90 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Big Bear Lake Sidewinder Red Ale,Big Bear Lake Brewing Company,American Amber / Red Ale,8.50 %,"('Beer_Name', 'Brew_Factory_Name', 'ABV')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Big Bear Lake Sidewinder Red Ale,Tarraco Beer,Amber Ale,8.50 %,"('Beer_Name', 'Style', 'ABV')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Jazz Beer Tarraco Amber,Big Bear Lake Brewing Company,Amber Ale,8.50 %,"('Brew_Factory_Name', 'Style', 'ABV')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Third Base Red Rocket Amber Ale,Tarraco Beer,American Amber / Red Ale,6.90 %,"('Beer_Name',)",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Third Base Red Rocket Amber Ale,Third Base Sports Bar & Brewery,American Amber / Red Ale,6.90 %,"('Beer_Name', 'Brew_Factory_Name')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Third Base Red Rocket Amber Ale,Tarraco Beer,Amber Ale,6.90 %,"('Beer_Name', 'Style')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Third Base Red Rocket Amber Ale,Tarraco Beer,American Amber / Red Ale,4.60 %,"('Beer_Name', 'ABV')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Jazz Beer Tarraco Amber,Third Base Sports Bar & Brewery,American Amber / Red Ale,4.60 %,"('Brew_Factory_Name', 'ABV')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Third Base Red Rocket Amber Ale,Third Base Sports Bar & Brewery,Amber Ale,6.90 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Third Base Red Rocket Amber Ale,Third Base Sports Bar & Brewery,American Amber / Red Ale,4.60 %,"('Beer_Name', 'Brew_Factory_Name', 'ABV')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Third Base Red Rocket Amber Ale,Tarraco Beer,Amber Ale,4.60 %,"('Beer_Name', 'Style', 'ABV')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Jazz Beer Tarraco Amber,Third Base Sports Bar & Brewery,Amber Ale,4.60 %,"('Brew_Factory_Name', 'Style', 'ABV')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Good People Stepchild Belgian India Red Ale,Tarraco Beer,American Amber / Red Ale,6.90 %,"('Beer_Name',)",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Good People Stepchild Belgian India Red Ale,Good People Brewing Company,American Amber / Red Ale,6.90 %,"('Beer_Name', 'Brew_Factory_Name')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Good People Stepchild Belgian India Red Ale,Tarraco Beer,India Pale Ale &#40; IPA &#41;,6.90 %,"('Beer_Name', 'Style')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Good People Stepchild Belgian India Red Ale,Tarraco Beer,American Amber / Red Ale,7.80 %,"('Beer_Name', 'ABV')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Jazz Beer Tarraco Amber,Good People Brewing Company,American Amber / Red Ale,7.80 %,"('Brew_Factory_Name', 'ABV')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Good People Stepchild Belgian India Red Ale,Good People Brewing Company,India Pale Ale &#40; IPA &#41;,6.90 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Good People Stepchild Belgian India Red Ale,Good People Brewing Company,American Amber / Red Ale,7.80 %,"('Beer_Name', 'Brew_Factory_Name', 'ABV')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Good People Stepchild Belgian India Red Ale,Tarraco Beer,India Pale Ale &#40; IPA &#41;,7.80 %,"('Beer_Name', 'Style', 'ABV')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Jazz Beer Tarraco Amber,Good People Brewing Company,India Pale Ale &#40; IPA &#41;,7.80 %,"('Brew_Factory_Name', 'Style', 'ABV')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,La Quinta Brewing Co. . Heatwave Red Ale,Tarraco Beer,American Amber / Red Ale,6.90 %,"('Beer_Name',)",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,La Quinta Brewing Co. . Heatwave Red Ale,La Quinta Brewing Co. .,American Amber / Red Ale,6.90 %,"('Beer_Name', 'Brew_Factory_Name')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,La Quinta Brewing Co. . Heatwave Red Ale,Tarraco Beer,Amber Ale,6.90 %,"('Beer_Name', 'Style')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,La Quinta Brewing Co. . Heatwave Red Ale,Tarraco Beer,American Amber / Red Ale,6 %,"('Beer_Name', 'ABV')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Jazz Beer Tarraco Amber,La Quinta Brewing Co. .,American Amber / Red Ale,6 %,"('Brew_Factory_Name', 'ABV')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,La Quinta Brewing Co. . Heatwave Red Ale,La Quinta Brewing Co. .,Amber Ale,6.90 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,La Quinta Brewing Co. . Heatwave Red Ale,La Quinta Brewing Co. .,American Amber / Red Ale,6 %,"('Beer_Name', 'Brew_Factory_Name', 'ABV')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,La Quinta Brewing Co. . Heatwave Red Ale,Tarraco Beer,Amber Ale,6 %,"('Beer_Name', 'Style', 'ABV')",0@1780
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Jazz Beer Tarraco Amber,La Quinta Brewing Co. .,Amber Ale,6 %,"('Brew_Factory_Name', 'Style', 'ABV')",0@1780
Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,23rd Street Pumpkin Ale Bourbon Barrel Aged,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,"('Beer_Name',)",0@2558
Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,23rd Street Pumpkin Ale Bourbon Barrel Aged,23rd Street Brewery,American Amber / Red Ale,5.40 %,"('Beer_Name', 'Brew_Factory_Name')",0@2558
Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,23rd Street Pumpkin Ale Bourbon Barrel Aged,Bainbridge Island Brewing Company,Specialty Grain,5.40 %,"('Beer_Name', 'Style')",0@2558
Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,23rd Street Pumpkin Ale Bourbon Barrel Aged,Bainbridge Island Brewing Company,American Amber / Red Ale,-,"('Beer_Name', 'ABV')",0@2558
Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,23rd Street Pumpkin Ale Bourbon Barrel Aged,23rd Street Brewery,Specialty Grain,5.40 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')",0@2558
Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,23rd Street Pumpkin Ale Bourbon Barrel Aged,23rd Street Brewery,American Amber / Red Ale,-,"('Beer_Name', 'Brew_Factory_Name', 'ABV')",0@2558
Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,23rd Street Pumpkin Ale Bourbon Barrel Aged,Bainbridge Island Brewing Company,Specialty Grain,-,"('Beer_Name', 'Style', 'ABV')",0@2558
Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,Heavy Seas Desert Island Series American Honey Amber Ale,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,"('Beer_Name',)",0@2558
Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,American Amber / Red Ale,5.40 %,"('Beer_Name', 'Brew_Factory_Name')",0@2558
Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,Heavy Seas Desert Island Series American Honey Amber Ale,Bainbridge Island Brewing Company,Amber Ale,5.40 %,"('Beer_Name', 'Style')",0@2558
Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,Heavy Seas Desert Island Series American Honey Amber Ale,Bainbridge Island Brewing Company,American Amber / Red Ale,4.90 %,"('Beer_Name', 'ABV')",0@2558
Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,5.40 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')",0@2558
Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,American Amber / Red Ale,4.90 %,"('Beer_Name', 'Brew_Factory_Name', 'ABV')",0@2558
Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,Heavy Seas Desert Island Series American Honey Amber Ale,Bainbridge Island Brewing Company,Amber Ale,4.90 %,"('Beer_Name', 'Style', 'ABV')",0@2558
Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,Brew Bus Detour Series : Rollin Dirty Red Ale - Wood Aged,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,"('Beer_Name',)",0@2558
Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,Brew Bus Detour Series : Rollin Dirty Red Ale - Wood Aged,Cigar City Brewing,American Amber / Red Ale,5.40 %,"('Beer_Name', 'Brew_Factory_Name')",0@2558
Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,Brew Bus Detour Series : Rollin Dirty Red Ale - Wood Aged,Bainbridge Island Brewing Company,Irish Ale,5.40 %,"('Beer_Name', 'Style')",0@2558
Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,Brew Bus Detour Series : Rollin Dirty Red Ale - Wood Aged,Bainbridge Island Brewing Company,American Amber / Red Ale,5 %,"('Beer_Name', 'ABV')",0@2558
Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,Brew Bus Detour Series : Rollin Dirty Red Ale - Wood Aged,Cigar City Brewing,Irish Ale,5.40 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')",0@2558
Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,Brew Bus Detour Series : Rollin Dirty Red Ale - Wood Aged,Cigar City Brewing,American Amber / Red Ale,5 %,"('Beer_Name', 'Brew_Factory_Name', 'ABV')",0@2558
Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,Brew Bus Detour Series : Rollin Dirty Red Ale - Wood Aged,Bainbridge Island Brewing Company,Irish Ale,5 %,"('Beer_Name', 'Style', 'ABV')",0@2558
Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,Lompoc Bourbon Barrel Aged Proletariat Red Ale,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,"('Beer_Name',)",0@2558
Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,Lompoc Bourbon Barrel Aged Proletariat Red Ale,Lompoc Brewing,American Amber / Red Ale,5.40 %,"('Beer_Name', 'Brew_Factory_Name')",0@2558
Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,Lompoc Bourbon Barrel Aged Proletariat Red Ale,Bainbridge Island Brewing Company,Amber Ale,5.40 %,"('Beer_Name', 'Style')",0@2558
Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,Lompoc Bourbon Barrel Aged Proletariat Red Ale,Bainbridge Island Brewing Company,American Amber / Red Ale,6.40 %,"('Beer_Name', 'ABV')",0@2558
Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,Lompoc Bourbon Barrel Aged Proletariat Red Ale,Lompoc Brewing,Amber Ale,5.40 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')",0@2558
