ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes,originalRightId
iogear bluetooth usb 2.1 micro adapter with tri-language package black,computers accessories,iogear,gbu421w6,15.17,iogear gbu421w6 bluetooth usb micro adapter,networking,iogear,,1.32,"('modelno', 'price')",0@470
iogear bluetooth usb 2.1 micro adapter with tri-language package black,computers accessories,iogear,gbu421w6,15.17,bluetooth usb 2.0 micro adapter dongle,usb network adapters,iogear,,14.84,"('title', 'category', 'modelno')",0@470
iogear bluetooth usb 2.1 micro adapter with tri-language package black,computers accessories,iogear,gbu421w6,15.17,bluetooth usb 2.0 micro adapter dongle,networking,unknown,,14.84,"('title', 'brand', 'modelno')",0@470
iogear bluetooth usb 2.1 micro adapter with tri-language package black,computers accessories,iogear,gbu421w6,15.17,bluetooth usb 2.0 micro adapter dongle,networking,iogear,,1.32,"('title', 'modelno', 'price')",0@470
iogear bluetooth usb 2.1 micro adapter with tri-language package black,computers accessories,iogear,gbu421w6,15.17,iogear gbu421w6 bluetooth usb micro adapter,usb network adapters,unknown,,14.84,"('category', 'brand', 'modelno')",0@470
iogear bluetooth usb 2.1 micro adapter with tri-language package black,computers accessories,iogear,gbu421w6,15.17,iogear gbu421w6 bluetooth usb micro adapter,usb network adapters,iogear,,1.32,"('category', 'modelno', 'price')",0@470
iogear bluetooth usb 2.1 micro adapter with tri-language package black,computers accessories,iogear,gbu421w6,15.17,iogear gbu421w6 bluetooth usb micro adapter,networking,unknown,,1.32,"('brand', 'modelno', 'price')",0@470
iogear bluetooth usb 2.1 micro adapter with tri-language package black,computers accessories,iogear,gbu421w6,15.17,bluetooth usb 2.0 micro adapter dongle,usb network adapters,unknown,,14.84,"('title', 'category', 'brand', 'modelno')",0@470
iogear bluetooth usb 2.1 micro adapter with tri-language package black,computers accessories,iogear,gbu421w6,15.17,bluetooth usb 2.0 micro adapter dongle,usb network adapters,iogear,,1.32,"('title', 'category', 'modelno', 'price')",0@470
iogear bluetooth usb 2.1 micro adapter with tri-language package black,computers accessories,iogear,gbu421w6,15.17,bluetooth usb 2.0 micro adapter dongle,networking,unknown,,1.32,"('title', 'brand', 'modelno', 'price')",0@470
iogear bluetooth usb 2.1 micro adapter with tri-language package black,computers accessories,iogear,gbu421w6,15.17,iogear gbu421w6 bluetooth usb micro adapter,usb network adapters,unknown,,1.32,"('category', 'brand', 'modelno', 'price')",0@470
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear prosafe gs716t 16-port ethernet switch,networking,netgear,fs605na,238.0,"('modelno',)",0@2089
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear fs605na 5-port fast ethernet switch,networking,netgear,fs605na,238.0,"('title', 'modelno')",0@2089
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear prosafe gs716t 16-port ethernet switch,switches,netgear,fs605na,238.0,"('category', 'modelno')",0@2089
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear prosafe gs716t 16-port ethernet switch,networking,netgear,fs605na,238.0,"('brand', 'modelno')",0@2089
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear prosafe gs716t 16-port ethernet switch,networking,netgear,fs605na,21.99,"('modelno', 'price')",0@2089
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear fs605na 5-port fast ethernet switch,switches,netgear,fs605na,238.0,"('title', 'category', 'modelno')",0@2089
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear fs605na 5-port fast ethernet switch,networking,netgear,fs605na,238.0,"('title', 'brand', 'modelno')",0@2089
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear fs605na 5-port fast ethernet switch,networking,netgear,fs605na,21.99,"('title', 'modelno', 'price')",0@2089
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear prosafe gs716t 16-port ethernet switch,switches,netgear,fs605na,238.0,"('category', 'brand', 'modelno')",0@2089
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear prosafe gs716t 16-port ethernet switch,switches,netgear,fs605na,21.99,"('category', 'modelno', 'price')",0@2089
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear prosafe gs716t 16-port ethernet switch,networking,netgear,fs605na,21.99,"('brand', 'modelno', 'price')",0@2089
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear fs605na 5-port fast ethernet switch,switches,netgear,fs605na,238.0,"('title', 'category', 'brand', 'modelno')",0@2089
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear fs605na 5-port fast ethernet switch,switches,netgear,fs605na,21.99,"('title', 'category', 'modelno', 'price')",0@2089
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear fs605na 5-port fast ethernet switch,networking,netgear,fs605na,21.99,"('title', 'brand', 'modelno', 'price')",0@2089
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear prosafe gs716t 16-port ethernet switch,switches,netgear,fs605na,21.99,"('category', 'brand', 'modelno', 'price')",0@2089
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear prosafe gs716t 16-port ethernet switch,networking,netgear,gs108na,238.0,"('modelno',)",0@2089
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear gs108 prosafe 8-port gigabit ethernet desktop switch,networking,netgear,gs108na,238.0,"('title', 'modelno')",0@2089
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear prosafe gs716t 16-port ethernet switch,switches,netgear,gs108na,238.0,"('category', 'modelno')",0@2089
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear prosafe gs716t 16-port ethernet switch,networking,netgear,gs108na,238.0,"('brand', 'modelno')",0@2089
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear prosafe gs716t 16-port ethernet switch,networking,netgear,gs108na,59.99,"('modelno', 'price')",0@2089
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear gs108 prosafe 8-port gigabit ethernet desktop switch,switches,netgear,gs108na,238.0,"('title', 'category', 'modelno')",0@2089
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear gs108 prosafe 8-port gigabit ethernet desktop switch,networking,netgear,gs108na,238.0,"('title', 'brand', 'modelno')",0@2089
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear gs108 prosafe 8-port gigabit ethernet desktop switch,networking,netgear,gs108na,59.99,"('title', 'modelno', 'price')",0@2089
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear prosafe gs716t 16-port ethernet switch,switches,netgear,gs108na,238.0,"('category', 'brand', 'modelno')",0@2089
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear prosafe gs716t 16-port ethernet switch,switches,netgear,gs108na,59.99,"('category', 'modelno', 'price')",0@2089
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear prosafe gs716t 16-port ethernet switch,networking,netgear,gs108na,59.99,"('brand', 'modelno', 'price')",0@2089
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear gs108 prosafe 8-port gigabit ethernet desktop switch,switches,netgear,gs108na,238.0,"('title', 'category', 'brand', 'modelno')",0@2089
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear gs108 prosafe 8-port gigabit ethernet desktop switch,switches,netgear,gs108na,59.99,"('title', 'category', 'modelno', 'price')",0@2089
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear gs108 prosafe 8-port gigabit ethernet desktop switch,networking,netgear,gs108na,59.99,"('title', 'brand', 'modelno', 'price')",0@2089
gs716t-200 - prosafe 16-port gigabit smart switch,networking products,netgear,gs716t-200nas,224.37,netgear prosafe gs716t 16-port ethernet switch,switches,netgear,gs108na,59.99,"('category', 'brand', 'modelno', 'price')",0@2089
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,projection screens,da-lite,27557,9258.99,"('modelno',)",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex deluxe rear projection screen - 96 x 96 av format,projection screens,da-lite,27557,9258.99,"('title', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,projection screens,da-lite,27557,9258.99,"('brand', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex deluxe rear projection screen - 96 x 96 av format,electronics - general,da-lite,27557,9258.99,"('title', 'category', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex deluxe rear projection screen - 96 x 96 av format,projection screens,da-lite,27557,9258.99,"('title', 'brand', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex deluxe rear projection screen - 96 x 96 av format,projection screens,da-lite,27557,6426.99,"('title', 'modelno', 'price')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex deluxe rear projection screen - 96 x 96 av format,electronics - general,da-lite,27557,9258.99,"('title', 'category', 'brand', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex deluxe rear projection screen - 96 x 96 av format,electronics - general,da-lite,27557,6426.99,"('title', 'category', 'modelno', 'price')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex deluxe rear projection screen - 96 x 96 av format,projection screens,da-lite,27557,6426.99,"('title', 'brand', 'modelno', 'price')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,projection screens,da-lite,27562,9258.99,"('modelno',)",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex deluxe rear projection screen - 50 1 2 x 67 1 4 video format,projection screens,da-lite,27562,9258.99,"('title', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,projection screens,da-lite,27562,9258.99,"('brand', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,projection screens,da-lite,27562,2544.99,"('modelno', 'price')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex deluxe rear projection screen - 50 1 2 x 67 1 4 video format,electronics - general,da-lite,27562,9258.99,"('title', 'category', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex deluxe rear projection screen - 50 1 2 x 67 1 4 video format,projection screens,da-lite,27562,9258.99,"('title', 'brand', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex deluxe rear projection screen - 50 1 2 x 67 1 4 video format,projection screens,da-lite,27562,2544.99,"('title', 'modelno', 'price')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,27562,2544.99,"('category', 'modelno', 'price')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,projection screens,da-lite,27562,2544.99,"('brand', 'modelno', 'price')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex deluxe rear projection screen - 50 1 2 x 67 1 4 video format,electronics - general,da-lite,27562,9258.99,"('title', 'category', 'brand', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex deluxe rear projection screen - 50 1 2 x 67 1 4 video format,electronics - general,da-lite,27562,2544.99,"('title', 'category', 'modelno', 'price')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex deluxe rear projection screen - 50 1 2 x 67 1 4 video format,projection screens,da-lite,27562,2544.99,"('title', 'brand', 'modelno', 'price')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,27562,2544.99,"('category', 'brand', 'modelno', 'price')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,projection screens,da-lite,27650,9258.99,"('modelno',)",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-glas deluxe rear projection screen - 84 x 84 av format,projection screens,da-lite,27650,9258.99,"('title', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,27650,9258.99,"('category', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,projection screens,da-lite,27650,9258.99,"('brand', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,projection screens,da-lite,27650,4958.99,"('modelno', 'price')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-glas deluxe rear projection screen - 84 x 84 av format,electronics - general,da-lite,27650,9258.99,"('title', 'category', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-glas deluxe rear projection screen - 84 x 84 av format,projection screens,da-lite,27650,9258.99,"('title', 'brand', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-glas deluxe rear projection screen - 84 x 84 av format,projection screens,da-lite,27650,4958.99,"('title', 'modelno', 'price')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,27650,9258.99,"('category', 'brand', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,27650,4958.99,"('category', 'modelno', 'price')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,projection screens,da-lite,27650,4958.99,"('brand', 'modelno', 'price')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-glas deluxe rear projection screen - 84 x 84 av format,electronics - general,da-lite,27650,9258.99,"('title', 'category', 'brand', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-glas deluxe rear projection screen - 84 x 84 av format,electronics - general,da-lite,27650,4958.99,"('title', 'category', 'modelno', 'price')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-glas deluxe rear projection screen - 84 x 84 av format,projection screens,da-lite,27650,4958.99,"('title', 'brand', 'modelno', 'price')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,27650,4958.99,"('category', 'brand', 'modelno', 'price')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,projection screens,da-lite,27917,9258.99,"('modelno',)",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-glas standard rear projection screen 81 x 108 video format,projection screens,da-lite,27917,9258.99,"('title', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,27917,9258.99,"('category', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,projection screens,da-lite,27917,9258.99,"('brand', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-glas standard rear projection screen 81 x 108 video format,electronics - general,da-lite,27917,9258.99,"('title', 'category', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-glas standard rear projection screen 81 x 108 video format,projection screens,da-lite,27917,9258.99,"('title', 'brand', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-glas standard rear projection screen 81 x 108 video format,projection screens,da-lite,27917,5391.99,"('title', 'modelno', 'price')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,27917,9258.99,"('category', 'brand', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-glas standard rear projection screen 81 x 108 video format,electronics - general,da-lite,27917,9258.99,"('title', 'category', 'brand', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-glas standard rear projection screen 81 x 108 video format,electronics - general,da-lite,27917,5391.99,"('title', 'category', 'modelno', 'price')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-glas standard rear projection screen 81 x 108 video format,projection screens,da-lite,27917,5391.99,"('title', 'brand', 'modelno', 'price')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,projection screens,da-lite,27573,9258.99,"('modelno',)",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex deluxe rear projection screen - 78 x 139 hdtv format,projection screens,da-lite,27573,9258.99,"('title', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,27573,9258.99,"('category', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,projection screens,da-lite,27573,9258.99,"('brand', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,projection screens,da-lite,27573,7452.99,"('modelno', 'price')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex deluxe rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,27573,9258.99,"('title', 'category', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex deluxe rear projection screen - 78 x 139 hdtv format,projection screens,da-lite,27573,9258.99,"('title', 'brand', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex deluxe rear projection screen - 78 x 139 hdtv format,projection screens,da-lite,27573,7452.99,"('title', 'modelno', 'price')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,27573,9258.99,"('category', 'brand', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,27573,7452.99,"('category', 'modelno', 'price')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,projection screens,da-lite,27573,7452.99,"('brand', 'modelno', 'price')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex deluxe rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,27573,9258.99,"('title', 'category', 'brand', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex deluxe rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,27573,7452.99,"('title', 'category', 'modelno', 'price')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex deluxe rear projection screen - 78 x 139 hdtv format,projection screens,da-lite,27573,7452.99,"('title', 'brand', 'modelno', 'price')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,27573,7452.99,"('category', 'brand', 'modelno', 'price')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,projection screens,da-lite,27655,9258.99,"('modelno',)",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-glas deluxe rear projection screen - 40 1 4 x 53 3 4 video format,projection screens,da-lite,27655,9258.99,"('title', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,projection screens,da-lite,27655,9258.99,"('brand', 'modelno')",1@19283
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite da-glas deluxe rear projection screen - 40 1 4 x 53 3 4 video format,electronics - general,da-lite,27655,9258.99,"('title', 'category', 'modelno')",1@19283
