ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,alteredAttributes,originalRightId
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,,99.95,"('title', 'manufacturer')",0@511
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,microsoft,109.95,"('title', 'price')",0@511
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,microsoft,449.95,"('title',)",0@604
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,,449.95,"('title', 'manufacturer')",0@604
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,microsoft,109.95,"('title', 'price')",0@604
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,microsoft,179.0,"('title',)",0@497
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,,179.0,"('title', 'manufacturer')",0@497
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,microsoft,109.95,"('title', 'price')",0@497
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,microsoft,129.95,"('title',)",0@571
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,,129.95,"('title', 'manufacturer')",0@571
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,microsoft,109.95,"('title', 'price')",0@571
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,topics entertainment,49.95,"('title',)",0@753
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,,49.95,"('title', 'manufacturer')",0@753
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,topics entertainment,109.95,"('title', 'price')",0@753
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,microsoft,109.99,"('title',)",0@823
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,,109.99,"('title', 'manufacturer')",0@823
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,microsoft,109.95,"('title', 'price')",0@823
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,microsoft software,735.33,"('title',)",0@271
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,,735.33,"('title', 'manufacturer')",0@271
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,microsoft software,109.95,"('title', 'price')",0@271
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,microsoft,239.99,"('title',)",0@518
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,,239.99,"('title', 'manufacturer')",0@518
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,microsoft,109.95,"('title', 'price')",0@518
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,microsoft,99.95,"('title',)",0@541
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,,99.95,"('title', 'manufacturer')",0@541
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,microsoft,109.95,"('title', 'price')",0@541
microsoft office outlook 2007,,109.95,microsoft outlook 2007,,109.95,"('title',)",1@2816
microsoft office outlook 2007,,109.95,microsoft outlook 2007,microsoft,109.95,"('title', 'manufacturer')",1@2816
microsoft office outlook 2007,,109.95,microsoft outlook 2007,,109.95,"('title', 'price')",1@2816
microsoft office outlook 2007,,109.95,microsoft outlook 2007,,176.99,"('title',)",1@1007
microsoft office outlook 2007,,109.95,microsoft outlook 2007,microsoft,176.99,"('title', 'manufacturer')",1@1007
microsoft office outlook 2007,,109.95,microsoft outlook 2007,,109.95,"('title', 'price')",1@1007
microsoft office outlook 2007,,109.95,microsoft outlook 2007,,599.95,"('title',)",1@3171
microsoft office outlook 2007,,109.95,microsoft outlook 2007,microsoft,599.95,"('title', 'manufacturer')",1@3171
microsoft office outlook 2007,,109.95,microsoft outlook 2007,,109.95,"('title', 'price')",1@3171
microsoft office outlook 2007,,109.95,microsoft outlook 2007,,399.99,"('title',)",1@1010
microsoft office outlook 2007,,109.95,microsoft outlook 2007,microsoft,399.99,"('title', 'manufacturer')",1@1010
microsoft office outlook 2007,,109.95,microsoft outlook 2007,,109.95,"('title', 'price')",1@1010
microsoft office outlook 2007,,109.95,microsoft outlook 2007,,169.56,"('title',)",1@1095
microsoft office outlook 2007,,109.95,microsoft outlook 2007,microsoft,169.56,"('title', 'manufacturer')",1@1095
microsoft office outlook 2007,,109.95,microsoft outlook 2007,,109.95,"('title', 'price')",1@1095
microsoft office outlook 2007,,109.95,microsoft outlook 2007,,219.99,"('title',)",1@915
microsoft office outlook 2007,,109.95,microsoft outlook 2007,microsoft,219.99,"('title', 'manufacturer')",1@915
microsoft office outlook 2007,,109.95,microsoft outlook 2007,,109.95,"('title', 'price')",1@915
microsoft office outlook 2007,,109.95,microsoft outlook 2007,,79.99,"('title',)",1@2863
microsoft office outlook 2007,,109.95,microsoft outlook 2007,microsoft,79.99,"('title', 'manufacturer')",1@2863
microsoft office outlook 2007,,109.95,microsoft outlook 2007,,109.95,"('title', 'price')",1@2863
microsoft office outlook 2007,,109.95,microsoft outlook 2007,,108.95,"('title',)",1@1105
microsoft office outlook 2007,,109.95,microsoft outlook 2007,microsoft,108.95,"('title', 'manufacturer')",1@1105
microsoft office outlook 2007,,109.95,microsoft outlook 2007,,109.95,"('title', 'price')",1@1105
microsoft office outlook 2007,,109.95,microsoft outlook 2007,,50.13,"('title',)",1@2464
microsoft office outlook 2007,,109.95,microsoft outlook 2007,microsoft,50.13,"('title', 'manufacturer')",1@2464
microsoft office outlook 2007,,109.95,microsoft outlook 2007,,109.95,"('title', 'price')",1@2464
microsoft onenote 2007,microsoft,99.95,microsoft onenote 2007 ( pc ),microsoft,259.95,"('title',)",0@522
microsoft onenote 2007,microsoft,99.95,microsoft onenote 2007 ( pc ),,259.95,"('title', 'manufacturer')",0@522
microsoft onenote 2007,microsoft,99.95,microsoft onenote 2007 ( pc ),microsoft,99.95,"('title', 'price')",0@522
microsoft onenote 2007,microsoft,99.95,microsoft onenote 2007 ( pc ),microsoft,499.99,"('title',)",0@606
microsoft onenote 2007,microsoft,99.95,microsoft onenote 2007 ( pc ),,499.99,"('title', 'manufacturer')",0@606
microsoft onenote 2007,microsoft,99.95,microsoft onenote 2007 ( pc ),microsoft,99.95,"('title', 'price')",0@606
microsoft onenote 2007,microsoft,99.95,microsoft onenote 2007 ( pc ),microsoft,229.95,"('title',)",0@578
microsoft onenote 2007,microsoft,99.95,microsoft onenote 2007 ( pc ),,229.95,"('title', 'manufacturer')",0@578
microsoft onenote 2007,microsoft,99.95,microsoft onenote 2007 ( pc ),microsoft,99.95,"('title', 'price')",0@578
microsoft onenote 2007,microsoft,99.95,microsoft onenote 2007 ( pc ),microsoft,229.99,"('title',)",0@605
microsoft onenote 2007,microsoft,99.95,microsoft onenote 2007 ( pc ),,229.99,"('title', 'manufacturer')",0@605
microsoft onenote 2007,microsoft,99.95,microsoft onenote 2007 ( pc ),microsoft,99.95,"('title', 'price')",0@605
microsoft onenote 2007,microsoft,99.95,microsoft onenote 2007 ( pc ),emedia,600.0,"('title',)",0@1154
microsoft onenote 2007,microsoft,99.95,microsoft onenote 2007 ( pc ),,600.0,"('title', 'manufacturer')",0@1154
microsoft onenote 2007,microsoft,99.95,microsoft onenote 2007 ( pc ),emedia,99.95,"('title', 'price')",0@1154
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,,176.99,"('title',)",1@1007
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,microsoft,176.99,"('title', 'manufacturer')",1@1007
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,,99.95,"('title', 'price')",1@1007
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,,78.99,"('title',)",1@3187
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,microsoft,78.99,"('title', 'manufacturer')",1@3187
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,,99.95,"('title', 'price')",1@3187
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,,249.99,"('title',)",1@3190
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,microsoft,249.99,"('title', 'manufacturer')",1@3190
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,,99.95,"('title', 'price')",1@3190
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,,109.95,"('title',)",1@2877
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,microsoft,109.95,"('title', 'manufacturer')",1@2877
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,,99.95,"('title', 'price')",1@2877
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,,399.99,"('title',)",1@1010
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,microsoft,399.99,"('title', 'manufacturer')",1@1010
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,,99.95,"('title', 'price')",1@1010
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,,69.95,"('title',)",1@1120
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,microsoft,69.95,"('title', 'manufacturer')",1@1120
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,,99.95,"('title', 'price')",1@1120
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,,1863.78,"('title',)",1@1687
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,microsoft,1863.78,"('title', 'manufacturer')",1@1687
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,,99.95,"('title', 'price')",1@1687
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,,157.18,"('title',)",1@1686
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,microsoft,157.18,"('title', 'manufacturer')",1@1686
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,,99.95,"('title', 'price')",1@1686
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,,239.95,"('title',)",1@2441
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,microsoft,239.95,"('title', 'manufacturer')",1@2441
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,,99.95,"('title', 'price')",1@2441
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,,349.95,"('title',)",1@3194
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,microsoft,349.95,"('title', 'manufacturer')",1@3194
microsoft onenote 2007 ( pc ),,99.95,microsoft onenote 2007,,99.95,"('title', 'price')",1@3194
