Song_Name;Artist_Name;Album_Name;Genre;Price;CopyRight;Time;Released;Neg_sample_ID
('353', '474');('353', '474');('353', '522');('353', '393');('353', '280');('353', '253');('353', '283');('353', '213');347
('84', '251');('84', '54');('84', '263');('84', '523');('84', '339');('84', '396');('84', '411');('84', '213');514
('181', '2');('181', '54');('181', '396');('493', '523');('181', '339');('181', '506');('373', '411');('181', '213');255
('181', '506');('373', '474');('181', '506');('181', '415');('373', '339');('373', '408');('373', '411');('373', '213');80
('353', '339');('353', '474');('353', '506');('353', '490');('353', '339');('353', '254');('353', '228');('353', '213');193
('7', '506');('7', '474');('7', '114');('7', '461');('7', '339');('7', '254');('7', '489');('7', '213');372
('488', '223');('488', '474');('488', '488');('488', '396');('488', '390');('488', '254');('373', '250');('488', '213');299
('493', '42');('493', '474');('493', '506');('493', '490');('493', '390');('493', '408');('223', '528');('493', '213');28
('409', '440');('493', '474');('409', '191');('409', '490');('409', '396');('488', '408');('409', '263');('488', '213');311
('504', '84');('504', '474');('504', '503');('504', '523');('504', '339');('504', '414');('62', '223');('504', '213');241
('373', '87');('373', '474');('373', '506');('373', '523');('373', '339');('373', '407');('373', '181');('373', '213');375
('392', '339');('390', '474');('392', '186');('392', '490');('392', '339');('392', '261');('392', '324');('392', '213');46
('219', '440');('218', '474');('219', '506');('219', '396');('219', '339');('219', '408');('219', '389');('219', '213');420
('181', '495');('181', '54');('181', '292');('181', '523');('181', '339');('181', '283');('181', '373');('181', '213');63
('493', '474');('493', '44');('493', '373');('493', '436');('493', '215');('493', '253');('493', '304');('493', '228');492
('488', '474');('488', '474');('488', '114');('488', '523');('488', '339');('488', '407');('488', '409');('488', '213');366
('181', '84');('181', '474');('181', '114');('181', '396');('181', '339');('181', '254');('181', '353');('353', '213');227
('373', '415');('373', '474');('373', '488');('373', '415');('373', '390');('373', '407');('373', '409');('373', '213');93
('523', '461');('523', '70');('523', '253');('523', '523');('523', '339');('523', '250');('523', '522');('523', '440');262
('493', '84');('324', '474');('324', '114');('493', '490');('493', '339');('324', '396');('324', '503');('493', '213');284
('353', '474');('353', '474');('353', '522');('353', '393');('353', '280');('353', '253');('353', '283');('353', '213');367
('181', '261');('181', '54');('181', '114');('181', '489');('181', '339');('181', '506');('181', '181');('181', '213');410
('488', '223');('488', '474');('488', '191');('488', '415');('488', '339');('488', '407');('223', '528');('488', '213');421
('409', '84');('409', '455');('523', '7');('409', '396');('409', '339');('409', '396');('409', '389');('523', '440');19
('409', '251');('488', '54');('409', '114');('409', '523');('409', '339');('409', '408');('409', '409');('488', '213');204
('373', '488');('373', '474');('373', '488');('373', '415');('373', '339');('373', '254');('373', '373');('373', '213');99
('324', '506');('324', '474');('324', '114');('324', '490');('488', '261');('324', '254');('84', '528');('324', '213');278
('181', '339');('181', '474');('181', '488');('181', '396');('181', '339');('181', '407');('181', '373');('181', '213');442
('181', '47');('181', '245');('181', '191');('181', '415');('181', '339');('181', '396');('409', '373');('181', '440');427
('84', '230');('84', '70');('84', '409');('84', '416');('84', '339');('84', '250');('84', '528');('84', '67');160
('373', '87');('373', '54');('373', '506');('373', '396');('373', '339');('373', '408');('373', '373');('373', '213');90
('7', '474');('7', '474');('7', '506');('7', '396');('7', '215');('7', '253');('7', '7');('7', '67');342
('181', '207');('181', '474');('181', '506');('181', '490');('181', '390');('181', '253');('353', '12');('353', '213');30
('373', '253');('373', '474');('223', '488');('373', '490');('373', '339');('373', '408');('223', '528');('373', '213');123
('493', '414');('493', '474');('493', '506');('493', '490');('493', '339');('493', '254');('493', '522');('493', '213');477
('373', '87');('373', '474');('373', '533');('373', '490');('373', '339');('373', '408');('373', '528');('373', '213');97
('523', '483');('523', '54');('523', '186');('523', '523');('523', '396');('523', '506');('84', '523');('523', '523');424
('373', '87');('373', '474');('373', '114');('373', '396');('373', '339');('373', '408');('373', '528');('373', '213');176
('84', '461');('373', '54');('84', '503');('84', '523');('84', '339');('84', '503');('84', '528');('84', '213');532
('181', '339');('181', '474');('181', '114');('181', '490');('181', '339');('181', '407');('181', '181');('181', '213');205
('370', '474');('223', '474');('223', '506');('223', '490');('223', '339');('223', '254');('223', '223');('370', '213');180
('370', '213');('370', '474');('370', '114');('353', '490');('370', '339');('370', '254');('370', '228');('370', '213');189
('181', '42');('488', '474');('488', '114');('488', '523');('488', '339');('488', '407');('488', '522');('488', '213');33
('324', '42');('488', '474');('488', '506');('488', '490');('488', '261');('488', '408');('373', '528');('488', '213');435
('440', '183');('440', '54');('440', '332');('440', '523');('440', '339');('440', '396');('440', '490');('440', '213');13
('84', '7');('488', '503');('84', '331');('84', '523');('84', '339');('488', '408');('84', '528');('488', '213');382
('373', '353');('373', '474');('373', '533');('373', '490');('373', '339');('373', '407');('373', '528');('373', '213');468
('324', '261');('324', '54');('523', '114');('493', '489');('324', '396');('324', '396');('324', '528');('523', '213');439
('181', '207');('181', '54');('181', '252');('181', '523');('181', '339');('181', '408');('181', '411');('181', '213');201
('373', '87');('373', '474');('373', '506');('373', '523');('373', '339');('373', '407');('373', '411');('373', '213');72
('324', '474');('390', '44');('493', '280');('392', '286');('392', '280');('392', '253');('392', '391');('392', '213');232
('392', '42');('390', '474');('392', '191');('392', '490');('392', '339');('392', '254');('223', '223');('392', '213');538
('373', '488');('373', '474');('373', '488');('373', '415');('373', '339');('373', '407');('373', '373');('373', '213');166
('181', '42');('181', '474');('181', '488');('181', '415');('181', '261');('181', '407');('373', '181');('353', '213');329
('181', '506');('373', '474');('181', '506');('181', '415');('373', '339');('373', '408');('373', '411');('373', '213');86
('370', '506');('370', '474');('370', '506');('370', '396');('370', '339');('370', '254');('223', '228');('370', '213');509
('181', '5');('373', '474');('181', '506');('181', '396');('181', '339');('373', '407');('373', '373');('373', '213');362
('370', '207');('370', '474');('370', '478');('370', '490');('370', '280');('370', '253');('370', '283');('370', '213');323
('7', '87');('373', '474');('373', '373');('373', '393');('373', '215');('373', '253');('7', '283');('373', '213');473
('370', '207');('370', '474');('370', '478');('370', '490');('370', '280');('370', '253');('370', '283');('370', '213');343
('488', '42');('488', '474');('488', '506');('488', '415');('488', '339');('488', '254');('373', '250');('488', '213');426
('353', '373');('370', '44');('373', '373');('370', '387');('353', '215');('370', '261');('370', '283');('370', '213');491
('373', '87');('373', '474');('373', '506');('373', '490');('373', '339');('373', '407');('373', '522');('373', '213');154
('488', '488');('373', '474');('488', '506');('373', '415');('373', '339');('373', '408');('373', '373');('373', '213');110
('219', '339');('488', '474');('488', '506');('488', '396');('488', '339');('488', '408');('488', '389');('488', '213');157
('493', '506');('373', '474');('488', '533');('493', '396');('373', '339');('373', '408');('223', '528');('373', '213');82
('440', '506');('440', '474');('440', '114');('440', '490');('84', '339');('84', '408');('84', '528');('440', '213');268
('493', '87');('493', '474');('493', '506');('493', '396');('493', '339');('493', '254');('324', '324');('493', '213');179
('373', '87');('373', '474');('373', '506');('373', '523');('373', '339');('373', '407');('373', '523');('373', '213');36
('370', '474');('370', '44');('370', '213');('370', '254');('370', '280');('370', '253');('370', '283');('370', '228');348
('373', '488');('373', '474');('373', '488');('373', '415');('373', '339');('373', '407');('373', '373');('373', '213');92
('353', '87');('373', '474');('373', '478');('373', '490');('373', '339');('373', '254');('223', '228');('373', '213');469
('493', '42');('488', '474');('488', '506');('488', '490');('488', '339');('488', '407');('488', '263');('488', '213');40
('324', '474');('324', '474');('324', '488');('324', '387');('324', '280');('324', '253');('324', '324');('324', '213');236
('411', '490');('411', '433');('411', '463');('411', '523');('411', '339');('411', '411');('411', '523');('411', '56');518
('409', '390');('409', '70');('409', '463');('409', '523');('409', '339');('409', '396');('409', '250');('409', '213');480
('84', '373');('373', '474');('84', '313');('84', '461');('488', '339');('373', '408');('84', '528');('488', '213');381
('324', '207');('324', '474');('324', '283');('324', '396');('324', '339');('324', '407');('84', '250');('324', '213');66
('493', '84');('324', '474');('324', '506');('493', '396');('493', '261');('324', '283');('324', '503');('493', '213');233
('324', '373');('493', '474');('493', '280');('493', '254');('493', '280');('493', '253');('493', '391');('493', '213');273
('7', '474');('370', '474');('370', '280');('370', '286');('370', '215');('370', '261');('370', '283');('370', '213');507
('392', '43');('390', '474');('392', '483');('391', '523');('392', '339');('324', '407');('223', '503');('392', '213');355
('373', '415');('373', '474');('373', '478');('373', '415');('373', '339');('373', '254');('373', '373');('373', '213');94
('373', '506');('373', '474');('373', '488');('373', '396');('373', '339');('373', '408');('373', '528');('373', '213');471
('324', '506');('324', '474');('324', '506');('324', '490');('324', '261');('324', '254');('223', '528');('324', '213');265
('409', '43');('409', '54');('409', '283');('409', '523');('409', '339');('409', '396');('409', '409');('409', '213');185
('353', '87');('373', '474');('373', '42');('373', '490');('373', '261');('373', '254');('373', '228');('373', '213');74
('223', '474');('223', '474');('223', '207');('223', '523');('223', '339');('223', '408');('223', '223');('223', '213');498
('488', '223');('373', '474');('373', '506');('373', '415');('373', '261');('373', '254');('373', '373');('373', '213');225
('370', '474');('370', '44');('370', '213');('370', '254');('370', '280');('370', '253');('370', '283');('370', '228');317
('373', '415');('373', '474');('373', '488');('373', '396');('373', '339');('373', '407');('373', '373');('373', '213');79
('219', '506');('488', '474');('488', '506');('488', '396');('488', '339');('488', '408');('409', '389');('488', '213');170
('181', '440');('181', '54');('181', '191');('181', '523');('181', '339');('181', '407');('409', '373');('181', '213');462
('353', '42');('353', '474');('353', '283');('353', '396');('353', '339');('353', '407');('84', '528');('353', '213');69
('181', '474');('181', '474');('181', '114');('181', '490');('181', '339');('181', '407');('373', '528');('488', '213');203
('370', '506');('370', '474');('370', '478');('370', '389');('370', '215');('370', '253');('370', '283');('370', '213');198
('488', '42');('488', '474');('488', '114');('488', '490');('488', '339');('488', '407');('488', '409');('488', '213');32
('373', '253');('373', '474');('373', '533');('373', '396');('373', '339');('373', '407');('373', '528');('373', '213');135
('373', '488');('373', '474');('373', '488');('373', '396');('373', '339');('373', '408');('223', '528');('373', '213');134
('373', '87');('373', '474');('373', '506');('373', '396');('373', '339');('373', '408');('373', '528');('373', '213');117
('84', '474');('324', '474');('84', '313');('84', '396');('84', '390');('324', '254');('84', '528');('84', '213');14
('493', '506');('493', '474');('493', '488');('493', '396');('493', '261');('493', '407');('223', '528');('493', '213');447
('392', '474');('390', '474');('392', '331');('391', '490');('392', '280');('392', '253');('392', '391');('392', '213');397
('409', '392');('409', '54');('409', '114');('409', '489');('409', '339');('409', '396');('409', '409');('409', '213');49
('370', '339');('223', '305');('223', '114');('223', '489');('223', '339');('223', '396');('223', '223');('223', '213');307
('181', '223');('181', '474');('181', '478');('181', '2');('181', '261');('181', '254');('373', '353');('353', '213');300
('181', '87');('373', '474');('373', '533');('373', '396');('373', '339');('373', '408');('373', '528');('373', '213');119
('373', '506');('373', '474');('373', '478');('373', '396');('373', '339');('373', '408');('373', '528');('373', '213');153
('324', '415');('324', '474');('493', '191');('493', '490');('324', '339');('324', '254');('84', '503');('440', '213');356
('324', '415');('493', '474');('373', '42');('493', '396');('493', '339');('324', '254');('373', '503');('493', '213');142
('353', '506');('370', '474');('353', '478');('370', '461');('370', '215');('370', '253');('353', '228');('353', '213');320
('84', '474');('324', '474');('84', '313');('84', '396');('84', '390');('324', '254');('84', '528');('84', '213');9
('373', '87');('373', '474');('373', '43');('373', '490');('373', '305');('373', '407');('373', '228');('373', '213');75
('84', '5');('84', '530');('84', '506');('84', '489');('84', '396');('84', '54');('84', '528');('84', '440');285
('353', '42');('353', '474');('353', '186');('353', '490');('353', '390');('353', '254');('353', '228');('353', '213');184
('488', '5');('488', '54');('84', '502');('488', '523');('488', '339');('488', '283');('84', '523');('488', '213');529
('353', '474');('353', '474');('353', '522');('353', '393');('353', '280');('353', '253');('353', '283');('353', '213');354
('493', '207');('493', '474');('493', '533');('493', '490');('493', '215');('493', '253');('493', '391');('493', '213');26
('181', '207');('181', '474');('488', '506');('181', '490');('181', '339');('181', '408');('181', '12');('488', '213');31
('324', '373');('493', '474');('493', '280');('493', '254');('493', '280');('493', '253');('493', '391');('493', '213');270
('181', '47');('181', '474');('181', '114');('181', '490');('181', '339');('181', '254');('181', '228');('181', '213');428
('409', '67');('181', '474');('409', '114');('409', '523');('409', '339');('409', '408');('409', '373');('409', '213');404
('490', '523');('490', '415');('490', '440');('490', '523');('490', '339');('490', '70');('490', '503');('490', '339');511
('353', '486');('353', '474');('353', '191');('353', '396');('353', '339');('353', '408');('84', '373');('353', '213');81
('488', '506');('488', '474');('488', '533');('488', '490');('488', '339');('488', '407');('488', '528');('488', '213');380
('440', '43');('223', '474');('223', '483');('223', '523');('223', '339');('223', '254');('223', '223');('223', '213');318
('353', '373');('353', '474');('353', '478');('353', '254');('353', '280');('353', '253');('353', '283');('353', '213');345
('409', '51');('409', '54');('409', '114');('409', '523');('409', '339');('409', '396');('409', '250');('409', '440');290
('181', '506');('353', '474');('181', '488');('181', '396');('181', '261');('181', '407');('181', '181');('353', '213');330
('84', '230');('84', '54');('84', '7');('84', '396');('84', '339');('84', '506');('84', '528');('84', '440');115
('409', '84');('409', '305');('409', '409');('409', '523');('409', '396');('409', '396');('409', '263');('409', '213');310
('181', '474');('181', '474');('181', '533');('181', '490');('181', '215');('181', '253');('181', '12');('181', '213');29
('84', '474');('223', '474');('223', '313');('223', '396');('223', '339');('223', '407');('223', '528');('223', '523');340
('324', '506');('324', '474');('324', '283');('324', '396');('324', '339');('324', '408');('324', '324');('324', '213');104
('493', '506');('493', '474');('493', '114');('493', '461');('493', '339');('493', '396');('84', '503');('493', '213');246
('353', '474');('353', '474');('353', '478');('353', '254');('353', '280');('353', '253');('353', '283');('353', '213');368
('493', '84');('488', '474');('488', '254');('493', '490');('488', '339');('488', '408');('488', '488');('488', '213');282
('523', '386');('523', '530');('523', '2');('523', '523');('523', '339');('523', '506');('523', '523');('523', '528');206
('373', '415');('373', '474');('373', '488');('373', '396');('373', '339');('373', '408');('223', '528');('373', '213');133
('373', '415');('373', '474');('373', '488');('373', '415');('373', '339');('373', '253');('373', '218');('373', '213');126
('181', '207');('181', '474');('488', '506');('181', '490');('181', '339');('181', '408');('181', '12');('488', '213');22
('181', '463');('181', '474');('181', '488');('181', '523');('181', '339');('181', '407');('181', '528');('181', '213');437
('370', '43');('370', '474');('370', '488');('370', '490');('370', '339');('373', '407');('373', '528');('370', '213');485
('488', '488');('373', '474');('488', '533');('373', '396');('373', '261');('373', '407');('373', '409');('373', '213');120
('181', '43');('181', '474');('181', '114');('181', '396');('181', '339');('181', '407');('373', '373');('488', '213');364
('488', '42');('488', '474');('488', '506');('488', '396');('488', '339');('488', '407');('373', '250');('488', '213');429
('373', '87');('373', '474');('373', '506');('373', '396');('373', '339');('373', '408');('373', '373');('373', '213');95
('84', '84');('84', '455');('84', '7');('84', '396');('84', '390');('84', '396');('84', '411');('84', '440');20
('218', '486');('218', '474');('218', '506');('218', '490');('218', '261');('218', '408');('218', '218');('218', '213');64
('181', '415');('181', '474');('181', '506');('181', '396');('181', '261');('181', '407');('373', '409');('181', '213');322
('286', '405');('181', '474');('181', '191');('181', '396');('181', '339');('181', '254');('181', '181');('440', '213');258
('324', '42');('324', '474');('488', '506');('324', '461');('324', '261');('324', '254');('324', '263');('324', '213');35
('324', '207');('488', '474');('488', '478');('488', '387');('488', '339');('488', '254');('373', '324');('488', '213');298
('440', '84');('440', '474');('440', '503');('493', '396');('440', '339');('493', '283');('84', '490');('440', '213');237
('324', '84');('324', '474');('324', '506');('324', '396');('324', '339');('324', '283');('324', '324');('324', '213');239
('440', '87');('373', '474');('373', '42');('373', '490');('373', '261');('373', '408');('223', '528');('373', '213');141
('7', '474');('7', '474');('7', '331');('7', '286');('7', '215');('7', '253');('7', '7');('7', '213');535
('373', '87');('373', '474');('373', '522');('373', '490');('373', '261');('373', '408');('373', '528');('373', '213');122
('373', '373');('373', '474');('373', '373');('373', '387');('373', '215');('373', '253');('324', '218');('373', '213');149
('7', '373');('370', '474');('7', '373');('370', '250');('370', '215');('370', '253');('7', '370');('370', '213');128
('493', '506');('373', '474');('488', '488');('373', '396');('373', '339');('373', '407');('373', '528');('373', '213');446
('440', '506');('440', '474');('440', '478');('440', '490');('440', '215');('440', '254');('440', '304');('440', '213');264
('488', '506');('488', '474');('488', '506');('488', '396');('488', '261');('488', '408');('373', '528');('488', '213');434
('488', '58');('488', '474');('488', '114');('488', '523');('488', '339');('488', '396');('488', '528');('488', '213');510
('324', '415');('493', '474');('373', '42');('493', '396');('493', '339');('324', '254');('373', '503');('493', '213');138
('373', '87');('373', '474');('373', '506');('373', '396');('373', '339');('373', '407');('373', '411');('373', '213');171
('493', '186');('493', '474');('493', '191');('493', '523');('493', '339');('324', '408');('84', '528');('493', '213');39
('373', '415');('373', '474');('373', '280');('373', '396');('373', '215');('373', '253');('373', '218');('373', '213');168
('523', '505');('218', '54');('523', '191');('523', '523');('523', '339');('523', '408');('523', '523');('523', '213');288
('373', '87');('373', '474');('373', '506');('373', '396');('373', '339');('373', '407');('373', '528');('373', '213');430
('409', '440');('409', '54');('409', '503');('409', '523');('409', '390');('409', '396');('409', '389');('409', '213');476
('488', '50');('488', '503');('84', '331');('488', '461');('488', '339');('488', '408');('84', '523');('488', '213');383
('488', '42');('373', '474');('373', '488');('373', '461');('373', '339');('373', '407');('373', '528');('373', '213');512
('84', '415');('84', '474');('84', '283');('84', '490');('84', '339');('84', '408');('84', '522');('84', '213');460
('186', '474');('186', '474');('186', '478');('186', '254');('186', '215');('186', '253');('370', '186');('186', '213');465
('7', '474');('7', '474');('7', '289');('7', '490');('7', '215');('7', '253');('7', '7');('7', '213');326
('7', '43');('7', '474');('7', '283');('7', '461');('7', '339');('7', '407');('84', '523');('7', '213');536
('181', '207');('353', '474');('353', '506');('181', '396');('181', '339');('181', '407');('373', '411');('353', '213');401
('488', '506');('373', '474');('373', '42');('373', '415');('373', '339');('373', '253');('373', '523');('373', '213');140
('324', '84');('324', '54');('324', '114');('493', '523');('324', '339');('324', '283');('409', '523');('493', '213');231
('373', '87');('373', '474');('373', '488');('373', '490');('373', '339');('373', '408');('373', '528');('373', '213');222
('488', '416');('373', '474');('488', '506');('488', '396');('373', '339');('373', '408');('373', '409');('373', '213');76
('522', '502');('522', '71');('522', '213');('522', '461');('522', '215');('522', '506');('522', '263');('522', '67');335
('353', '373');('353', '474');('353', '478');('353', '254');('353', '280');('353', '253');('353', '283');('353', '213');327
('373', '415');('373', '474');('373', '506');('373', '396');('373', '261');('373', '254');('223', '528');('373', '213');96
('84', '230');('84', '70');('84', '52');('84', '416');('84', '339');('84', '506');('84', '523');('84', '440');105
('324', '474');('373', '474');('373', '506');('373', '490');('373', '261');('373', '254');('223', '528');('373', '213');243
('84', '389');('84', '433');('84', '516');('84', '516');('84', '339');('84', '212');('84', '223');('84', '463');188
('409', '386');('409', '387');('409', '516');('409', '229');('409', '339');('409', '387');('409', '409');('409', '526');291
('370', '207');('370', '474');('370', '43');('370', '396');('370', '339');('370', '254');('223', '223');('370', '213');458
('181', '506');('373', '54');('181', '488');('181', '490');('373', '339');('373', '407');('373', '528');('373', '213');61
('7', '223');('7', '474');('7', '373');('7', '70');('7', '215');('7', '253');('7', '7');('7', '228');296
('181', '474');('181', '474');('181', '488');('181', '396');('181', '215');('181', '407');('353', '353');('353', '213');363
('440', '47');('440', '474');('440', '506');('440', '490');('181', '339');('181', '407');('181', '490');('440', '213');377
('523', '483');('440', '54');('523', '483');('523', '523');('523', '339');('523', '283');('523', '522');('523', '213');525
('181', '58');('181', '54');('181', '191');('181', '523');('181', '339');('181', '396');('181', '409');('181', '213');508
('181', '2');('181', '474');('181', '506');('181', '490');('181', '339');('181', '408');('181', '181');('181', '213');475
('84', '474');('324', '474');('84', '313');('84', '396');('84', '339');('324', '254');('84', '528');('84', '213');10
('7', '373');('370', '474');('7', '373');('370', '250');('370', '215');('370', '253');('7', '370');('370', '213');121
('219', '506');('218', '474');('219', '488');('219', '396');('219', '339');('219', '408');('373', '218');('219', '213');444
('373', '223');('373', '474');('373', '478');('373', '415');('373', '339');('373', '408');('373', '503');('373', '213');98
('353', '207');('353', '474');('353', '478');('353', '461');('181', '339');('353', '254');('373', '528');('353', '213');513
('181', '42');('181', '474');('181', '506');('181', '415');('181', '261');('181', '407');('373', '409');('488', '213');316
('493', '506');('493', '474');('493', '522');('493', '396');('493', '261');('493', '254');('223', '528');('493', '213');158
('261', '228');('261', '433');('261', '114');('261', '523');('261', '339');('261', '260');('261', '223');('261', '289');256
('353', '474');('353', '474');('353', '522');('353', '393');('353', '280');('353', '253');('353', '283');('353', '213');325
('181', '506');('181', '474');('181', '488');('181', '415');('181', '339');('181', '407');('373', '373');('181', '213');443
('440', '51');('440', '260');('440', '87');('440', '250');('440', '339');('440', '389');('440', '490');('440', '488');309
('181', '42');('353', '474');('181', '488');('181', '415');('181', '261');('181', '407');('373', '181');('353', '213');352
('181', '486');('181', '474');('181', '506');('181', '490');('181', '339');('181', '407');('181', '252');('181', '213');457
('353', '87');('373', '474');('373', '373');('373', '396');('373', '215');('373', '254');('353', '283');('353', '213');111
('353', '506');('370', '474');('353', '478');('370', '461');('370', '215');('370', '253');('353', '228');('353', '213');346
('84', '58');('84', '54');('84', '331');('84', '523');('84', '339');('84', '506');('84', '523');('84', '440');100
('373', '87');('373', '474');('373', '488');('373', '396');('373', '339');('373', '408');('373', '528');('373', '213');124
('373', '506');('373', '474');('373', '533');('373', '490');('373', '339');('373', '408');('373', '522');('373', '213');131
('493', '339');('493', '474');('493', '488');('493', '415');('493', '339');('493', '407');('223', '223');('493', '213');374
('370', '183');('370', '5');('370', '506');('370', '461');('370', '339');('370', '396');('370', '223');('370', '52');418
