Beer_Name,Brew_Factory_Name,Style,ABV,SampleID
17,27,381,214,221
615,233,218,608,82
607,233,382,71,601
104,381,214,615,183
579,126,218,214,20
579,233,218,200,458
85,64,214,214,55
17,85,223,599,132
114,233,214,214,441
114,27,218,214,123
125,233,382,214,598
223,233,214,218,222
223,233,218,214,617
414,85,382,79,401
125,233,214,200,146
15,233,218,218,576
223,233,214,214,379
223,233,214,214,267
125,233,381,214,94
408,126,214,214,173
223,233,214,214,29
223,233,214,214,9
138,573,218,608,163
114,126,214,214,235
138,233,382,138,181
15,233,381,214,597
125,233,218,214,133
18,233,218,200,636
583,126,214,71,60
248,205,214,214,136
223,233,214,433,632
15,233,214,218,89
408,126,214,214,34
583,233,214,71,84
18,233,218,218,574
85,233,382,406,616
114,214,218,200,63
579,607,214,214,251
15,233,214,214,169
114,233,214,214,230
138,233,381,71,419
579,233,218,214,416
125,233,214,214,644
17,408,214,214,596
579,233,214,214,189
579,233,218,433,449
125,233,218,71,11
408,233,381,214,92
85,233,214,71,30
607,233,214,71,150
85,205,382,412,97
138,233,381,79,602
114,27,214,214,109
114,27,214,214,154
114,233,218,214,32
85,233,214,71,2
138,233,218,433,431
114,233,218,200,456
408,233,214,214,219
114,68,214,214,254
200,126,382,425,70
410,233,218,115,216
114,27,214,214,193
571,233,218,71,640
138,27,218,200,559
223,233,214,214,118
138,233,214,214,595
138,27,214,71,453
17,233,214,414,239
114,571,218,214,374
579,27,214,200,614
579,233,214,214,234
579,126,214,214,633
583,205,382,45,170
425,381,382,71,258
383,205,214,71,203
223,381,382,433,25
579,233,214,214,5
383,233,214,115,141
223,233,218,214,67
571,233,382,95,398
412,225,214,218,621
223,233,214,214,88
408,233,214,200,228
18,233,218,71,122
572,205,382,17,372
408,27,214,200,415
66,205,382,237,107
125,27,214,214,446
17,233,381,214,157
15,233,218,218,432
18,408,218,414,450
223,27,214,71,24
408,233,214,214,111
214,233,381,214,119
17,233,381,159,175
138,27,218,225,454
85,205,214,71,226
223,233,218,214,440
579,233,218,214,256
114,126,218,214,127
573,205,382,406,624
225,381,382,579,584
114,233,218,214,394
114,233,218,218,61
607,233,214,608,581
223,233,214,214,124
15,233,218,214,407
571,64,218,414,249
577,205,214,71,76
114,233,218,214,180
114,27,218,200,421
223,27,218,71,73
15,126,218,214,370
408,233,218,200,430
85,233,214,214,19
200,205,382,237,438
138,233,218,214,264
114,27,218,214,13
125,233,218,214,623
408,233,381,214,231
583,233,214,71,457
125,233,214,214,10
408,233,214,214,590
383,205,214,71,384
138,233,214,71,639
17,233,381,159,213
383,64,214,71,429
607,233,214,214,580
114,233,214,433,620
223,233,214,214,399
