Beer_Name,Brew_Factory_Name,Style,ABV,SampleID
90,231,248,77,585
262,19,231,231,593
16,70,77,16,65
16,11,77,70,370
67,19,231,231,244
26,19,77,144,257
67,19,231,70,649
16,19,77,70,588
16,11,77,231,394
262,11,248,195,181
217,262,231,77,166
262,231,231,20,226
16,24,77,231,7
16,24,77,16,26
90,62,248,67,57
196,196,231,196,134
67,11,231,231,93
217,168,231,67,91
16,24,77,231,13
195,10,248,144,122
90,231,231,152,241
195,196,248,196,74
67,19,231,231,245
195,231,77,144,622
67,19,231,231,644
16,262,77,231,407
16,19,77,24,646
195,231,231,231,378
67,19,231,231,23
19,20,248,255,35
16,19,231,231,111
173,19,231,144,191
24,231,248,144,107
195,262,248,152,398
26,19,248,77,61
77,196,248,11,372
26,24,77,231,123
217,113,231,144,207
16,19,77,173,432
173,19,231,231,189
115,196,248,231,25
11,19,70,231,629
173,19,231,77,253
16,24,248,231,199
262,231,231,144,263
173,19,77,231,256
195,152,248,67,387
262,19,231,231,110
196,196,231,77,76
26,262,77,231,404
16,24,231,231,116
173,231,248,173,604
67,70,231,53,112
262,19,231,231,140
115,11,231,231,8
217,262,231,67,384
115,19,77,231,458
262,231,231,77,19
195,19,77,121,403
26,152,231,144,24
173,231,77,231,198
16,11,231,53,193
16,19,77,24,99
195,231,77,231,31
16,19,77,231,434
173,262,231,231,22
26,70,231,231,564
67,11,231,70,146
16,65,77,231,63
16,19,77,70,167
173,11,77,77,127
26,11,231,24,396
16,11,77,70,75
16,10,77,77,390
262,19,231,173,222
138,195,248,144,582
16,11,231,231,444
173,231,77,231,611
16,19,77,24,641
262,24,231,144,121
16,19,231,231,610
90,20,70,121,637
67,231,77,231,11
26,152,77,173,217
67,231,70,231,94
